"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ADANIPORTS","01-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","116.15","0","0","0","0","0","-"
"ADANIPORTS","04-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","140.2","0","0","0","0","0","-"
"ADANIPORTS","05-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","163.85","0","0","0","0","0","-"
"ADANIPORTS","06-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","164.95","0","0","0","0","0","849.85"
"ADANIPORTS","07-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","138.5","0","0","0","0","0","-"
"ADANIPORTS","08-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","155.75","0","0","0","0","0","-"
"ADANIPORTS","11-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","167.45","0","0","0","0","0","-"
"ADANIPORTS","12-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","158.9","0","0","0","0","0","-"
"ADANIPORTS","13-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","154.8","0","0","0","0","0","840.5"
"ADANIPORTS","18-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","154.75","0","0","0","0","0","-"
"ADANIPORTS","19-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","135.25","0","0","0","0","0","-"
"ADANIPORTS","20-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","141.55","0","0","0","0","0","-"
"ADANIPORTS","21-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","160.3","0","0","0","0","0","850.5"
"ADANIPORTS","22-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","180.5","0","0","0","0","0","-"
"ADANIPORTS","25-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","166.75","0","0","0","0","0","-"
"ADANIPORTS","26-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","211.65","0","0","0","0","0","-"
"ADANIPORTS","27-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","191.05","0","0","0","0","0","887.3"
"ADANIPORTS","28-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","190.6","0","0","0","0","0","-"
"ADANIPORTS","29-Apr-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","163.1","0","0","0","0","0","-"
"ADANIPORTS","02-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","162.1","0","0","0","0","0","-"
"ADANIPORTS","04-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","124.75","0","0","0","0","0","812.8"
"ADANIPORTS","05-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","123.4","0","0","0","0","0","-"
"ADANIPORTS","06-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","122.85","0","0","0","0","0","-"
"ADANIPORTS","09-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","106.7","0","0","0","0","0","-"
"ADANIPORTS","10-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","88.7","0","0","0","0","0","-"
"ADANIPORTS","11-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","81.5","0","0","0","0","0","759.9"
"ADANIPORTS","12-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","52.2","0","0","0","0","0","713.3"
"ADANIPORTS","13-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","47.55","0","0","0","0","0","-"
"ADANIPORTS","16-May-2022","30-Jun-2022","CE","710","0","0","0","108.45","0","49.4","0","0","0","0","0","-"
"ADANIPORTS","17-May-2022","30-Jun-2022","CE","710","60.95","61.55","60.95","61.25","61.55","61.25","2","19.28","1.53","1250","1250","-"
"ADANIPORTS","18-May-2022","30-Jun-2022","CE","710","66.9","66.9","66.9","66.9","66.9","78.45","1","9.71",".84","2500","1250","-"
"ADANIPORTS","19-May-2022","30-Jun-2022","CE","710","60","60","60","60","60","60.05","1","9.63",".75","3750","1250","-"
"ADANIPORTS","20-May-2022","30-Jun-2022","CE","710","0","0","0","60","60","83.3","0","0","0","3750","0","-"
"ADANIPORTS","23-May-2022","30-Jun-2022","CE","710","0","0","0","60","60","71.6","0","0","0","3750","0","753.55"
"ADANIPORTS","24-May-2022","30-Jun-2022","CE","710","0","0","0","60","60","69.95","0","0","0","3750","0","-"
"ADANIPORTS","25-May-2022","30-Jun-2022","CE","710","44.35","44.35","40.5","41.7","41.55","41.7","67","629.72","35.09","45000","41250","707.9"
"ADANIPORTS","26-May-2022","30-Jun-2022","CE","710","45","45","23.9","35.65","36","35.65","615","5703.59","245.47","152500","107500","-"
"ADANIPORTS","27-May-2022","30-Jun-2022","CE","710","38.05","39","30.3","33.9","33.85","33.9","790","7356.46","345.21","365000","212500","-"
"ADANIPORTS","30-May-2022","30-Jun-2022","CE","710","37","50","36.2","48.25","48.9","48.25","501","4716.55","270.18","163750","-201250","-"
"ADANIPORTS","31-May-2022","30-Jun-2022","CE","710","48.6","55.15","44.8","47.85","47.95","47.85","111","1055.32","70.2","137500","-26250","-"
"ADANIPORTS","01-Jun-2022","30-Jun-2022","CE","710","50.65","50.75","44.4","48.3","48.5","48.3","20","189.49","11.99","133750","-3750","736.9"
"ADANIPORTS","02-Jun-2022","30-Jun-2022","CE","710","48.35","56.95","47","55.7","56.95","55.7","15","142.88","9.75","125000","-8750","748.45"
"ADANIPORTS","03-Jun-2022","30-Jun-2022","CE","710","57.9","57.9","48.6","48.6","48.6","55.4","31","296.14","21.01","121250","-3750","-"
"ADANIPORTS","06-Jun-2022","30-Jun-2022","CE","710","45.2","50","45.2","50","50","50","4","37.93","2.43","120000","-1250","-"
"ADANIPORTS","07-Jun-2022","30-Jun-2022","CE","710","42.75","42.75","41.4","41.4","41.4","48.85","13","122.24","6.87","107500","-12500","734.55"
