"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ADANIPORTS","EQ","01-Apr-2022","        774.20","        774.50","        790.70","        774.50","        783.50","        785.75","        784.47","    6816743","          5347527396.30","      85048"
"ADANIPORTS","EQ","04-Apr-2022","        785.75","        791.00","        822.15","        783.65","        818.00","        818.55","        804.26","   13743062","         11053055309.50","     157980"
"ADANIPORTS","EQ","05-Apr-2022","        818.55","        840.00","        860.90","        826.00","        844.05","        848.05","        846.58","   21090646","         17854844493.95","     296045"
"ADANIPORTS","EQ","06-Apr-2022","        848.05","        852.95","        862.65","        840.00","        850.00","        849.85","        853.17","    8785541","          7495558236.80","     129846"
"ADANIPORTS","EQ","07-Apr-2022","        849.85","        850.00","        866.00","        813.60","        820.45","        817.40","        840.56","   11662093","          9802703499.60","     171399"
"ADANIPORTS","EQ","08-Apr-2022","        817.40","        823.00","        844.80","        817.40","        840.00","        839.30","        833.34","    5777924","          4814962546.05","      91200"
"ADANIPORTS","EQ","11-Apr-2022","        839.30","        840.00","        860.00","        839.30","        854.50","        854.55","        851.38","    6030153","          5133951708.00","      95147"
"ADANIPORTS","EQ","12-Apr-2022","        854.55","        853.90","        859.00","        835.00","        843.80","        844.90","        848.19","    5597246","          4747531489.45","      93891"
"ADANIPORTS","EQ","13-Apr-2022","        844.90","        849.90","        854.90","        836.50","        838.15","        840.50","        844.86","    2955807","          2497252614.25","      56221"
"ADANIPORTS","EQ","18-Apr-2022","        840.50","        831.35","        846.75","        821.40","        845.00","        842.70","        833.04","    3969878","          3307066320.25","      75702"
"ADANIPORTS","EQ","19-Apr-2022","        842.70","        849.00","        850.25","        807.00","        811.00","        819.30","        836.80","    4472320","          3742447083.65","      70271"
"ADANIPORTS","EQ","20-Apr-2022","        819.30","        825.60","        835.95","        820.00","        829.25","        827.65","        827.50","    3071216","          2541440375.80","      56523"
"ADANIPORTS","EQ","21-Apr-2022","        827.65","        833.00","        858.90","        832.30","        850.00","        850.50","        845.67","    5539106","          4684273436.85","      94014"
"ADANIPORTS","EQ","22-Apr-2022","        850.50","        847.45","        886.00","        840.70","        874.00","        874.15","        876.01","   17864000","         15649061919.60","     266895"
"ADANIPORTS","EQ","25-Apr-2022","        874.15","        873.95","        880.95","        848.65","        858.50","        859.55","        863.77","   10145325","          8763180597.95","     160427"
"ADANIPORTS","EQ","26-Apr-2022","        859.55","        868.00","        913.00","        865.40","        912.30","        909.50","        895.03","   21010788","         18805245459.25","     301217"
"ADANIPORTS","EQ","27-Apr-2022","        909.50","        914.05","        924.65","        880.00","        886.00","        887.30","        903.22","   20793885","         18781366274.40","     320936"
"ADANIPORTS","EQ","28-Apr-2022","        887.30","        899.00","        900.25","        876.80","        890.75","        887.10","        887.74","    8778304","          7792872010.80","     123670"
"ADANIPORTS","EQ","29-Apr-2022","        887.10","        892.70","        898.90","        852.10","        856.80","        856.40","        869.57","   11543840","         10038173641.00","     195686"
"ADANIPORTS","EQ","02-May-2022","        856.40","        850.00","        862.85","        838.05","        857.00","        856.55","        855.02","    5760499","          4925355949.95","      88012"
"ADANIPORTS","EQ","04-May-2022","        856.55","        860.50","        864.20","        805.80","        811.95","        812.80","        828.69","    7969164","          6603936991.50","     148699"
"ADANIPORTS","EQ","05-May-2022","        812.80","        820.90","        835.50","        806.00","        812.00","        811.35","        820.37","    6597383","          5412310473.85","     100695"
"ADANIPORTS","EQ","06-May-2022","        811.35","        797.90","        820.95","        790.20","        811.00","        811.40","        806.18","    6150326","          4958258394.55","     106181"
"ADANIPORTS","EQ","09-May-2022","        811.40","        807.45","        807.45","        783.00","        791.80","        792.60","        795.05","    4768026","          3790795270.65","      84268"
"ADANIPORTS","EQ","10-May-2022","        792.60","        795.20","        803.95","        765.05","        766.00","        769.10","        783.40","    5344522","          4186884560.55","      85178"
"ADANIPORTS","EQ","11-May-2022","        769.10","        771.00","        784.95","        749.05","        762.90","        759.90","        765.89","    8985117","          6881647023.15","     122866"
"ADANIPORTS","EQ","12-May-2022","        759.90","        759.00","        759.00","        705.30","        715.70","        713.30","        721.97","   10570456","          7631554270.55","     157552"
"ADANIPORTS","EQ","13-May-2022","        713.30","        727.00","        735.90","        701.80","        706.00","        705.90","        719.79","    7247809","          5216927720.75","     120338"
"ADANIPORTS","EQ","16-May-2022","        705.90","        715.00","        728.15","        704.00","        716.90","        712.50","        716.89","    5606071","          4018924367.15","      97946"
"ADANIPORTS","EQ","17-May-2022","        712.50","        720.00","        747.30","        715.35","        745.50","        744.75","        730.93","    4430294","          3238251970.20","      75399"
"ADANIPORTS","EQ","18-May-2022","        744.75","        752.65","        767.20","        742.00","        758.85","        759.80","        758.16","    9020504","          6839014722.40","     128807"
"ADANIPORTS","EQ","19-May-2022","        759.80","        744.00","        747.35","        730.00","        735.40","        732.80","        737.44","    4445667","          3278430424.80","      82038"
"ADANIPORTS","EQ","20-May-2022","        732.80","        749.95","        772.80","        745.10","        771.60","        767.55","        761.55","    5434279","          4138453691.15","     102484"
"ADANIPORTS","EQ","23-May-2022","        767.55","        774.85","        779.90","        751.25","        752.40","        753.55","        764.47","    4787481","          3659879752.90","      77173"
"ADANIPORTS","EQ","24-May-2022","        753.55","        756.60","        764.80","        747.50","        755.70","        752.15","        755.43","    4653281","          3515218127.00","      79420"
"ADANIPORTS","EQ","25-May-2022","        752.15","        735.00","        743.95","        705.40","        710.00","        707.90","        720.90","    7699306","          5550467695.70","     118215"
"ADANIPORTS","EQ","26-May-2022","        707.90","        712.00","        719.30","        668.15","        704.00","        701.50","        690.39","   13569693","          9368364879.80","     208923"
"ADANIPORTS","EQ","27-May-2022","        701.50","        714.10","        714.10","        697.00","        703.95","        703.10","        703.40","    5815428","          4090578078.90","      83301"
"ADANIPORTS","EQ","30-May-2022","        703.10","        714.00","        737.00","        710.00","        735.00","        734.70","        727.45","    5546106","          4034532750.30","      84231"
"ADANIPORTS","EQ","31-May-2022","        734.70","        731.10","        749.00","        728.00","        736.80","        739.85","        740.29","    6346866","          4698522154.05","      90086"
"ADANIPORTS","EQ","01-Jun-2022","        739.85","        739.80","        743.70","        729.05","        737.40","        736.90","        735.86","    3196984","          2352547194.95","      56865"
"ADANIPORTS","EQ","02-Jun-2022","        736.90","        737.00","        751.90","        730.25","        751.45","        748.45","        740.76","    3536560","          2619726055.45","      59134"
"ADANIPORTS","EQ","03-Jun-2022","        748.45","        758.00","        758.50","        738.75","        740.05","        739.90","        746.29","    2960614","          2209483358.60","      49437"
"ADANIPORTS","EQ","06-Jun-2022","        739.90","        738.50","        745.00","        725.30","        741.85","        741.25","        736.15","    2753267","          2026823290.10","      44546"
"ADANIPORTS","EQ","07-Jun-2022","        741.25","        739.00","        742.50","        713.40","        733.15","        734.55","        734.22","    2488075","          1826784047.60","      45791"
"ADANIPORTS","EQ","08-Jun-2022","        734.55","        735.55","        740.00","        725.35","        727.10","        728.60","        731.03","    2839931","          2076078354.40","      46104"
"ADANIPORTS","EQ","09-Jun-2022","        728.60","        726.00","        737.00","        723.10","        735.25","        735.50","        729.61","    2604731","          1900434229.45","      43509"
"ADANIPORTS","EQ","10-Jun-2022","        735.50","        726.00","        732.15","        718.20","        725.55","        726.40","        724.66","    3377686","          2447666946.50","      52923"
"ADANIPORTS","EQ","13-Jun-2022","        726.40","        711.00","        714.70","        688.80","        697.00","        695.25","        699.84","    4535069","          3173821087.55","      89349"
