"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ADANIENT","01-Jul-2019","25-Jul-2019","CE","150","9.7","11.6","6.8","10.8","11","10.8","184","1169.4","65.4","300000","204000","154.1"
"ADANIENT","02-Jul-2019","25-Jul-2019","CE","150","11.45","13.15","9.5","10.9","11","10.9","116","749.59","53.59","472000","172000","154.7"
"ADANIENT","03-Jul-2019","25-Jul-2019","CE","150","11.7","13","10.75","11.35","11.3","11.35","41","264.88","18.88","448000","-24000","155.6"
"ADANIENT","04-Jul-2019","25-Jul-2019","CE","150","13.6","14.75","10.55","11.25","11.4","11.25","52","338.63","26.63","476000","28000","156.1"
"ADANIENT","05-Jul-2019","25-Jul-2019","CE","150","10.85","10.85","5.7","6.15","6","6.15","111","698.36","32.36","548000","72000","147.3"
"ADANIENT","08-Jul-2019","25-Jul-2019","CE","150","6.4","6.4","2.7","2.95","2.75","2.95","323","1984.73","46.73","804000","256000","138.9"
"ADANIENT","09-Jul-2019","25-Jul-2019","CE","150","3.1","3.75","2.05","3.15","3.2","3.15","325","1987.56","37.56","848000","44000","141.15"
"ADANIENT","10-Jul-2019","25-Jul-2019","CE","150","3.15","3.55","2.15","2.3","2.35","2.3","212","1293.1","21.1","964000","116000","139.35"
"ADANIENT","11-Jul-2019","25-Jul-2019","CE","150","2.6","2.85","1.9","2.65","2.4","2.65","159","968.59","14.59","940000","-24000","141"
"ADANIENT","12-Jul-2019","25-Jul-2019","CE","150","2.25","2.9","1.8","2.1","2.2","2.1","179","1090.12","16.12","960000","20000","140.3"
"ADANIENT","15-Jul-2019","25-Jul-2019","CE","150","2.2","2.2","1.15","1.3","1.35","1.3","180","1089.79","9.79","1024000","64000","137.95"
"ADANIENT","16-Jul-2019","25-Jul-2019","CE","150","1.35","1.6","1.05","1.55","1.4","1.55","205","1241.3","11.3","908000","-116000","140.15"
"ADANIENT","17-Jul-2019","25-Jul-2019","CE","150","1.2","1.55","0.85","0.95","1","0.95","220","1329.51","9.51","988000","80000","138.05"
"ADANIENT","18-Jul-2019","25-Jul-2019","CE","150","0.95","0.95","0.4","0.5","0.45","0.5","146","879.53","3.53","1004000","16000","134.2"
"ADANIENT","19-Jul-2019","25-Jul-2019","CE","150","0.5","0.5","0.25","0.3","0.35","0.3","175","1052.29","2.29","924000","-80000","131.4"
"ADANIENT","22-Jul-2019","25-Jul-2019","CE","150","0.2","0.25","0.15","0.2","0.2","0.2","59","354.46",".46","836000","-88000","131.65"
"ADANIENT","23-Jul-2019","25-Jul-2019","CE","150","0.1","0.25","0.1","0.15","0.15","0.15","53","318.32",".32","748000","-88000","134.05"
"ADANIENT","24-Jul-2019","25-Jul-2019","CE","150","0.1","0.1","0.05","0.1","0.05","0.1","32","192.09",".09","700000","-48000","129.8"
"ADANIENT","25-Jul-2019","25-Jul-2019","CE","150","0.05","0.05","0.05","0.05","0.05","0","18","108.04",".04","704000","4000","129.4"
