"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ADANIENT","02-May-2019","30-May-2019","PE","120","5.55","7.1","5.55","7.05","7","7.05","16","80.68","3.88","96000","8000","126.65"
"ADANIENT","03-May-2019","30-May-2019","PE","120","8.35","8.5","7.35","7.75","8","7.75","46","235.4","14.6","116000","20000","128.3"
"ADANIENT","06-May-2019","30-May-2019","PE","120","7.65","9","7.6","9","9","9","11","56.42","3.62","116000","0","125.6"
"ADANIENT","07-May-2019","30-May-2019","PE","120","8.55","11.2","8","10.5","10.35","10.5","11","56.91","4.11","108000","-8000","122.35"
"ADANIENT","08-May-2019","30-May-2019","PE","120","10.5","10.55","8.8","9.95","9.95","9.95","15","77.76","5.76","96000","-12000","120.9"
"ADANIENT","09-May-2019","30-May-2019","PE","120","10.5","10.5","9.6","10.3","10.45","10.3","10","52.03","4.03","104000","8000","120.1"
"ADANIENT","10-May-2019","30-May-2019","PE","120","9.65","10.4","9","10.1","10.4","10.1","8","41.52","3.12","104000","0","120"
"ADANIENT","13-May-2019","30-May-2019","PE","120","10.5","11.65","10.3","11.55","11.5","11.55","7","36.65","3.05","108000","4000","117.6"
"ADANIENT","14-May-2019","30-May-2019","PE","120","11.7","11.7","7.3","8","8.5","8","41","211.62","14.82","120000","12000","123.35"
"ADANIENT","15-May-2019","30-May-2019","PE","120","8","12.1","8","12","11.95","12","24","125.26","10.06","132000","12000","117.4"
"ADANIENT","16-May-2019","30-May-2019","PE","120","12","14.2","11.2","12.1","12","12.1","40","212.3","20.3","120000","-12000","118.8"
"ADANIENT","17-May-2019","30-May-2019","PE","120","12.8","13.8","11.85","12.5","12.5","12.5","44","233.82","22.62","128000","8000","119.3"
"ADANIENT","20-May-2019","30-May-2019","PE","120","9.25","9.25","3.2","3.5","3.25","3.5","681","3399.85","131.05","672000","544000","151.95"
"ADANIENT","21-May-2019","30-May-2019","PE","120","2.85","4.35","2.8","3.5","3.5","3.5","213","1052.73","30.33","704000","32000","154.65"
"ADANIENT","22-May-2019","30-May-2019","PE","120","3.3","4.45","3.1","4.3","4.45","4.3","162","804.06","26.46","796000","92000","157.95"
"ADANIENT","23-May-2019","30-May-2019","PE","120","2.05","2.8","0.4","0.85","0.9","0.85","255","1234.05","10.05","724000","-72000","161.05"
"ADANIENT","24-May-2019","30-May-2019","PE","120","0.35","0.6","0.15","0.3","0.3","0.3","170","818.28","2.28","532000","-192000","156.4"
"ADANIENT","27-May-2019","30-May-2019","PE","120","0.2","0.2","0.1","0.15","0.15","0.15","21","100.92",".12","488000","-44000","157.2"
"ADANIENT","28-May-2019","30-May-2019","PE","120","0.1","0.1","0.05","0.05","0.05","0.05","18","86.45",".05","476000","-12000","157.65"
"ADANIENT","29-May-2019","30-May-2019","PE","120","0.05","0.25","0.05","0.05","0.05","0.05","62","297.84",".24","348000","-128000","155.15"
"ADANIENT","30-May-2019","30-May-2019","PE","120","0.05","0.05","0.05","0.05","0.05","0","57","273.71",".11","328000","-20000","158.1"
