,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,ADANIENT,EQ,01-Aug-2019,128.8,128.6,129.1,123.0,125.15,125.45,125.38,4462938,559549320.65,29764,667198,14.95,125.45,128.6
1,1,ADANIENT,EQ,02-Aug-2019,125.45,124.9,129.75,123.3,127.1,128.1,127.07,4637509,589285162.65,24016,431959,9.31,128.1,124.9
2,2,ADANIENT,EQ,05-Aug-2019,128.1,126.2,126.4,121.15,124.45,124.7,123.65,5259236,650327794.9,24646,464998,8.84,124.7,126.2
3,3,ADANIENT,EQ,06-Aug-2019,124.7,124.0,129.45,124.0,128.4,128.2,127.08,3899290,495539844.05,22625,352766,9.05,128.2,124.0
4,4,ADANIENT,EQ,07-Aug-2019,128.2,128.2,130.15,124.6,125.8,125.6,127.2,3911797,497562759.1,22678,414245,10.59,125.6,128.2
5,5,ADANIENT,EQ,08-Aug-2019,125.6,126.2,134.0,124.05,132.5,130.9,128.54,7070036,908817773.3,39009,688884,9.74,130.9,126.2
6,6,ADANIENT,EQ,09-Aug-2019,130.9,134.7,135.9,130.1,132.1,132.4,132.67,8589075,1139505665.95,40101,995032,11.58,132.4,134.7
7,7,ADANIENT,EQ,13-Aug-2019,132.4,133.0,133.9,128.6,129.65,130.3,131.44,4226112,555476397.0,20073,536388,12.69,130.3,133.0
8,8,ADANIENT,EQ,14-Aug-2019,130.3,130.9,132.45,127.35,130.8,130.65,130.47,4761139,621188539.55,23786,569445,11.96,130.65,130.9
9,9,ADANIENT,EQ,16-Aug-2019,130.65,130.0,133.95,128.15,133.7,132.85,131.5,4087073,537435782.8,20617,590400,14.45,132.85,130.0
10,10,ADANIENT,EQ,19-Aug-2019,132.85,132.8,136.95,132.3,135.0,135.5,134.44,4261741,572938151.55,20548,672964,15.79,135.5,132.8
11,11,ADANIENT,EQ,20-Aug-2019,135.5,135.7,136.8,132.05,134.35,135.65,134.61,4515865,607874944.15,23500,588620,13.03,135.65,135.7
12,12,ADANIENT,EQ,21-Aug-2019,135.65,134.0,135.3,130.25,130.85,131.9,132.92,3426518,455438799.95,17219,452814,13.21,131.9,134.0
13,13,ADANIENT,EQ,22-Aug-2019,131.9,130.95,131.3,126.1,126.5,126.9,128.76,3358838,432494621.8,18298,346860,10.33,126.9,130.95
14,14,ADANIENT,EQ,23-Aug-2019,126.9,123.4,132.2,122.9,130.9,131.3,128.91,4374006,563842826.25,21883,423740,9.69,131.3,123.4
15,15,ADANIENT,EQ,26-Aug-2019,131.3,132.1,135.95,128.3,134.75,135.2,133.17,5507570,733448998.2,26352,612878,11.13,135.2,132.1
16,16,ADANIENT,EQ,27-Aug-2019,135.2,134.75,138.2,133.9,136.75,137.15,136.24,4495705,612509076.75,23115,571911,12.72,137.15,134.75
17,17,ADANIENT,EQ,28-Aug-2019,137.15,136.2,137.1,132.15,135.75,135.95,134.84,5312871,716387912.2,18411,976233,18.37,135.95,136.2
18,18,ADANIENT,EQ,29-Aug-2019,135.95,138.0,138.0,130.35,132.0,132.35,133.54,6108447,815729194.15,28610,1116382,18.28,132.35,138.0
