,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,ADANIENT,EQ,01-Apr-2020,137.6,138.95,138.95,131.8,133.3,133.95,134.86,1997608,269388582.85,15540,310886,15.56,133.95,138.95
1,ADANIENT,EQ,03-Apr-2020,133.95,134.0,134.6,128.0,129.05,129.05,129.68,1761947,228493774.15,14137,313670,17.8,129.05,134.0
2,ADANIENT,EQ,07-Apr-2020,129.05,131.0,141.5,131.0,137.0,138.15,136.09,2463525,335256093.7,17669,408903,16.6,138.15,131.0
3,ADANIENT,EQ,08-Apr-2020,138.15,136.85,147.15,134.9,137.5,138.1,141.01,3237290,456492273.1,23696,255480,7.89,138.1,136.85
4,ADANIENT,EQ,09-Apr-2020,138.1,140.0,146.25,140.0,142.45,142.45,142.9,2359528,337185288.55,16405,335061,14.2,142.45,140.0
5,ADANIENT,EQ,13-Apr-2020,142.45,142.0,149.0,136.55,149.0,146.0,142.33,2204560,313775929.3,16097,383406,17.39,146.0,142.0
6,ADANIENT,EQ,15-Apr-2020,146.0,148.05,150.95,143.2,145.0,145.25,147.1,3413518,502125233.75,29711,732664,21.46,145.25,148.05
7,ADANIENT,EQ,16-Apr-2020,145.25,142.0,144.85,140.55,143.2,143.3,142.35,2685695,382321527.95,20157,618268,23.02,143.3,142.0
8,ADANIENT,EQ,17-Apr-2020,143.3,146.95,148.55,141.55,143.95,143.9,144.54,2384033,344594853.8,26603,624508,26.2,143.9,146.95
9,ADANIENT,EQ,20-Apr-2020,143.9,146.0,155.45,142.6,146.9,146.7,150.36,6835268,1027729558.9,47481,1295499,18.95,146.7,146.0
10,ADANIENT,EQ,21-Apr-2020,146.7,143.0,143.0,134.15,135.55,135.95,136.89,3576178,489556951.1,29177,779896,21.81,135.95,143.0
11,ADANIENT,EQ,22-Apr-2020,135.95,136.0,138.8,132.1,137.75,137.6,134.92,6012163,811186921.0,27169,354720,5.9,137.6,136.0
12,ADANIENT,EQ,23-Apr-2020,137.6,140.5,142.5,137.5,139.6,140.5,140.85,3371275,474848937.3,24817,478111,14.18,140.5,140.5
13,ADANIENT,EQ,24-Apr-2020,140.5,137.15,140.55,134.1,134.4,134.65,137.45,1823167,250600487.8,13960,534746,29.33,134.65,137.15
14,ADANIENT,EQ,27-Apr-2020,134.65,136.4,138.35,134.1,134.3,134.6,135.9,2996933,407280721.15,20929,536169,17.89,134.6,136.4
15,ADANIENT,EQ,28-Apr-2020,134.6,135.95,141.9,135.05,138.9,139.3,139.89,5721209,800329835.8,42803,1090566,19.06,139.3,135.95
16,ADANIENT,EQ,29-Apr-2020,139.3,140.0,140.7,135.65,140.0,139.5,137.55,4774365,656729730.4,34981,920217,19.27,139.5,140.0
17,ADANIENT,EQ,30-Apr-2020,139.5,141.45,147.45,140.3,141.4,141.4,143.48,4900322,703119772.5,42301,905350,18.48,141.4,141.45
