,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,ADANIENT,EQ,01-Jul-2020,156.25,157.15,159.0,156.05,157.0,157.65,157.51,1681231,264804393.35,12255,244563,14.55,157.65,157.15
1,1,1,ADANIENT,EQ,02-Jul-2020,157.65,159.8,160.95,156.15,158.75,158.2,158.39,2152710,340966710.6,14616,432867,20.11,158.2,159.8
2,2,2,ADANIENT,EQ,03-Jul-2020,158.2,160.0,163.85,157.4,159.5,160.0,161.43,4481658,723476639.05,28472,667272,14.89,160.0,160.0
3,3,3,ADANIENT,EQ,06-Jul-2020,160.0,161.95,165.2,160.5,164.6,164.2,163.65,3515715,575358335.5,24317,989555,28.15,164.2,161.95
4,4,4,ADANIENT,EQ,07-Jul-2020,164.2,164.5,170.65,163.3,167.75,168.15,167.37,8172263,1367797400.7,47991,1396125,17.08,168.15,164.5
5,5,5,ADANIENT,EQ,08-Jul-2020,168.15,168.0,169.5,161.4,162.7,163.0,166.29,3650215,607009753.15,30955,616001,16.88,163.0,168.0
6,6,6,ADANIENT,EQ,09-Jul-2020,163.0,163.0,165.1,161.45,162.6,162.75,162.95,1711099,278815108.45,11657,338532,19.78,162.75,163.0
7,7,7,ADANIENT,EQ,10-Jul-2020,162.75,161.5,163.4,158.5,159.2,159.7,160.07,1950862,312266414.95,15985,365607,18.74,159.7,161.5
8,8,8,ADANIENT,EQ,13-Jul-2020,159.7,161.45,162.45,154.35,156.0,156.05,157.43,2586181,407153496.9,17167,503388,19.46,156.05,161.45
9,9,9,ADANIENT,EQ,14-Jul-2020,156.05,155.9,156.25,149.0,149.75,149.75,151.56,2352037,356484495.05,17732,599721,25.5,149.75,155.9
10,10,10,ADANIENT,EQ,15-Jul-2020,149.75,150.1,153.85,147.0,147.65,147.75,151.02,2180515,329294389.35,15706,383371,17.58,147.75,150.1
11,11,11,ADANIENT,EQ,16-Jul-2020,147.75,148.1,150.0,145.2,148.25,148.9,147.75,1473784,217746645.3,12469,252705,17.15,148.9,148.1
12,12,12,ADANIENT,EQ,17-Jul-2020,148.9,149.75,153.9,149.0,152.3,151.6,151.73,2222846,337278039.45,14846,311927,14.03,151.6,149.75
13,13,13,ADANIENT,EQ,20-Jul-2020,151.6,153.15,161.9,152.1,161.45,160.7,158.04,6330153,1000401854.35,40305,1075380,16.99,160.7,153.15
14,14,14,ADANIENT,EQ,21-Jul-2020,160.7,161.45,168.1,159.1,167.5,167.3,163.58,6517623,1066161108.5,36990,2461848,37.77,167.3,161.45
15,15,15,ADANIENT,EQ,22-Jul-2020,167.3,167.0,172.0,162.0,168.85,169.4,168.29,4611051,776011551.8,27731,1325431,28.74,169.4,167.0
16,16,16,ADANIENT,EQ,23-Jul-2020,169.4,168.35,170.7,165.4,170.2,169.95,168.9,2199271,371449844.05,15090,653690,29.72,169.95,168.35
17,17,17,ADANIENT,EQ,24-Jul-2020,169.95,167.4,169.75,163.65,168.9,168.75,167.36,1801380,301486033.0,12688,460182,25.55,168.75,167.4
18,18,18,ADANIENT,EQ,27-Jul-2020,168.75,168.65,169.05,163.0,164.1,165.95,165.47,1156539,191370142.8,9906,305711,26.43,165.95,168.65
19,19,19,ADANIENT,EQ,28-Jul-2020,165.95,166.3,174.9,163.8,172.8,173.55,171.0,4829254,825812172.35,34317,845896,17.52,173.55,166.3
20,20,20,ADANIENT,EQ,29-Jul-2020,173.55,174.0,190.85,172.05,177.85,179.1,183.41,15392611,2823211174.65,84828,1491280,9.69,179.1,174.0
21,21,21,ADANIENT,EQ,30-Jul-2020,179.1,179.2,181.35,173.25,174.05,175.05,176.89,3403350,602018427.7,24773,424685,12.48,175.05,179.2
