,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,ADANIENT,EQ,02-May-2022,2332.0,2325.0,2362.3,2311.0,2335.7,2339.5,2336.62,1006544,2351912270.35,35283,146028,14.51,2339.5,2325.0
1,1,1,1,1,ADANIENT,EQ,04-May-2022,2339.5,2358.7,2362.9,2233.05,2248.0,2253.8,2288.22,1744686,3992218592.65,64692,304991,17.48,2253.8,2358.7
2,2,2,2,2,ADANIENT,EQ,05-May-2022,2253.8,2270.0,2303.8,2236.0,2247.9,2255.4,2269.61,1636796,3714891240.2,45604,195829,11.96,2255.4,2270.0
3,3,3,3,3,ADANIENT,EQ,06-May-2022,2255.4,2210.0,2262.0,2200.0,2247.5,2247.7,2230.94,1161579,2591414766.1,39427,125941,10.84,2247.7,2210.0
4,4,4,4,4,ADANIENT,EQ,09-May-2022,2247.7,2229.5,2244.2,2180.0,2187.5,2197.65,2209.68,1450886,3205990125.15,42562,211927,14.61,2197.65,2229.5
5,5,5,5,5,ADANIENT,EQ,10-May-2022,2197.65,2190.0,2220.0,2097.5,2097.75,2109.5,2152.75,1471866,3168563128.85,46580,205045,13.93,2109.5,2190.0
6,6,6,6,6,ADANIENT,EQ,11-May-2022,2109.5,2109.6,2157.75,2077.0,2124.5,2119.3,2117.03,1397917,2959436086.55,47473,214780,15.36,2119.3,2109.6
7,7,7,7,7,ADANIENT,EQ,12-May-2022,2119.3,2103.0,2113.6,2011.05,2053.0,2045.2,2055.5,1553685,3193595941.8,48422,292091,18.8,2045.2,2103.0
8,8,8,8,8,ADANIENT,EQ,13-May-2022,2045.2,2084.5,2135.0,2035.3,2055.0,2054.15,2092.82,1547617,3238885835.6,57091,160831,10.39,2054.15,2084.5
9,9,9,9,9,ADANIENT,EQ,16-May-2022,2054.15,2082.65,2141.95,2057.65,2112.5,2105.9,2108.04,1742552,3673364890.1,61264,153237,8.79,2105.9,2082.65
10,10,10,10,10,ADANIENT,EQ,17-May-2022,2105.9,2133.05,2192.25,2119.4,2183.05,2184.85,2151.72,1061085,2283153146.95,37030,158046,14.89,2184.85,2133.05
11,11,11,11,11,ADANIENT,EQ,18-May-2022,2184.85,2199.7,2216.9,2172.0,2185.0,2181.1,2192.29,1296983,2843360980.1,45269,290995,22.44,2181.1,2199.7
12,12,12,12,12,ADANIENT,EQ,19-May-2022,2181.1,2145.0,2154.75,2097.6,2121.9,2114.75,2124.37,986930,2096601623.4,32998,162394,16.45,2114.75,2145.0
13,13,13,13,13,ADANIENT,EQ,20-May-2022,2114.75,2159.0,2232.4,2151.0,2227.0,2219.55,2197.25,1444803,3174591293.7,40458,469003,32.46,2219.55,2159.0
14,14,14,14,14,ADANIENT,EQ,23-May-2022,2219.55,2231.75,2245.0,2155.65,2159.7,2170.65,2197.44,1455450,3198263803.9,46776,516518,35.49,2170.65,2231.75
15,15,15,15,15,ADANIENT,EQ,24-May-2022,2170.65,2161.0,2178.9,2142.55,2165.0,2160.2,2163.64,1008943,2182994462.8,26813,283008,28.05,2160.2,2161.0
16,16,16,16,16,ADANIENT,EQ,25-May-2022,2160.2,2168.0,2181.45,2066.2,2071.0,2074.15,2114.93,1382448,2923782591.45,34793,346735,25.08,2074.15,2168.0
17,17,17,17,17,ADANIENT,EQ,26-May-2022,2074.15,2077.0,2088.0,1906.2,2052.0,2046.4,1993.04,4967514,9900477944.2,119283,748908,15.08,2046.4,2077.0
