"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","01-Feb-2019","28-Feb-2019","CE","210","7.15","9.65","6.55","7.55","7.35","7.55","104","567.26","21.26","70000","-10000","212.5"
"AMBUJACEM","04-Feb-2019","28-Feb-2019","CE","210","7.25","7.8","5.95","7.65","7.5","7.65","73","395.94","12.69","77500","7500","212.5"
"AMBUJACEM","05-Feb-2019","28-Feb-2019","CE","210","7.25","8.75","5.1","6.8","6.7","6.8","99","536.7","16.95","90000","12500","209.25"
"AMBUJACEM","06-Feb-2019","28-Feb-2019","CE","210","7.2","9.1","6.4","8.7","8.7","8.7","93","506.05","17.8","72500","-17500","214.5"
"AMBUJACEM","07-Feb-2019","28-Feb-2019","CE","210","9.3","10.5","9.25","10.3","10.3","10.3","23","126.43","5.68","65000","-7500","214.95"
"AMBUJACEM","08-Feb-2019","28-Feb-2019","CE","210","9.5","9.5","8.1","8.1","8.1","8.1","3","16.41",".66","65000","0","213.25"
"AMBUJACEM","11-Feb-2019","28-Feb-2019","CE","210","6.4","6.8","5.3","5.4","5.35","5.4","79","426.49","11.74","167500","102500","207.6"
"AMBUJACEM","12-Feb-2019","28-Feb-2019","CE","210","5.1","6.35","4.3","5.35","5.6","5.35","159","856.17","21.42","237500","70000","207.45"
"AMBUJACEM","13-Feb-2019","28-Feb-2019","CE","210","5.65","6.2","3.95","4.35","4.35","4.35","252","1352.96","29.96","272500","35000","205.95"
"AMBUJACEM","14-Feb-2019","28-Feb-2019","CE","210","3.9","4.15","3","3.45","3.6","3.45","210","1121.08","18.58","395000","122500","204.4"
"AMBUJACEM","15-Feb-2019","28-Feb-2019","CE","210","3.3","4","2.5","3.75","3.55","3.75","284","1514.76","23.76","480000","85000","204.8"
"AMBUJACEM","18-Feb-2019","28-Feb-2019","CE","210","3.55","3.75","1.9","2.15","2","2.15","614","3262.45","38.95","767500","287500","198"
"AMBUJACEM","19-Feb-2019","28-Feb-2019","CE","210","2.5","2.8","1.5","1.75","1.75","1.75","1373","7276.07","67.82","1207500","440000","199.6"
"AMBUJACEM","20-Feb-2019","28-Feb-2019","CE","210","1.75","2.4","1.5","2.2","2.3","2.2","804","4258.41","37.41","600000","-607500","206.8"
"AMBUJACEM","21-Feb-2019","28-Feb-2019","CE","210","2.3","3.1","1.6","2.65","2.75","2.65","453","2405.72","27.47","417500","-182500","209.6"
"AMBUJACEM","22-Feb-2019","28-Feb-2019","CE","210","2.15","3.2","2.05","2.9","2.5","2.9","195","1036.96","13.21","362500","-55000","210.95"
"AMBUJACEM","25-Feb-2019","28-Feb-2019","CE","210","3","3.45","1.75","2","1.9","2","241","1279.79","14.54","427500","65000","210.1"
"AMBUJACEM","26-Feb-2019","28-Feb-2019","CE","210","1.85","3.4","1","2.8","2","2.8","576","3058.25","34.25","207500","-220000","212.35"
"AMBUJACEM","27-Feb-2019","28-Feb-2019","CE","210","3.45","9.65","3.4","4.8","4.4","4.8","158","851.05","21.55","102500","-105000","213.95"
"AMBUJACEM","28-Feb-2019","28-Feb-2019","CE","210","4.1","6.45","1.8","2.5","5","0","49","261.3","4.05","35000","-67500","212.05"
