,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,AMBUJACEM,EQ,01-Mar-2019,212.05,212.95,219.3,212.75,218.4,217.45,215.63,1389426,299605434.7,18483,334248,24.06,217.45,212.95
1,1,1,AMBUJACEM,EQ,05-Mar-2019,217.45,218.0,223.35,217.65,221.55,222.0,221.26,2838170,627976322.65,37618,1115045,39.29,222.0,218.0
2,2,2,AMBUJACEM,EQ,06-Mar-2019,222.0,222.9,226.4,219.55,221.5,220.25,222.35,4240764,942947774.4,33227,2192487,51.7,220.25,222.9
3,3,3,AMBUJACEM,EQ,07-Mar-2019,220.25,221.5,224.9,219.15,221.2,221.2,223.21,6193867,1382537097.1,29082,4307769,69.55,221.2,221.5
4,4,4,AMBUJACEM,EQ,08-Mar-2019,221.2,221.3,227.1,220.55,226.75,226.15,223.97,2803088,627818270.6,25394,1373280,48.99,226.15,221.3
5,5,5,AMBUJACEM,EQ,11-Mar-2019,226.15,226.75,234.7,226.45,232.6,233.3,230.5,4030315,929005381.6,30926,2199322,54.57,233.3,226.75
6,6,6,AMBUJACEM,EQ,12-Mar-2019,233.3,233.75,237.1,232.35,232.75,233.15,234.33,6903177,1617636857.85,67649,5309266,76.91,233.15,233.75
7,7,7,AMBUJACEM,EQ,13-Mar-2019,233.15,234.0,235.6,228.6,230.3,229.8,231.86,3736991,866450101.15,31252,2074277,55.51,229.8,234.0
8,8,8,AMBUJACEM,EQ,14-Mar-2019,229.8,230.0,232.95,223.65,224.2,224.15,225.62,2916976,658132434.05,28914,1361221,46.67,224.15,230.0
9,9,9,AMBUJACEM,EQ,15-Mar-2019,224.15,223.9,229.5,223.55,225.5,225.35,225.88,3226639,728827233.15,44817,1512842,46.89,225.35,223.9
10,10,10,AMBUJACEM,EQ,18-Mar-2019,225.35,226.9,229.55,225.0,225.65,226.45,226.78,1524697,345766940.6,29414,549809,36.06,226.45,226.9
11,11,11,AMBUJACEM,EQ,19-Mar-2019,226.45,226.55,231.35,226.55,229.9,229.85,229.11,1620753,371324772.75,25778,427523,26.38,229.85,226.55
12,12,12,AMBUJACEM,EQ,20-Mar-2019,229.85,230.9,230.95,226.8,227.2,227.45,228.12,1640049,374135901.1,21367,870616,53.08,227.45,230.9
13,13,13,AMBUJACEM,EQ,22-Mar-2019,227.45,228.75,233.4,227.4,229.85,229.85,229.98,2103761,483814597.4,26732,679795,32.31,229.85,228.75
14,14,14,AMBUJACEM,BL,25-Mar-2019,74.9,229.85,229.85,229.85,229.85,229.85,229.85,453007,104123658.95,1,453007,100.0,229.85,229.85
15,15,15,AMBUJACEM,EQ,25-Mar-2019,229.85,229.0,232.2,226.3,229.0,229.35,229.06,2495275,571561768.05,31531,1210963,48.53,229.35,229.0
16,16,16,AMBUJACEM,EQ,26-Mar-2019,229.35,228.45,232.2,228.4,232.1,231.4,230.38,2582780,595024035.5,74792,1305004,50.53,231.4,228.45
17,17,17,AMBUJACEM,EQ,27-Mar-2019,231.4,233.0,238.25,230.4,231.6,232.25,234.28,4639012,1086839932.4,78130,1267739,27.33,232.25,233.0
18,18,18,AMBUJACEM,EQ,28-Mar-2019,232.25,232.3,234.9,227.5,233.2,231.85,231.23,5196003,1201453579.25,64230,3025786,58.23,231.85,232.3
