,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,AMBUJACEM,EQ,04-May-2020,171.65,167.25,169.8,161.5,163.6,162.35,164.9,4949252,816153261.6,64277,2463881,49.78,162.35,167.25
1,1,1,1,1,AMBUJACEM,EQ,05-May-2020,162.35,165.0,168.85,163.75,165.85,164.8,166.37,4097025,681632958.95,43037,1297707,31.67,164.8,165.0
2,2,2,2,2,AMBUJACEM,EQ,06-May-2020,164.8,165.6,170.55,164.5,167.9,167.85,168.45,7032456,1184651632.85,60382,2274183,32.34,167.85,165.6
3,3,3,3,3,AMBUJACEM,EQ,07-May-2020,167.85,167.9,170.8,166.8,169.4,168.6,168.62,4497992,758453951.75,53864,1923921,42.77,168.6,167.9
4,4,4,4,4,AMBUJACEM,EQ,08-May-2020,168.6,170.7,172.95,168.75,169.5,169.35,170.23,3874980,659631096.15,53968,1552517,40.07,169.35,170.7
5,5,5,5,5,AMBUJACEM,EQ,11-May-2020,169.35,170.15,174.7,170.15,174.25,173.95,173.25,4258713,737834943.3,59815,1503990,35.32,173.95,170.15
6,6,6,6,6,AMBUJACEM,EQ,12-May-2020,173.95,173.5,176.3,170.65,175.2,175.2,174.26,3911751,681672698.45,38966,1340790,34.28,175.2,173.5
7,7,7,7,7,AMBUJACEM,EQ,13-May-2020,175.2,182.1,191.0,182.0,183.75,183.0,186.6,14928663,2785678175.8,128154,5357150,35.88,183.0,182.1
8,8,8,8,8,AMBUJACEM,EQ,14-May-2020,183.0,181.2,184.2,178.65,183.0,182.5,181.31,2893550,524625486.45,33321,811342,28.04,182.5,181.2
9,9,9,9,9,AMBUJACEM,EQ,15-May-2020,182.5,184.0,184.7,179.85,181.75,181.8,181.77,6194865,1126025026.6,64664,3976514,64.19,181.8,184.0
10,10,10,10,10,AMBUJACEM,EQ,18-May-2020,181.8,182.0,182.45,171.0,172.05,172.15,174.75,3640919,636259514.0,58004,1522628,41.82,172.15,182.0
11,11,11,11,11,AMBUJACEM,EQ,19-May-2020,172.15,173.9,176.8,170.25,174.2,174.6,174.31,3512226,612215886.4,36355,893332,25.43,174.6,173.9
12,12,12,12,12,AMBUJACEM,EQ,20-May-2020,174.6,174.5,181.55,172.35,179.85,179.65,177.47,2833520,502856936.95,35330,1074888,37.93,179.65,174.5
13,13,13,13,13,AMBUJACEM,EQ,21-May-2020,179.65,180.7,183.7,177.5,180.9,181.0,180.99,5097416,922569706.7,43709,2102434,41.25,181.0,180.7
14,14,14,14,14,AMBUJACEM,EQ,22-May-2020,181.0,180.0,187.85,177.2,186.35,186.95,185.08,6953579,1286989113.15,61803,2429612,34.94,186.95,180.0
15,15,15,15,15,AMBUJACEM,EQ,26-May-2020,186.95,187.8,190.0,185.55,187.8,188.55,188.19,5800498,1091594034.95,73145,2110506,36.38,188.55,187.8
16,16,16,16,16,AMBUJACEM,EQ,27-May-2020,188.55,189.9,189.9,185.1,186.35,187.45,187.22,3151133,589946369.5,23439,752261,23.87,187.45,189.9
17,17,17,17,17,AMBUJACEM,EQ,28-May-2020,187.45,187.25,192.0,185.4,191.15,191.3,189.77,3704033,702922478.65,30935,1141786,30.83,191.3,187.25
