"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","01-Oct-2021","28-Oct-2021","PE","400","19.75","21.2","15.5","16.25","16.5","16.25","259","3246.4","138.4","627000","129000","-"
"AMBUJACEM","04-Oct-2021","28-Oct-2021","PE","400","16","16.2","11.6","12.6","12.5","12.6","165","2045.74","65.74","696000","69000","-"
"AMBUJACEM","05-Oct-2021","28-Oct-2021","PE","400","14","14.05","12.25","12.7","12.7","12.7","170","2105.1","65.1","741000","45000","-"
"AMBUJACEM","06-Oct-2021","28-Oct-2021","PE","400","12.75","18","11.95","17.45","18","17.45","324","4025.63","137.63","840000","99000","-"
"AMBUJACEM","07-Oct-2021","28-Oct-2021","PE","400","15.8","16.25","12.65","13.4","13.5","13.4","169","2099.46","71.46","813000","-27000","-"
"AMBUJACEM","08-Oct-2021","28-Oct-2021","PE","400","13.45","14.2","12.5","13.3","13.2","13.3","160","1984.11","64.11","867000","54000","-"
"AMBUJACEM","11-Oct-2021","28-Oct-2021","PE","400","13.3","13.8","11.45","13","12.95","13","250","3093.75","93.75","855000","-12000","402.95"
"AMBUJACEM","12-Oct-2021","28-Oct-2021","PE","400","12.7","14.75","11.9","12","12","12","119","1475.63","47.63","921000","66000","403.6"
"AMBUJACEM","13-Oct-2021","28-Oct-2021","PE","400","11.95","12.05","10.55","11.3","11.25","11.3","216","2666.02","74.02","942000","21000","404"
"AMBUJACEM","14-Oct-2021","28-Oct-2021","PE","400","10.45","10.8","7.3","8.85","9","8.85","514","6302.14","134.14","972000","30000","-"
"AMBUJACEM","18-Oct-2021","28-Oct-2021","PE","400","6.4","8.25","5.5","7.65","7.5","7.65","324","3955.37","67.37","1095000","123000","-"
"AMBUJACEM","19-Oct-2021","28-Oct-2021","PE","400","7.5","18.8","6.75","17.5","17.65","17.5","991","12276.63","384.63","1251000","156000","-"
"AMBUJACEM","20-Oct-2021","28-Oct-2021","PE","400","14.15","18.75","11.25","15.3","15.8","15.3","315","3914.8","134.8","1152000","-99000","392.75"
"AMBUJACEM","21-Oct-2021","28-Oct-2021","PE","400","18.2","24.75","18.2","24","24","21.6","99","1252.65","64.65","1101000","-51000","-"
"AMBUJACEM","22-Oct-2021","28-Oct-2021","PE","400","25.35","28.3","22.6","24.15","24.15","24.55","59","754.74","46.74","1023000","-78000","-"
"AMBUJACEM","25-Oct-2021","28-Oct-2021","PE","400","26.9","32.65","24.05","25.9","26.5","25.9","122","1563.42","99.42","774000","-249000","375.9"
"AMBUJACEM","26-Oct-2021","28-Oct-2021","PE","400","24.5","25.5","20.6","21.4","20.6","21.4","12","152.69","8.69","759000","-15000","380.35"
"AMBUJACEM","27-Oct-2021","28-Oct-2021","PE","400","22","22","14.45","19","19","19","44","550.58","22.58","666000","-93000","381.85"
"AMBUJACEM","28-Oct-2021","28-Oct-2021","PE","400","17.5","18.5","9","11.55","11.55","390.05","63","780.84","24.84","516000","-150000","-"
