,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,AMBUJACEM,EQ,01-Oct-2021,400.2,399.9,404.8,396.0,403.0,402.25,401.76,4662848,1873366419.05,62089,    1912259,         41.01,402.25,399.9
1,AMBUJACEM,BL,04-Oct-2021,308.65,402.25,402.25,402.25,402.25,402.25,402.25,675513,271725104.25,1,-,-,402.25,402.25
2,AMBUJACEM,EQ,04-Oct-2021,402.25,404.9,409.95,402.5,406.6,406.5,406.78,4122450,1676917928.3,51030,    2224797,         53.97,406.5,404.9
3,AMBUJACEM,EQ,05-Oct-2021,406.5,406.45,407.6,402.8,403.55,403.65,404.97,2505330,1014590809.7,32016,    1480614,         59.10,403.65,406.45
4,AMBUJACEM,EQ,06-Oct-2021,403.65,404.0,405.8,393.5,394.05,394.9,399.89,4685363,1873614443.7,62622,    2685775,         57.32,394.9,404.0
5,AMBUJACEM,EQ,07-Oct-2021,394.9,398.95,404.7,397.3,402.95,402.9,401.31,5508787,2210731859.85,53502,    3450811,         62.64,402.9,398.95
6,AMBUJACEM,EQ,08-Oct-2021,402.9,404.9,406.0,401.25,403.2,403.05,403.47,3321119,1339956613.5,49420,    2081847,         62.69,403.05,404.9
7,AMBUJACEM,EQ,11-Oct-2021,403.05,404.0,406.95,400.3,402.55,402.95,403.51,3522402,1421307345.25,31911,    2097281,         59.54,402.95,404.0
8,AMBUJACEM,EQ,12-Oct-2021,402.95,402.85,405.0,398.55,403.75,403.6,402.14,2117480,851531255.45,31963,    1176661,         55.57,403.6,402.85
9,AMBUJACEM,EQ,13-Oct-2021,403.6,406.0,407.9,403.05,403.95,404.0,404.41,3780216,1528761725.85,38402,    2478297,         65.56,404.0,406.0
10,AMBUJACEM,EQ,14-Oct-2021,404.0,407.0,414.8,405.25,409.05,408.75,410.55,5426954,2228019880.5,63748,    2678798,         49.36,408.75,407.0
11,AMBUJACEM,EQ,18-Oct-2021,408.75,418.0,418.0,409.55,410.95,410.6,412.59,5319195,2194665010.35,62110,    2891382,         54.36,410.6,418.0
12,AMBUJACEM,EQ,19-Oct-2021,410.6,412.25,412.8,387.05,389.5,389.35,396.95,8255248,3276924508.9,112577,    4777639,         57.87,389.35,412.25
13,AMBUJACEM,EQ,20-Oct-2021,389.35,391.0,399.9,387.6,392.85,392.75,394.06,5245333,2066972865.05,67137,    1709698,         32.59,392.75,391.0
14,AMBUJACEM,EQ,21-Oct-2021,392.75,394.85,394.85,378.2,380.2,379.9,381.85,9834178,3755228737.7,117954,    5501987,         55.95,379.9,394.85
15,AMBUJACEM,EQ,22-Oct-2021,379.9,380.2,381.7,372.0,376.45,376.1,376.26,5253226,1976577801.95,86481,    2752368,         52.39,376.1,380.2
16,AMBUJACEM,EQ,25-Oct-2021,376.1,378.0,378.2,365.75,375.3,375.9,373.6,3368928,1258644928.75,42088,    1379683,         40.95,375.9,378.0
17,AMBUJACEM,EQ,26-Oct-2021,375.9,377.7,381.3,373.25,380.4,380.35,377.35,3427318,1293287793.2,40674,    1678077,         48.96,380.35,377.7
18,AMBUJACEM,EQ,27-Oct-2021,380.35,375.0,387.05,373.7,381.1,381.85,382.04,5357395,2046729517.3,74613,    1682215,         31.40,381.85,375.0
19,AMBUJACEM,EQ,28-Oct-2021,381.85,383.6,392.5,380.8,390.0,390.05,388.42,7419992,2882055220.0,111926,    3496405,         47.12,390.05,383.6
