,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,AMBUJACEM,EQ,01-Mar-2021,273.5,275.55,279.65,273.5,278.3,277.9,276.45,4095441,1132178156.6,42111,1164176,28.43,277.9,275.55
1,1,AMBUJACEM,EQ,02-Mar-2021,277.9,278.9,283.4,277.1,278.8,278.8,279.95,4657410,1303850012.65,43547,1241871,26.66,278.8,278.9
2,2,AMBUJACEM,EQ,03-Mar-2021,278.8,280.7,285.9,279.55,282.1,282.1,282.21,5079575,1433522895.15,37341,1959670,38.58,282.1,280.7
3,3,AMBUJACEM,EQ,04-Mar-2021,282.1,281.5,294.3,278.75,292.9,292.0,288.6,10478749,3024210648.1,86586,3650458,34.84,292.0,281.5
4,4,AMBUJACEM,EQ,05-Mar-2021,292.0,291.95,298.3,283.15,286.0,284.8,292.27,14706128,4298161674.05,130223,3004128,20.43,284.8,291.95
5,5,AMBUJACEM,EQ,08-Mar-2021,284.8,287.0,291.0,284.2,286.1,285.75,287.51,4470385,1285268473.1,39482,858471,19.2,285.75,287.0
6,6,AMBUJACEM,EQ,09-Mar-2021,285.75,287.8,293.3,285.2,290.9,291.05,290.06,6082622,1764305888.55,49464,1839181,30.24,291.05,287.8
7,7,AMBUJACEM,EQ,10-Mar-2021,291.05,292.55,293.8,289.0,291.7,292.0,291.37,3837384,1118094621.35,38564,1241659,32.36,292.0,292.55
8,8,AMBUJACEM,EQ,12-Mar-2021,292.0,293.0,293.9,287.5,288.65,289.5,290.01,5744777,1666025286.95,41642,2307006,40.16,289.5,293.0
9,9,AMBUJACEM,EQ,15-Mar-2021,289.5,290.9,290.9,279.0,283.35,283.65,282.85,4879115,1380042391.9,42461,2272812,46.58,283.65,290.9
10,10,AMBUJACEM,EQ,16-Mar-2021,283.65,284.9,290.0,284.25,285.55,285.55,287.02,7122222,2044249541.7,62011,3103880,43.58,285.55,284.9
11,11,AMBUJACEM,EQ,17-Mar-2021,285.55,285.9,287.35,280.0,281.0,280.85,281.94,5016639,1414386997.85,29485,2784468,55.5,280.85,285.9
12,12,AMBUJACEM,EQ,18-Mar-2021,280.85,283.0,285.95,277.45,281.3,281.05,283.16,4353319,1232686058.25,44585,1420421,32.63,281.05,283.0
13,13,AMBUJACEM,EQ,19-Mar-2021,281.05,278.0,284.6,274.05,284.1,283.45,281.52,6753108,1901163247.6,45182,3425868,50.73,283.45,278.0
14,14,AMBUJACEM,EQ,22-Mar-2021,283.45,284.45,297.8,278.0,297.4,295.6,292.58,11182565,3271818664.55,88706,2880805,25.76,295.6,284.45
15,15,AMBUJACEM,EQ,23-Mar-2021,295.6,297.2,306.4,293.55,304.9,304.45,300.96,11750637,3536465777.95,108861,2525906,21.5,304.45,297.2
16,16,AMBUJACEM,EQ,24-Mar-2021,304.45,302.85,307.5,300.9,305.0,303.8,304.65,9936778,3027230186.8,75239,3086834,31.06,303.8,302.85
17,17,AMBUJACEM,EQ,25-Mar-2021,303.8,307.0,307.2,293.0,294.5,294.1,297.53,6506272,1935805537.4,60848,1866715,28.69,294.1,307.0
