,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,0,0,0,0,AMBUJACEM,EQ,02-May-2022,372.2,371.6,380.5,368.75,376.85,378.15,376.7,5959678,2245021327.65,64005,1591126,26.7,378.15,371.6
1,1,1,1,1,1,1,1,1,AMBUJACEM,EQ,04-May-2022,378.15,379.55,382.0,364.65,369.0,368.1,371.77,5415006,2013149771.35,90293,1951512,36.04,368.1,379.55
2,2,2,2,2,2,2,2,2,AMBUJACEM,EQ,05-May-2022,368.1,371.0,375.35,364.95,368.0,366.35,370.5,5794511,2146866766.85,68751,2313988,39.93,366.35,371.0
3,3,3,3,3,3,3,3,3,AMBUJACEM,EQ,06-May-2022,366.35,360.55,372.35,360.55,365.55,365.4,366.85,5868878,2153018926.9,66036,1542090,26.28,365.4,360.55
4,4,4,4,4,4,4,4,4,AMBUJACEM,EQ,09-May-2022,365.4,363.35,369.0,359.45,366.0,366.75,364.78,3690073,1346059813.75,41297,794880,21.54,366.75,363.35
5,5,5,5,5,5,5,5,5,AMBUJACEM,EQ,10-May-2022,366.75,368.55,373.9,355.0,356.0,358.2,365.78,6322735,2312728668.3,93084,2343713,37.07,358.2,368.55
6,6,6,6,6,6,6,6,6,AMBUJACEM,EQ,11-May-2022,358.2,360.0,365.8,351.2,359.9,359.05,358.11,5728451,2051389070.85,58016,1895670,33.09,359.05,360.0
7,7,7,7,7,7,7,7,7,AMBUJACEM,EQ,12-May-2022,359.05,356.85,382.0,349.3,374.0,373.55,362.67,7493279,2717610573.3,64751,2584061,34.49,373.55,356.85
8,8,8,8,8,8,8,8,8,AMBUJACEM,EQ,13-May-2022,373.55,378.0,378.55,356.1,358.3,359.1,361.8,10195371,3688710560.4,109911,2173132,21.31,359.1,378.0
9,9,9,9,9,9,9,9,9,AMBUJACEM,EQ,16-May-2022,359.1,367.0,377.7,360.35,367.4,368.0,369.03,50459752,18621115228.0,504451,21726538,43.06,368.0,367.0
10,10,10,10,10,10,10,10,10,AMBUJACEM,EQ,17-May-2022,368.0,371.0,372.15,364.0,369.0,368.8,368.34,9431128,3473901611.3,157132,3536182,37.49,368.8,371.0
11,11,11,11,11,11,11,11,11,AMBUJACEM,EQ,18-May-2022,368.8,369.25,372.6,359.7,361.2,361.1,364.08,11887905,4328200743.85,179443,6360151,53.5,361.1,369.25
12,12,12,12,12,12,12,12,12,AMBUJACEM,EQ,19-May-2022,361.1,358.15,364.95,357.25,364.3,364.0,362.7,9179791,3329500572.15,144950,3792449,41.31,364.0,358.15
13,13,13,13,13,13,13,13,13,AMBUJACEM,EQ,20-May-2022,364.0,368.0,368.0,362.05,363.45,363.0,364.5,4308673,1570490455.6,76120,1962143,45.54,363.0,368.0
14,14,14,14,14,14,14,14,14,AMBUJACEM,EQ,23-May-2022,363.0,365.65,367.3,362.4,363.2,363.45,365.37,3889679,1421165040.05,76635,1806179,46.44,363.45,365.65
15,15,15,15,15,15,15,15,15,AMBUJACEM,EQ,24-May-2022,363.45,364.8,365.7,360.45,361.8,361.45,362.82,4200025,1523872262.45,31706,2298049,54.72,361.45,364.8
16,16,16,16,16,16,16,16,16,AMBUJACEM,EQ,25-May-2022,361.45,362.4,364.25,360.65,362.0,361.7,362.39,2440985,884592573.45,21830,1134058,46.46,361.7,362.4
17,17,17,17,17,17,17,17,17,AMBUJACEM,EQ,26-May-2022,361.7,362.15,366.3,359.7,365.55,365.4,363.19,3900318,1416548155.75,42244,1403178,35.98,365.4,362.15
