"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","03-Jan-2022","27-Jan-2022","CE","380","11.5","17.7","11.5","15.75","16","15.75","2250","13287.61","462.61","319500","4500","387"
"AMBUJACEM","04-Jan-2022","27-Jan-2022","CE","380","15.8","18","13.5","17.2","16.65","17.2","338","2008.82","82.22","315000","-4500","-"
"AMBUJACEM","05-Jan-2022","27-Jan-2022","CE","380","17.15","20","17","19.05","19","19.05","212","1266.74","58.34","298500","-16500","393.7"
"AMBUJACEM","06-Jan-2022","27-Jan-2022","CE","380","17","19.45","13.9","15.45","15.55","15.45","189","1124.74","47.44","286500","-12000","387.05"
"AMBUJACEM","07-Jan-2022","27-Jan-2022","CE","380","18","27.15","16.65","23.75","22.9","23.75","196","1177.93","60.73","277500","-9000","397.25"
"AMBUJACEM","10-Jan-2022","27-Jan-2022","CE","380","25.2","25.75","23","24.7","24.9","24.7","56","339.96","20.76","273000","-4500","399.35"
"AMBUJACEM","11-Jan-2022","27-Jan-2022","CE","380","26.95","28","20","21.35","21","21.35","34","205.77","11.97","265500","-7500","-"
"AMBUJACEM","12-Jan-2022","27-Jan-2022","CE","380","22.8","25.55","20.55","22.15","22","22.15","39","235.44","13.14","261000","-4500","397.9"
"AMBUJACEM","13-Jan-2022","27-Jan-2022","CE","380","22.5","23.5","19.95","20.45","20.5","20.45","21","126.29","6.59","247500","-13500","-"
"AMBUJACEM","14-Jan-2022","27-Jan-2022","CE","380","23.45","26.8","23.45","25.25","25.25","26.15","24","145.7","8.9","232500","-15000","-"
"AMBUJACEM","17-Jan-2022","27-Jan-2022","CE","380","32.9","32.9","19.8","29.35","29.5","29.35","41","249.43","15.73","223500","-9000","-"
"AMBUJACEM","18-Jan-2022","27-Jan-2022","CE","380","21.05","21.05","9.15","9.75","9.7","9.75","173","1018.45","32.35","259500","36000","-"
"AMBUJACEM","19-Jan-2022","27-Jan-2022","CE","380","9.5","9.5","5.4","5.7","5.95","5.7","1008","5847.72","102.12","396000","136500","374.85"
"AMBUJACEM","20-Jan-2022","27-Jan-2022","CE","380","6.65","7.35","4.25","4.9","4.95","4.9","991","5733.02","84.32","595500","199500","375.1"
"AMBUJACEM","21-Jan-2022","27-Jan-2022","CE","380","4.95","4.95","1.35","1.75","1.8","1.75","853","4893.16","31.06","507000","-88500","-"
"AMBUJACEM","24-Jan-2022","27-Jan-2022","CE","380","1.7","1.85","0.45","0.55","0.55","0.55","499","2849.82","5.52","417000","-90000","-"
"AMBUJACEM","25-Jan-2022","27-Jan-2022","CE","380","0.5","0.5","0.1","0.15","0.1","0.15","231","1317.66",".96","292500","-124500","351.5"
"AMBUJACEM","27-Jan-2022","27-Jan-2022","CE","380","0.1","0.1","0.05","0.05","0.05","351.65","80","456.08",".08","235500","-57000","-"
