"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","02-May-2022","26-May-2022","PE","370","15.75","15.75","11.05","11.5","11.7","11.5","522","2997.11","100.01","361500","34500","-"
"AMBUJACEM","04-May-2022","26-May-2022","PE","370","11","16.9","10.5","15.4","14.75","15.4","639","3678.01","131.56","331500","-30000","368.1"
"AMBUJACEM","05-May-2022","26-May-2022","PE","370","12.8","15.85","11.95","15.5","15.2","15.5","477","2745.17","97.82","366000","34500","-"
"AMBUJACEM","06-May-2022","26-May-2022","PE","370","16.75","17.75","12.75","15.9","16","15.9","680","3927.68","153.68","346500","-19500","-"
"AMBUJACEM","09-May-2022","26-May-2022","PE","370","17.25","18.85","13.4","14.85","14.9","14.85","260","1505.22","62.22","328500","-18000","-"
"AMBUJACEM","10-May-2022","26-May-2022","PE","370","12.45","20.15","12","19.25","19.9","19.25","364","2101.64","81.44","333000","4500","-"
"AMBUJACEM","11-May-2022","26-May-2022","PE","370","14.7","23.1","14.7","17","17","17.75","86","503.01","25.71","321000","-12000","359.05"
"AMBUJACEM","12-May-2022","26-May-2022","PE","370","20.15","22.6","12.5","15.45","16.15","15.45","300","1737.67","72.67","406500","85500","373.55"
"AMBUJACEM","13-May-2022","26-May-2022","PE","370","14.8","22.9","14.6","21.65","21.4","21.65","259","1511.94","74.49","442500","36000","-"
"AMBUJACEM","16-May-2022","26-May-2022","PE","370","15.95","19.35","5","8.45","8.35","8.45","5074","28818.78","658.08","1144500","702000","-"
"AMBUJACEM","17-May-2022","26-May-2022","PE","370","8.4","9.85","5.6","6","6","6","2595","14666.93","264.68","2289000","1144500","-"
"AMBUJACEM","18-May-2022","26-May-2022","PE","370","6.05","11.25","4.75","10.2","10","10.2","2676","15124.6","272.8","3762000","1473000","-"
"AMBUJACEM","19-May-2022","26-May-2022","PE","370","10.9","12.4","7.3","7.95","7.9","7.95","547","3107.71","71.86","3597000","-165000","-"
"AMBUJACEM","20-May-2022","26-May-2022","PE","370","6.95","8.15","6.05","7.6","8.1","7.6","290","1639.44","29.94","3580500","-16500","-"
"AMBUJACEM","23-May-2022","26-May-2022","PE","370","5.7","7.95","4.4","7.3","7.95","7.3","352","1982.96","29.36","3441000","-139500","363.45"
"AMBUJACEM","24-May-2022","26-May-2022","PE","370","7.3","9.4","5.15","7.95","7.95","7.95","119","672.88","12.43","3415500","-25500","-"
"AMBUJACEM","25-May-2022","26-May-2022","PE","370","7.95","9","5.65","7.7","7.1","7.7","121","683.51","11.96","3301500","-114000","361.7"
"AMBUJACEM","26-May-2022","26-May-2022","PE","370","7.6","9.9","3.45","4.9","3.45","365.4","272","1534.06","24.46","3064500","-237000","-"
