"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ASIANPAINT","01-Aug-2019","29-Aug-2019","CE","1500","45","55.6","37","41.8","46","41.8","257","2379.07","66.07","190800","-12600","1504.7"
"ASIANPAINT","02-Aug-2019","29-Aug-2019","CE","1500","46","72.95","41.65","69.95","70","69.95","259","2417.54","86.54","198600","7800","1545.2"
"ASIANPAINT","05-Aug-2019","29-Aug-2019","CE","1500","66.85","72","52.95","55.85","56.5","55.85","86","803.79","29.79","199800","1200","1525.4"
"ASIANPAINT","06-Aug-2019","29-Aug-2019","CE","1500","61","89.35","61","84.6","86.85","84.6","95","897.17","42.17","193200","-6600","1565.85"
"ASIANPAINT","07-Aug-2019","29-Aug-2019","CE","1500","90","90","75","80.75","80.75","80.75","18","171","9","190800","-2400","1559.2"
"ASIANPAINT","08-Aug-2019","29-Aug-2019","CE","1500","73.3","86","63.55","83.35","86","83.35","30","282.9","12.9","178800","-12000","1565.9"
"ASIANPAINT","09-Aug-2019","29-Aug-2019","CE","1500","87","97.4","83.5","89","89","92.75","56","534.43","30.43","173400","-5400","1575.5"
"ASIANPAINT","13-Aug-2019","29-Aug-2019","CE","1500","94","98","84.55","85","85","86.45","46","439.87","25.87","169200","-4200","1573.35"
"ASIANPAINT","14-Aug-2019","29-Aug-2019","CE","1500","72.9","82.9","72.9","82.9","82.9","81.8","2","18.93",".93","169200","0","1569.7"
"ASIANPAINT","16-Aug-2019","29-Aug-2019","CE","1500","85.7","98","81.9","98","98","104.4","11","104.95","5.95","169800","600","1597.45"
"ASIANPAINT","19-Aug-2019","29-Aug-2019","CE","1500","100.5","107.9","91.1","91.75","91.75","91.75","39","374.36","23.36","163200","-6600","1586.45"
"ASIANPAINT","20-Aug-2019","29-Aug-2019","CE","1500","90.75","100","90.75","99.6","99","99.6","8","76.71","4.71","159600","-3600","1595.15"
"ASIANPAINT","21-Aug-2019","29-Aug-2019","CE","1500","93.4","94.5","85.05","94.5","94.5","94.5","8","76.4","4.4","156600","-3000","1589.15"
"ASIANPAINT","22-Aug-2019","29-Aug-2019","CE","1500","92","92","72","74.9","74","74.9","20","189.88","9.88","144600","-12000","1570.2"
"ASIANPAINT","23-Aug-2019","29-Aug-2019","CE","1500","70","87","63.5","87","87","87","11","103.53","4.53","139200","-5400","1580.4"
"ASIANPAINT","26-Aug-2019","29-Aug-2019","CE","1500","86","99.5","84","97.85","95","97.85","13","124.23","7.23","133200","-6000","1597.55"
"ASIANPAINT","27-Aug-2019","29-Aug-2019","CE","1500","91","105","90.25","98.3","98.3","98.3","25","239.55","14.55","127800","-5400","-"
"ASIANPAINT","28-Aug-2019","29-Aug-2019","CE","1500","98.3","100","94","99","99","103.45","21","201.3","12.3","118200","-9600","1603.15"
"ASIANPAINT","29-Aug-2019","29-Aug-2019","CE","1500","97.5","118","89","109.8","117.9","0","104","998.23","62.23","83400","-34800","1615.25"
