,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,ASIANPAINT,EQ,01-Jul-2019,1358.15,1368.0,1374.5,1351.05,1353.0,1353.85,1362.8,739182,1007358762.85,27074,379125,51.29,1353.85,1368.0
1,1,1,1,ASIANPAINT,EQ,02-Jul-2019,1353.85,1356.0,1360.0,1340.7,1341.8,1345.75,1347.68,1171118,1578295992.6,52062,685711,58.55,1345.75,1356.0
2,2,2,2,ASIANPAINT,EQ,03-Jul-2019,1345.75,1356.05,1371.0,1349.5,1353.8,1352.0,1358.98,1378288,1873062155.15,56945,554419,40.23,1352.0,1356.05
3,3,3,3,ASIANPAINT,EQ,04-Jul-2019,1352.0,1356.0,1366.35,1351.15,1360.0,1359.7,1360.67,902077,1227425016.1,32924,554536,61.47,1359.7,1356.0
4,4,4,4,ASIANPAINT,EQ,05-Jul-2019,1359.7,1363.9,1373.45,1351.45,1357.5,1358.7,1364.22,966162,1318055589.05,38432,458354,47.44,1358.7,1363.9
5,5,5,5,ASIANPAINT,EQ,08-Jul-2019,1358.7,1358.0,1358.4,1332.7,1341.0,1340.25,1341.22,866416,1162058239.8,33577,513933,59.32,1340.25,1358.0
6,6,6,6,ASIANPAINT,EQ,09-Jul-2019,1340.25,1344.9,1344.9,1291.25,1321.0,1321.0,1307.25,2037332,2663303959.55,78098,1044951,51.29,1321.0,1344.9
7,7,7,7,ASIANPAINT,EQ,10-Jul-2019,1321.0,1317.8,1340.35,1312.05,1322.0,1322.95,1326.54,1115080,1479195862.1,52209,415355,37.25,1322.95,1317.8
8,8,8,8,ASIANPAINT,EQ,11-Jul-2019,1322.95,1317.0,1337.0,1311.05,1332.5,1332.45,1328.09,757323,1005793501.75,48016,262695,34.69,1332.45,1317.0
9,9,9,9,ASIANPAINT,EQ,12-Jul-2019,1332.45,1332.45,1369.55,1325.45,1362.8,1361.95,1350.39,1050985,1419239536.7,30977,548762,52.21,1361.95,1332.45
10,10,10,10,ASIANPAINT,EQ,15-Jul-2019,1361.95,1362.85,1367.0,1347.05,1348.95,1353.15,1356.44,666533,904115133.05,34548,317087,47.57,1353.15,1362.85
11,11,11,11,ASIANPAINT,EQ,16-Jul-2019,1353.15,1352.0,1375.0,1345.0,1371.0,1372.3,1366.91,782642,1069798270.15,45952,402306,51.4,1372.3,1352.0
12,12,12,12,ASIANPAINT,EQ,17-Jul-2019,1372.3,1377.0,1404.85,1375.5,1394.0,1395.9,1391.58,1599926,2226419096.9,58958,696137,43.51,1395.9,1377.0
13,13,13,13,ASIANPAINT,EQ,18-Jul-2019,1395.9,1395.0,1395.35,1377.2,1384.5,1384.95,1385.73,802222,1111664010.0,48621,430722,53.69,1384.95,1395.0
14,14,14,14,ASIANPAINT,EQ,19-Jul-2019,1384.95,1390.1,1399.4,1365.0,1373.95,1369.1,1376.69,842552,1159928889.3,47644,360732,42.81,1369.1,1390.1
15,15,15,15,ASIANPAINT,EQ,22-Jul-2019,1369.1,1367.8,1410.0,1359.05,1401.15,1404.2,1393.98,1279369,1783416447.45,50354,445955,34.86,1404.2,1367.8
16,16,16,16,ASIANPAINT,EQ,23-Jul-2019,1404.2,1409.0,1443.95,1401.85,1430.3,1429.35,1427.71,2262423,3230082283.85,91243,729434,32.24,1429.35,1409.0
17,17,17,17,ASIANPAINT,EQ,24-Jul-2019,1429.35,1430.5,1493.5,1395.15,1478.5,1483.4,1453.57,7400250,10756764457.0,231051,2119995,28.65,1483.4,1430.5
18,18,18,18,ASIANPAINT,EQ,25-Jul-2019,1483.4,1481.3,1503.85,1459.05,1498.0,1495.85,1486.86,4194809,6237079307.15,187531,1555476,37.08,1495.85,1481.3
