"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ASIANPAINT","01-Sep-2020","24-Sep-2020","PE","1900","57.35","57.35","28.35","29.4","28.7","29.4","1446","8398.64","156.44","120600","39000","-"
"ASIANPAINT","02-Sep-2020","24-Sep-2020","PE","1900","32","42.8","24","34.6","33.2","34.6","1282","7438.61","131.21","98700","-21900","1943.95"
"ASIANPAINT","03-Sep-2020","24-Sep-2020","PE","1900","31","37","24.65","25.6","25.15","25.6","578","3345.44","50.84","120900","22200","-"
"ASIANPAINT","04-Sep-2020","24-Sep-2020","PE","1900","30.65","33","24.7","29.95","28.5","29.95","744","4305.06","64.26","107100","-13800","1956.35"
"ASIANPAINT","07-Sep-2020","24-Sep-2020","PE","1900","28.55","33.55","19.9","23","23","23","751","4337.26","56.56","124800","17700","-"
"ASIANPAINT","08-Sep-2020","24-Sep-2020","PE","1900","24.05","29.95","20.1","27.5","29.95","27.5","370","2136.06","27.06","122100","-2700","-"
"ASIANPAINT","09-Sep-2020","24-Sep-2020","PE","1900","27.05","32.8","21.05","21.75","21.15","21.75","535","3088.79","39.29","142800","20700","-"
"ASIANPAINT","10-Sep-2020","24-Sep-2020","PE","1900","15.8","20.8","11.5","12.05","11.55","12.05","1163","6678.84","49.74","202500","59700","-"
"ASIANPAINT","11-Sep-2020","24-Sep-2020","PE","1900","11.95","12.4","4.85","9.95","11.1","9.95","846","4849.82","27.62","183000","-19500","-"
"ASIANPAINT","14-Sep-2020","24-Sep-2020","PE","1900","5.3","12.3","4.1","8.7","8.35","8.7","627","3591.47","17.57","182400","-600","-"
"ASIANPAINT","15-Sep-2020","24-Sep-2020","PE","1900","6.25","9.3","6.25","8.25","8.15","8.25","260","1488.46","6.46","177000","-5400","-"
"ASIANPAINT","16-Sep-2020","24-Sep-2020","PE","1900","10.7","11.6","6.55","7.2","6.8","7.2","667","3821.02","19.12","181200","4200","-"
"ASIANPAINT","17-Sep-2020","24-Sep-2020","PE","1900","7.25","7.95","4.75","6.6","6.95","6.6","534","3053.33","9.53","182700","1500","-"
"ASIANPAINT","18-Sep-2020","24-Sep-2020","PE","1900","5.95","6.95","3.45","4.3","3.85","4.3","731","4176.44","9.74","156600","-26100","2028.4"
"ASIANPAINT","21-Sep-2020","24-Sep-2020","PE","1900","7.35","7.35","1.8","5.4","4.7","5.4","720","4113.05","9.05","129000","-27600","-"
"ASIANPAINT","22-Sep-2020","24-Sep-2020","PE","1900","5","10.8","3.8","5.55","6.8","5.55","952","5446.89","20.49","88200","-40800","-"
"ASIANPAINT","23-Sep-2020","24-Sep-2020","PE","1900","6.45","6.5","1.05","1.5","1.05","1.5","433","2471.26","3.16","70800","-17400","1946.55"
"ASIANPAINT","24-Sep-2020","24-Sep-2020","PE","1900","6.75","7.85","0.05","0.05","0.05","1918.35","305","1740.26","1.76","50100","-20700","-"
