,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,ASIANPAINT,EQ,01-Jan-2020,1784.95,1790.2,1802.55,1783.2,1784.25,1793.2,1794.29,397285,712846264.85,15386,79648,20.05,1793.2,1790.2
1,ASIANPAINT,EQ,02-Jan-2020,1793.2,1791.0,1799.9,1783.4,1789.8,1790.65,1791.83,411266,736917175.1,22042,130259,31.67,1790.65,1791.0
2,ASIANPAINT,EQ,03-Jan-2020,1790.65,1779.8,1779.8,1747.05,1750.0,1751.4,1758.01,1318628,2318156816.05,66172,466498,35.38,1751.4,1779.8
3,ASIANPAINT,EQ,06-Jan-2020,1751.4,1737.95,1738.0,1694.0,1710.0,1707.15,1708.88,1871804,3198688794.8,70558,729821,38.99,1707.15,1737.95
4,ASIANPAINT,EQ,07-Jan-2020,1707.15,1711.0,1740.5,1711.0,1730.65,1724.4,1729.25,1033650,1787440105.5,70683,318738,30.84,1724.4,1711.0
5,ASIANPAINT,EQ,08-Jan-2020,1724.4,1696.0,1736.0,1695.0,1732.6,1728.8,1716.72,1006057,1727117748.25,45401,286023,28.43,1728.8,1696.0
6,ASIANPAINT,EQ,09-Jan-2020,1728.8,1763.0,1775.0,1741.0,1767.35,1772.55,1758.07,1781733,3132410683.65,72574,1003861,56.34,1772.55,1763.0
7,ASIANPAINT,EQ,10-Jan-2020,1772.55,1772.0,1797.3,1760.0,1793.3,1792.55,1783.77,1256612,2241507018.2,44862,623304,49.6,1792.55,1772.0
8,ASIANPAINT,EQ,13-Jan-2020,1792.55,1799.0,1807.95,1794.35,1804.0,1804.9,1801.41,823821,1484038698.9,38516,329761,40.03,1804.9,1799.0
9,ASIANPAINT,EQ,14-Jan-2020,1804.9,1805.0,1821.65,1804.8,1819.0,1819.15,1816.62,775629,1409023303.7,37999,339481,43.77,1819.15,1805.0
10,ASIANPAINT,EQ,15-Jan-2020,1819.15,1817.5,1845.0,1810.1,1839.8,1842.25,1829.41,1252925,2292114308.85,49053,413218,32.98,1842.25,1817.5
11,ASIANPAINT,EQ,16-Jan-2020,1842.25,1835.95,1848.0,1828.75,1838.9,1835.15,1836.46,1031569,1894437205.15,55042,581521,56.37,1835.15,1835.95
12,ASIANPAINT,EQ,17-Jan-2020,1835.15,1835.6,1838.9,1815.0,1836.0,1830.05,1826.78,862204,1575058915.4,44885,411022,47.67,1830.05,1835.6
13,ASIANPAINT,EQ,20-Jan-2020,1830.05,1838.0,1862.25,1833.6,1847.5,1848.75,1851.25,1091453,2020549413.3,60609,346819,31.78,1848.75,1838.0
14,ASIANPAINT,EQ,21-Jan-2020,1848.75,1839.95,1842.55,1793.85,1809.0,1810.75,1810.96,2101561,3805838775.65,79182,657762,31.3,1810.75,1839.95
15,ASIANPAINT,EQ,22-Jan-2020,1810.75,1815.0,1818.7,1766.85,1773.2,1779.25,1791.56,3415306,6118736746.75,118628,816114,23.9,1779.25,1815.0
16,ASIANPAINT,EQ,23-Jan-2020,1779.25,1779.0,1789.0,1757.1,1778.1,1776.1,1769.08,1885275,3335210411.65,84213,900798,47.78,1776.1,1779.0
17,ASIANPAINT,EQ,24-Jan-2020,1776.1,1783.65,1799.9,1780.25,1791.4,1786.8,1791.35,1195596,2141728953.65,48875,453815,37.96,1786.8,1783.65
18,ASIANPAINT,EQ,27-Jan-2020,1786.8,1787.0,1805.75,1780.0,1790.0,1788.35,1793.25,969054,1737752480.8,46103,254554,26.27,1788.35,1787.0
19,ASIANPAINT,EQ,28-Jan-2020,1788.35,1794.0,1794.0,1773.0,1780.0,1779.1,1780.07,873291,1554522884.6,55125,400185,45.82,1779.1,1794.0
20,ASIANPAINT,EQ,29-Jan-2020,1779.1,1787.0,1803.85,1781.0,1798.0,1796.95,1794.76,873805,1568267257.5,55308,280153,32.06,1796.95,1787.0
21,ASIANPAINT,EQ,30-Jan-2020,1796.95,1800.0,1808.9,1786.0,1795.55,1805.0,1796.25,1005975,1806986275.8,56855,447227,44.46,1805.0,1800.0
