,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,Delta,OV,OV-Change,OV-Mean,Change,Ratio,Result
4,ASIANPAINT,09-Apr-20,30-Apr-20,PE,1600,70.05,72,55,60.9,64,60.9,149,1486.16,55.76,54600,13800,1651.35,21,17.70689655,86.17779857,-1.91705254,-13.0620985,-9.236521264,25.41666667
4,ASIANPAINT,08-May-20,28-May-20,PE,1600,47.8,88,47.8,80.4,79.05,80.4,1292,6492.01,290.41,133200,-6000,1578.4,20,-5.373134328,69.16608997,2.640634236,68.20083682,-2.034789315,-18.34789515
14,ASIANPAINT,22-May-20,28-May-20,PE,1600,48,51,19.45,22.7,27,22.7,1140,5566.41,94.41,111300,40500,1617.9,6,4.731277533,179.4640685,-6.404411857,-52.70833333,-0.738752853,-23.1884058
11,ASIANPAINT,18-Mar-20,26-Mar-20,PE,1700,58,131.95,54.55,123.9,131.95,123.9,884,9505.57,488.77,112200,-88200,1618.2,8,-5.281678773,178.0384288,11.74081136,113.6206897,-0.44985637,33.40909091
13,ASIANPAINT,18-Jun-20,25-Jun-20,PE,1600,44.7,47,30.35,37.25,39.15,37.25,570,2805.68,69.68,87900,-300,-,7,-0.413422819,-99.35719376,3.045240085,-16.66666667,-0.135760337,40.78549849
3,ASIANPAINT,07-May-20,28-May-20,PE,1600,67.15,108,63.25,72.25,71,72.25,1197,6051.65,306.05,139200,15900,1594.3,21,-1.656747405,303.1920678,16.53490292,7.594936709,-0.100196984,-23.63751584
9,ASIANPAINT,16-Mar-20,26-Mar-20,PE,1700,55.7,106,51.25,96.6,99.95,96.6,1163,12376.17,513.57,112200,-37800,1683.4,10,-1.718426501,2009.835622,112.0267767,73.42908438,-0.015339426,28.72483221
19,ASIANPAINT,28-Jan-20,30-Jan-20,PE,1700,0.65,0.65,0.15,0.4,0.4,0.05,47,479.51,0.11,109800,-14400,1779.1,2,395.5,-34.03286979,452.8929825,-38.46153846,0.873274737,0
20,ASIANPAINT,29-Jan-20,30-Jan-20,PE,1700,0.05,0.25,0.05,0.05,0.05,0.05,36,367.23,0.03,92400,-17400,1796.95,1,1939,79.60288809,491.2701754,0,3.946911693,17.11711712
21,ASIANPAINT,30-Jan-20,30-Jan-20,PE,1700,0.05,0.1,0.05,0.05,0.05,0,25,255.01,0.01,78600,-13800,1805,0,0,#NAME?,954.8666667,0,0,
16,ASIANPAINT,25-Feb-20,27-Feb-20,PE,1700,0.55,0.55,0.3,0.35,0.35,0.35,12,122.43,0.03,46200,-3600,1826.1,2,720.5714286,9.957825679,1236.764791,-36.36363636,0.582626085,inf
17,ASIANPAINT,26-Feb-20,27-Feb-20,PE,1700,0.2,0.25,0.05,0.25,0.25,0.05,16,163.21,0.01,37800,-8400,1826.65,1,506.6,-42.23676048,772.5743146,25,0.655729799,-1.538461538
18,ASIANPAINT,27-Feb-20,27-Feb-20,PE,1700,0.1,0.1,0.05,0.05,0.05,1843.8,9,91.8,0,33600,-4200,1843.8,0,0,#NAME?,625.3298701,-50,0,
10,ASIANPAINT,17-Mar-20,26-Mar-20,PE,1700,87.75,102.55,53.65,69,69.5,69,913,9670.45,357.85,200400,88200,1731.6,9,4.12173913,141.6917822,30.54688826,-21.36752137,0.134931555,-67.4
3,ASIANPAINT,04-Jun-20,25-Jun-20,PE,1600,19.75,45.3,19.5,43.1,43.2,43.1,2061,10107.61,214.81,101400,18000,1633.75,21,16.44431555,-718.5103529,108.4923555,118.2278481,0.151571191,-17.3126615
4,ASIANPAINT,07-Jan-20,30-Jan-20,PE,1700,24.65,33.25,21.75,27.85,28.15,27.85,286,2962.75,45.55,144600,8400,1724.4,23,20.1508079,77.23051444,113.434492,12.98174442,0.177642687,29.98007968
8,ASIANPAINT,13-Mar-20,26-Mar-20,PE,1700,41.1,84,26.8,38.7,36.9,38.7,630,6611.72,185.72,150000,-45000,1797.7,13,32.81912145,-84.46554071,177.1660522,-5.839416058,0.185244978,-25.47914318
8,ASIANPAINT,11-Jun-20,25-Jun-20,PE,1600,41.55,48.45,33.8,46.85,47.5,46.85,1010,4979.79,131.79,109800,7500,-,14,3.16755603,-339.3333188,15.20513265,12.755716,0.208321499,30.31716418
7,ASIANPAINT,12-Mar-20,26-Mar-20,PE,1700,14.6,37,13.4,33.15,31.15,33.15,1009,10448.6,156.8,195000,53400,1843.35,14,60.53996983,-300.9272545,281.512378,127.0547945,0.215052604,30.33483258
