,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,Alpha,Alpha-Change,Alpha-Mean,Change
0,BANKNIFTY,01-Jan-2018,22-Feb-2018,CE,25000,950.0,950.0,940.0,940.0,940.0,940.0,2,20.76,0.76,1240,80,25318.1,-25.595744680851062,,,-1.0526315789473684
1,BANKNIFTY,02-Jan-2018,22-Feb-2018,CE,25000,800.0,800.0,800.0,800.0,800.0,800.0,6,61.92,1.92,1440,200,25338.25,-30.25,15.38596799718657,,0.0
2,BANKNIFTY,03-Jan-2018,22-Feb-2018,CE,25000,760.0,854.0,760.0,850.0,850.0,850.0,17,175.69,5.69,2000,560,25318.6,-28.41176470588235,-6.469979296066258,,11.842105263157894
3,BANKNIFTY,04-Jan-2018,22-Feb-2018,CE,25000,840.0,870.0,840.0,865.0,870.0,865.0,18,186.15,6.15,2240,240,25462.6,-27.90173410404624,-1.8279530581654668,-28.08583646224447,2.976190476190476
4,BANKNIFTY,05-Jan-2018,22-Feb-2018,CE,25000,900.0,940.0,900.0,940.0,940.0,940.0,38,393.94,13.94,3240,1000,25601.85,-25.595744680851062,-9.009268735675262,-28.85449960330953,4.444444444444445
5,BANKNIFTY,08-Jan-2018,22-Feb-2018,CE,25000,990.0,1018.0,950.0,1000.0,1000.0,1000.0,25,260.05,10.05,4000,760,25676.1,-24.0,-6.64893617021276,-27.30308116359322,1.0101010101010102
6,BANKNIFTY,09-Jan-2018,22-Feb-2018,CE,25000,960.0,1000.0,960.0,1000.0,1000.0,1000.0,123,1278.08,48.08,8920,4920,25703.8,-24.0,-0.0,-25.832492928299104,4.166666666666666
7,BANKNIFTY,10-Jan-2018,22-Feb-2018,CE,25000,924.2,937.0,924.2,930.0,930.0,930.0,5,51.86,1.86,9040,120,25617.3,-25.881720430107528,7.27046115496469,-24.531914893617017,0.6275697900887205
8,BANKNIFTY,11-Jan-2018,22-Feb-2018,CE,25000,919.95,920.0,919.95,920.0,920.0,920.0,2,20.74,0.74,9080,40,25660.9,-26.17391304347826,1.1163505162004779,-24.627240143369175,0.0054350779933642615
9,BANKNIFTY,12-Jan-2018,22-Feb-2018,CE,25000,980.0,980.0,880.0,950.0,950.0,950.0,49,508.43,18.43,9560,480,25749.05,-25.31578947368421,-3.389677302720791,-25.351877824528597,-3.061224489795918
10,BANKNIFTY,15-Jan-2018,22-Feb-2018,CE,25000,1024.95,1210.0,1024.95,1210.0,1210.0,1210.0,15,157.05,7.05,9400,-160,26069.2,-19.66115702479339,-28.760425654299667,-25.790474315756665,18.054539245816866
11,BANKNIFTY,16-Jan-2018,22-Feb-2018,CE,25000,1140.0,1150.0,1140.0,1142.0,1150.0,1142.0,5,52.28,2.28,9600,200,25974.9,-20.891418563922944,5.88883677460789,-23.716953180651956,0.17543859649122806
12,BANKNIFTY,17-Jan-2018,22-Feb-2018,CE,25000,1190.0,1400.0,1180.0,1400.0,1400.0,1400.0,131,1374.18,64.18,14200,4600,26289.1,-16.857142857142858,-23.932144023271697,-21.956121687466847,17.647058823529413
13,BANKNIFTY,18-Jan-2018,22-Feb-2018,CE,25000,1618.0,1825.0,1618.0,1745.05,1745.05,1745.05,102,1092.05,72.05,15400,1200,26537.4,-13.326237070571045,-26.495895036786326,-19.136572815286396,7.852286773794806
14,BANKNIFTY,19-Jan-2018,22-Feb-2018,CE,25000,1693.0,1813.85,1693.0,1813.85,1813.85,1813.85,35,374.38,24.38,14960,-440,26909.5,-12.782837610607274,-4.251008082218418,-17.024932830545612,7.138216184288241
