,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,Alpha,Alpha-Change,Alpha-Mean,Change,Ratio
0,BANKNIFTY,01-Jan-2018,22-Feb-2018,PE,25000,330.0,360.0,325.0,357.25,359.5,357.25,34,344.69,4.69,7600,720,25318.1,-68.97900629811056,,,8.257575757575758,
1,BANKNIFTY,02-Jan-2018,22-Feb-2018,PE,25000,374.0,423.05,374.0,382.05,380.75,382.05,151,1533.56,23.56,8920,1320,25338.25,-64.43646119617851,-7.049650178805056,,2.1524064171123025,
2,BANKNIFTY,03-Jan-2018,22-Feb-2018,PE,25000,359.15,380.0,340.2,376.85,380.0,376.85,167,1694.16,24.16,13040,4120,25318.6,-65.33939233116625,1.3819092935718191,,4.928302937491312,
3,BANKNIFTY,04-Jan-2018,22-Feb-2018,PE,25000,373.75,373.75,328.3,337.9,328.3,337.9,189,1917.13,27.13,17920,4880,25462.6,-72.9863865048831,10.477288354596418,-66.25161994181845,-9.591973244147162,1.1016543681343802
4,BANKNIFTY,05-Jan-2018,22-Feb-2018,PE,25000,308.5,310.0,266.75,280.3,275.0,280.3,118,1194.03,14.03,19600,1680,25601.85,-88.19015340706386,17.239755590404684,-67.58741334407596,-9.141004862236626,1.304831018729817
5,BANKNIFTY,08-Jan-2018,22-Feb-2018,PE,25000,260.0,260.0,239.0,249.9,249.45,249.9,331,3343.08,33.08,30400,10800,25676.1,-99.04001600640255,10.955029125436825,-75.50531074770441,-3.8846153846153824,1.3116960254271077
6,BANKNIFTY,09-Jan-2018,22-Feb-2018,PE,25000,267.8,275.0,241.75,247.3,241.75,247.3,225,2273.81,23.81,36680,6280,25703.8,-100.09179134654266,1.0508107867693197,-86.73885197278317,-7.65496639283047,1.1539441561660209
7,BANKNIFTY,10-Jan-2018,22-Feb-2018,PE,25000,270.3,285.0,258.0,261.35,258.0,261.35,270,2729.32,29.32,37400,720,25617.3,-94.65716472163764,-5.741379050267204,-95.77398692000303,-3.3111357750647388,0.988338981864687
8,BANKNIFTY,11-Jan-2018,22-Feb-2018,PE,25000,277.35,283.4,232.2,242.15,241.0,242.15,450,4545.88,45.88,45000,7600,25660.9,-102.24179227751392,7.418324138224611,-97.92965735819428,-12.691544979268077,1.0440329828128294
9,BANKNIFTY,12-Jan-2018,22-Feb-2018,PE,25000,231.5,270.0,201.1,218.65,220.15,218.65,890,8980.27,80.27,58080,13080,25749.05,-113.33798307797849,9.790354918200899,-98.9969161152314,-5.550755939524835,1.1448637748074317
