,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,01-Jan-2018,25565.75,25588.0,25271.55,25318.1,57576913,2037.55
1,02-Jan-2018,25382.2,25425.5,25232.8,25338.25,72033811,2270.36
2,03-Jan-2018,25425.75,25454.9,25300.9,25318.6,59730356,1958.21
3,04-Jan-2018,25367.65,25490.35,25310.3,25462.6,105995860,2646.62
4,05-Jan-2018,25524.45,25643.35,25499.55,25601.85,123622612,3188.08
5,08-Jan-2018,25690.25,25771.5,25643.8,25676.1,127527935,2727.53
6,09-Jan-2018,25727.95,25803.8,25617.25,25703.8,101820385,2617.13
7,10-Jan-2018,25709.9,25717.6,25527.5,25617.3,81094270,2168.32
8,11-Jan-2018,25628.2,25694.65,25532.25,25660.9,122695505,2960.91
9,12-Jan-2018,25732.4,25775.15,25557.6,25749.05,110836433,2926.84
10,15-Jan-2018,25858.15,26091.8,25842.95,26069.2,192163936,4226.08
11,16-Jan-2018,26129.15,26136.4,25931.7,25974.9,169867241,3770.65
12,17-Jan-2018,25946.15,26335.85,25922.3,26289.1,172092208,4554.66
13,18-Jan-2018,26762.25,26887.65,26423.75,26537.4,224021671,7050.86
14,19-Jan-2018,26615.65,26957.85,26433.55,26909.5,134390957,4160.2
15,22-Jan-2018,26940.5,27074.9,26841.2,27041.2,113869602,4222.79
16,23-Jan-2018,27089.95,27422.05,27066.15,27390.6,169332288,5229.45
17,24-Jan-2018,27310.15,27479.25,27219.45,27398.55,174331160,4734.19
18,25-Jan-2018,27414.1,27522.85,27151.75,27445.65,193342305,6057.2
19,29-Jan-2018,27446.1,27652.05,27407.4,27498.45,114099251,3779.23
20,30-Jan-2018,27466.85,27470.25,27242.05,27269.05,111009534,3453.72
21,31-Jan-2018,27136.25,27455.75,27116.95,27379.45,109507598,3640.41
22,01-Feb-2018,27334.85,27613.5,27046.35,27220.7,131188028,4790.53
23,02-Feb-2018,27017.4,27017.55,26364.05,26451.15,147521488,4330.16
24,05-Feb-2018,25968.15,26215.1,25917.55,26098.75,122729724,3842.46
25,06-Feb-2018,25140.1,26140.6,25023.85,25811.3,153713739,4777.31
26,07-Feb-2018,26065.4,26078.4,25558.05,25670.0,121038215,3663.61
27,08-Feb-2018,25759.85,26126.4,25637.4,25920.65,91011548,2686.18
28,09-Feb-2018,25466.3,25598.3,25371.0,25463.65,75985052,2520.27
29,12-Feb-2018,25530.1,25757.85,25485.4,25701.6,161180184,4127.51
30,14-Feb-2018,25810.25,25810.25,25212.35,25341.25,197286979,4757.09
31,15-Feb-2018,25360.9,25615.15,25295.15,25424.35,291475391,6015.58
32,16-Feb-2018,25511.95,25601.0,25100.9,25163.9,278142760,5275.87
33,19-Feb-2018,25324.6,25326.05,24824.55,25058.55,273464127,5217.27
34,20-Feb-2018,25105.55,25158.1,24829.0,24874.4,258222746,4721.89
35,21-Feb-2018,24996.6,24999.7,24796.35,24936.7,152405865,3527.6
36,22-Feb-2018,24812.7,24987.05,24781.7,24955.2,167442673,4865.92
0,01-Mar-2018,25022.35,25226.05,24854.4,24902.55,      214529321,         4160.86
1,05-Mar-2018,24831.35,24873.05,24682.0,24818.7,      138679764,         3083.52
2,06-Mar-2018,24964.1,25040.25,24362.05,24448.45,      135108832,         3586.37
3,07-Mar-2018,24333.85,24373.4,24096.75,24134.1,      187523331,         4460.36
4,08-Mar-2018,24273.9,24534.5,24048.55,24477.65,      169549517,         4215.95
5,09-Mar-2018,24556.95,24564.75,24259.7,24296.45,-,-
6,12-Mar-2018,24443.6,24716.05,24358.5,24664.2,      165215227,         3391.70
7,13-Mar-2018,24624.6,25009.65,24597.55,24738.65,      235984528,         4796.93
8,14-Mar-2018,24629.65,24894.3,24487.0,24851.65,      209048209,         3970.26
9,15-Mar-2018,24854.3,24939.85,24732.0,24791.85,      130382242,         2965.53
10,16-Mar-2018,24753.65,24785.35,24439.15,24489.55,      189684825,         4972.47
11,19-Mar-2018,24530.15,24588.05,24186.95,24245.1,      147614260,         3469.57
12,20-Mar-2018,24133.95,24355.65,24082.95,24168.2,      127991875,         2880.10
13,21-Mar-2018,24331.3,24459.75,24208.65,24255.6,-,-
14,22-Mar-2018,24252.95,24314.4,24094.85,24141.5,      131439602,         3671.41
15,23-Mar-2018,23785.65,23796.3,23605.6,23670.4,      180649286,         5169.06
16,26-Mar-2018,23674.9,24290.65,23657.05,24244.35,      193627423,         5403.07
17,27-Mar-2018,24396.4,24496.95,24266.4,24434.15,      178620655,         4150.30
18,28-Mar-2018,24299.5,24361.0,24203.4,24263.35,      183841858,         5211.90
19,02-Apr-2018,24235.65,24373.4,24062.95,24328.5,-,-
20,03-Apr-2018,24285.95,24538.0,24254.35,24510.6,-,-
21,04-Apr-2018,24502.5,24666.3,24087.8,24129.5,      126222576,         3124.06
22,05-Apr-2018,24394.45,24824.9,24380.85,24759.8,      133764907,         3277.00
23,06-Apr-2018,24776.35,24933.6,24626.4,24873.15,      160970708,         3373.86
24,09-Apr-2018,24848.85,25152.85,24828.0,25093.8,-,-
25,10-Apr-2018,25153.6,25279.9,25120.2,25226.8,      171760040,         4700.75
26,11-Apr-2018,25198.35,25207.05,24950.3,25098.25,      107073367,         2600.16
27,12-Apr-2018,25076.9,25244.8,24969.4,25195.1,      111777276,         2910.30
28,13-Apr-2018,25239.65,25411.3,25076.85,25200.6,      110293693,         3092.82
29,16-Apr-2018,25082.1,25348.55,25067.35,25320.85,       89034228,         2419.76
30,17-Apr-2018,25383.75,25402.55,25224.0,25334.45,       89721865,         2271.22
31,18-Apr-2018,25426.75,25426.75,25058.75,25102.3,-,-
32,19-Apr-2018,25206.45,25207.3,25049.7,25126.15,       95466036,         2862.17
33,20-Apr-2018,25126.8,25126.8,24839.3,24943.85,      109581669,         3213.87
34,23-Apr-2018,25065.5,25084.15,24466.1,24960.65,       82787891,         2792.74
35,24-Apr-2018,24972.2,25123.45,24955.0,25042.1,       87396011,         2569.82
36,25-Apr-2018,24993.4,24993.4,24734.6,24814.4,       81840418,         2183.16
37,26-Apr-2018,24833.2,25064.0,24753.4,25010.9,      173426201,         5472.93
0,02-May-2018,25607.05,25716.75,25499.35,25568.3,117929750,4671.44
1,03-May-2018,25547.9,25653.45,25469.05,25605.25,100388024,3153.73
2,04-May-2018,25632.3,25680.4,25537.7,25645.4,97343104,2601.08
3,07-May-2018,25676.25,25913.5,25675.15,25852.05,92743092,2919.95
