"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Jul-2019","29-Aug-2019","CE","31000","1000","1110","1000","1110","1110","1110","11","70.5","2.3","980","140","31372.2"
"BANKNIFTY","02-Jul-2019","29-Aug-2019","CE","31000","988","1040","950","1004.4","1004.4","1004.4","28","179.2","5.6","1200","220","-"
"BANKNIFTY","03-Jul-2019","29-Aug-2019","CE","31000","1038","1080.45","1038","1059.65","1059.65","1059.65","3","19.24",".64","1200","0","31382.3"
"BANKNIFTY","04-Jul-2019","29-Aug-2019","CE","31000","1151.9","1174","1104","1107.55","1104","1107.55","21","134.99","4.79","1280","80","-"
"BANKNIFTY","05-Jul-2019","29-Aug-2019","CE","31000","1137","1180","948.8","1050","1050","1050","17","109.13","3.73","1060","-220","31475.8"
"BANKNIFTY","08-Jul-2019","29-Aug-2019","CE","31000","851.05","965","550","584.7","595","584.7","311","1973.36","45.16","3860","2800","-"
"BANKNIFTY","09-Jul-2019","29-Aug-2019","CE","31000","544","600","500.05","556.45","564.7","556.45","188","1186.24","20.64","4860","1000","-"
"BANKNIFTY","10-Jul-2019","29-Aug-2019","CE","31000","580","590.05","448","479.2","469.4","479.2","143","901.51","14.91","5660","800","30522.1"
"BANKNIFTY","11-Jul-2019","29-Aug-2019","CE","31000","520","569","507.25","519.95","512.15","519.95","262","1652.33","27.93","7640","1980","-"
"BANKNIFTY","12-Jul-2019","29-Aug-2019","CE","31000","515","566.15","445.05","457.6","461.95","457.6","618","3892.26","60.66","11040","3400","-"
"BANKNIFTY","15-Jul-2019","29-Aug-2019","CE","31000","462","475.1","345","373.55","380","373.55","578","3627.69","44.09","14420","3380","-"
"BANKNIFTY","16-Jul-2019","29-Aug-2019","CE","31000","380","419","350.5","388.2","382","388.2","558","3503.27","43.67","17880","3460","-"
"BANKNIFTY","17-Jul-2019","29-Aug-2019","CE","31000","378","475","352.9","442.1","449","442.1","1099","6907.04","93.24","17800","-80","30735.5"
"BANKNIFTY","18-Jul-2019","29-Aug-2019","CE","31000","430.2","443.85","290","302.95","301.55","302.95","1909","11970.17","134.37","28880","11080","-"
"BANKNIFTY","19-Jul-2019","29-Aug-2019","CE","31000","338.75","339","120","129.35","132.05","129.35","7007","43705.65","262.25","61260","32380","-"
"BANKNIFTY","22-Jul-2019","29-Aug-2019","CE","31000","131.65","131.65","65","71.6","69.1","71.6","7349","45680.54","116.74","98180","36920","-"
"BANKNIFTY","23-Jul-2019","29-Aug-2019","CE","31000","72","74.75","51.4","54.05","53.1","54.05","4685","29104.18","57.18","124860","26680","-"
"BANKNIFTY","24-Jul-2019","29-Aug-2019","CE","31000","53.1","57.75","36.05","38.1","37.5","38.1","4683","29074.36","39.76","142960","18100","28952.25"
"BANKNIFTY","25-Jul-2019","29-Aug-2019","CE","31000","37.5","48.35","26.3","34.45","35.4","34.45","8811","54690.51","62.31","157860","14900","29043.05"
"BANKNIFTY","26-Jul-2019","29-Aug-2019","CE","31000","35","48.15","33.2","41.8","42.8","41.8","10561","65564.41","86.21","193840","35980","29325.3"
"BANKNIFTY","29-Jul-2019","29-Aug-2019","CE","31000","48.85","50.05","27.9","37.6","38.2","37.6","8674","53847.25","68.45","222280","28440","29295.9"
