"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Nov-2019","26-Dec-2019","PE","30000","923.4","923.4","765","793.1","790.2","793.1","76","468.7","12.7","1540","680","30330.55"
"BANKNIFTY","04-Nov-2019","26-Dec-2019","PE","30000","719.35","827.95","686.5","750.4","748.55","750.4","180","1106.36","26.36","3140","1600","30333.1"
"BANKNIFTY","05-Nov-2019","26-Dec-2019","PE","30000","744.05","839.95","710","766.55","760","766.55","75","461.44","11.44","3140","0","30219.85"
"BANKNIFTY","06-Nov-2019","26-Dec-2019","PE","30000","834.8","854.35","611.5","648.1","644.75","648.1","124","761.26","17.26","3240","100","30609.6"
"BANKNIFTY","07-Nov-2019","26-Dec-2019","PE","30000","611.35","692.65","574.65","608.35","599.9","608.35","139","851.16","17.16","4720","1480","30633.15"
"BANKNIFTY","08-Nov-2019","26-Dec-2019","PE","30000","652","652","450","569.35","563","569.35","238","1453.62","25.62","5120","400","30749.4"
"BANKNIFTY","11-Nov-2019","26-Dec-2019","PE","30000","589.25","604.1","440","467.85","450","467.85","260","1587.31","27.31","7320","2200","31115.55"
"BANKNIFTY","13-Nov-2019","26-Dec-2019","PE","30000","453.1","614.95","442.4","606","608.05","606","509","3108.37","54.37","11120","3800","30541.55"
"BANKNIFTY","14-Nov-2019","26-Dec-2019","PE","30000","618","669.65","460.8","484.05","462.5","484.05","1387","8478.92","156.92","24380","13260","30749.95"
"BANKNIFTY","15-Nov-2019","26-Dec-2019","PE","30000","462.45","462.45","347.45","368.55","362","368.55","2308","14027.1","179.1","48900","24520","31008.4"
"BANKNIFTY","18-Nov-2019","26-Dec-2019","PE","30000","319.6","396.15","319.6","358.2","354.8","358.2","1997","12126.19","144.19","57800","8900","30992.1"
"BANKNIFTY","19-Nov-2019","26-Dec-2019","PE","30000","358.2","365.85","274.45","284.8","277","284.8","1857","11255.18","113.18","62180","4380","31236.25"
"BANKNIFTY","20-Nov-2019","26-Dec-2019","PE","30000","279","299.75","250","264.45","270","264.45","1918","11611.36","103.36","70280","8100","31353.85"
"BANKNIFTY","21-Nov-2019","26-Dec-2019","PE","30000","260","286.75","230.5","262.55","262","262.55","5568","33693.26","285.26","110480","40200","31349.95"
"BANKNIFTY","22-Nov-2019","26-Dec-2019","PE","30000","276.3","313.9","251","272.15","265.15","272.15","7665","46414.65","424.65","148720","38240","31111.6"
