"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Jun-2019","    31406.05","    31674.60","    31284.70","    31653.65","      160090476","         4443.90"
"04-Jun-2019","    31532.90","    31752.70","    31512.95","    31589.05","      172424592","         4627.37"
"06-Jun-2019","    31523.95","    31541.50","    30800.80","    30857.40","      283140588","         7895.98"
"07-Jun-2019","    30943.15","    31139.60","    30627.05","    31066.55","      215267224","         5593.78"
"10-Jun-2019","    31259.20","    31367.40","    30861.30","    31034.00","      208614002","         4870.64"
"11-Jun-2019","    31172.25","    31399.35","    30973.35","    31265.45","      188115329","         4371.70"
"12-Jun-2019","    31219.30","    31222.30","    30911.45","    30965.70","      143703508","         3787.08"
"13-Jun-2019","    30876.75","    31036.90","    30638.25","    30976.10","      341891022","         7587.55"
"14-Jun-2019","    30983.45","    31032.65","    30508.95","    30614.35","      255356460","         6366.06"
"17-Jun-2019","    30652.00","    30684.05","    30249.40","    30273.25","      184466679","         5401.37"
"18-Jun-2019","    30299.45","    30550.65","    30222.85","    30351.00","      241865592","         6147.16"
"19-Jun-2019","    30526.50","    30699.15","    30242.00","    30362.10","      252889076","         5825.47"
"20-Jun-2019","    30390.20","    30824.55","    30220.70","    30781.10","      293131675","         6983.33"
"21-Jun-2019","    30804.95","    30804.95","    30541.50","    30628.35","      238841807","         6101.47"
"24-Jun-2019","    30680.95","    30783.65","    30528.00","    30602.05","      165301524","         4081.42"
"25-Jun-2019","    30567.65","    30913.25","    30451.40","    30847.05","      145143905","         4155.46"
"26-Jun-2019","    30809.20","    31202.70","    30766.65","    31162.35","-","-"
"27-Jun-2019","    31192.10","    31490.60","    31158.80","    31269.50","      231102423","         7463.55"
