"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","04-May-2020","25-Jun-2020","PE","20000","0","0","0","4341.8","0","2338.95","0","0","0","0","0","19743.75"
"BANKNIFTY","05-May-2020","25-Jun-2020","PE","20000","0","0","0","4341.8","0","2490.05","0","0","0","0","0","19271.75"
"BANKNIFTY","06-May-2020","25-Jun-2020","PE","20000","0","0","0","4341.8","0","2218.65","0","0","0","0","0","19694.55"
"BANKNIFTY","07-May-2020","25-Jun-2020","PE","20000","0","0","0","4341.8","0","2233.7","0","0","0","0","0","19491.8"
"BANKNIFTY","08-May-2020","25-Jun-2020","PE","20000","1499","1684","1499","1684","1684","2222.85","3","12.97",".97","40","40","19352.9"
"BANKNIFTY","11-May-2020","25-Jun-2020","PE","20000","2222.85","2222.85","1400","1969","1975.95","1969","32","139.27","11.27","300","260","18950.5"
"BANKNIFTY","12-May-2020","25-Jun-2020","PE","20000","2288","2400","1906","1994.5","1980","1994.5","40","177.34","17.34","820","520","18862.85"
"BANKNIFTY","13-May-2020","25-Jun-2020","PE","20000","1400.15","1690","1400","1637.8","1645","1637.8","73","314.72","22.72","1260","440","19634.95"
"BANKNIFTY","14-May-2020","25-Jun-2020","PE","20000","1785.75","1880","1695.05","1829.4","1800","1829.4","232","1008.65","80.65","4240","2980","19068.5"
"BANKNIFTY","15-May-2020","25-Jun-2020","PE","20000","2000","2097","1931","1942.2","1935.45","1942.2","139","612.22","56.22","4120","-120","18833.95"
"BANKNIFTY","18-May-2020","25-Jun-2020","PE","20000","2199","2925","2175.95","2884.55","2880.55","2884.55","415","1873.62","213.62","9500","5380","17573.2"
"BANKNIFTY","19-May-2020","25-Jun-2020","PE","20000","2650","3084.45","2391","2926","2914.95","2926","54","245.92","29.92","9320","-180","17486.25"
"BANKNIFTY","20-May-2020","25-Jun-2020","PE","20000","2824.5","2837.65","2370","2487","2485.95","2487","174","790.97","94.97","7960","-1360","17840.2"
"BANKNIFTY","21-May-2020","25-Jun-2020","PE","20000","2260","2612","2200","2562.35","2560","2562.35","37","165.88","17.88","8140","180","17735.1"
"BANKNIFTY","22-May-2020","25-Jun-2020","PE","20000","2726.3","3098","2491.1","2876.4","2876.4","2876.4","75","341.16","41.16","8620","480","17278.9"
"BANKNIFTY","26-May-2020","25-Jun-2020","PE","20000","2622.55","2800","2535","2711.2","2665","2711.2","227","1028.38","120.38","10140","1520","17440.35"
"BANKNIFTY","27-May-2020","25-Jun-2020","PE","20000","2516","2600","1650","1741.5","1741","1741.5","918","4047.31","375.31","17020","6880","18710.55"
"BANKNIFTY","28-May-2020","25-Jun-2020","PE","20000","1611","1635","1275.6","1440.3","1488","1440.3","1708","7310.62","478.62","25880","8860","19169.8"
"BANKNIFTY","29-May-2020","25-Jun-2020","PE","20000","1600","1700","1375.5","1433.4","1470","1433.4","986","4238.14","294.14","28880","3000","19297.25"
"BANKNIFTY","01-Jun-2020","25-Jun-2020","PE","20000","1159.75","1159.75","917","1003.95","1015","1003.95","20061","84209.92","3965.92","159880","131000","19959.9"
"BANKNIFTY","02-Jun-2020","25-Jun-2020","PE","20000","900","1061","680","716.9","684.9","716.9","17105","71342.69","2922.69","188880","29000","20530.2"
"BANKNIFTY","03-Jun-2020","25-Jun-2020","PE","20000","564.45","590","390","546.9","563.5","546.9","47362","194125.67","4677.67","229800","40920","-"
"BANKNIFTY","04-Jun-2020","25-Jun-2020","PE","20000","573.7","775","490","703.6","705","703.6","13842","57130.67","1762.67","224220","-5580","-"
"BANKNIFTY","05-Jun-2020","25-Jun-2020","PE","20000","681","727.75","460","504.85","464.8","504.85","35596","146519.68","4135.68","277320","53100","-"
"BANKNIFTY","08-Jun-2020","25-Jun-2020","PE","20000","380","552","302.35","465.65","470.05","465.65","35405","144494.8","2874.8","299600","22280","-"
"BANKNIFTY","09-Jun-2020","25-Jun-2020","PE","20000","400.75","648","373","604.95","644","604.95","47185","193519.69","4779.69","253000","-46600","-"
"BANKNIFTY","10-Jun-2020","25-Jun-2020","PE","20000","570","597.2","385","415.85","396.9","415.85","25001","102478.24","2474.24","279120","26120","-"
"BANKNIFTY","11-Jun-2020","25-Jun-2020","PE","20000","459.1","654","400","629.75","628.8","629.75","32573","133701.42","3409.42","320140","41020","-"
"BANKNIFTY","12-Jun-2020","25-Jun-2020","PE","20000","1350.1","1350.1","522.5","563.05","575","563.05","48366","201527.44","8063.44","292620","-27520","-"
"BANKNIFTY","15-Jun-2020","25-Jun-2020","PE","20000","659.1","996","615.3","826.35","834.95","826.35","35467","147791.56","5923.56","273120","-19500","-"
