"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","20-May-2022","23-Jun-2022","CE","36000","0","0","0","437.65","0","706.25","0","0","0","0","0","-"
"BANKNIFTY","23-May-2022","23-Jun-2022","CE","36000","0","0","0","437.65","0","635.6","0","0","0","0","0","34247.6"
"BANKNIFTY","24-May-2022","23-Jun-2022","CE","36000","0","0","0","437.65","0","625.4","0","0","0","0","0","-"
"BANKNIFTY","25-May-2022","23-Jun-2022","CE","36000","0","0","0","437.65","0","619.05","0","0","0","0","0","34339.5"
"BANKNIFTY","26-May-2022","23-Jun-2022","CE","36000","377.65","514.1","377.65","473.55","473.55","880","15","136.71","1.71","350","350","-"
"BANKNIFTY","27-May-2022","23-Jun-2022","CE","36000","651.35","715.25","650","695.4","687.9","695.4","37","339.3","6.3","550","200","-"
"BANKNIFTY","30-May-2022","23-Jun-2022","CE","36000","835.4","887.9","750","763.4","762.05","763.4","84","773.17","17.17","1400","850","-"
"BANKNIFTY","31-May-2022","23-Jun-2022","CE","36000","763","765.3","547.2","608.4","559.15","608.4","117","1072.96","19.96","2650","1250","-"
"BANKNIFTY","01-Jun-2022","23-Jun-2022","CE","36000","600","725.05","504.9","634.25","678.8","634.25","179","1639.69","28.69","3700","1050","35620.8"
"BANKNIFTY","02-Jun-2022","23-Jun-2022","CE","36000","539.05","639.7","539","592.6","595","592.6","428","3914.9","62.9","7575","3875","35613.65"
"BANKNIFTY","03-Jun-2022","23-Jun-2022","CE","36000","729.4","730.75","440.4","463.55","460","463.55","914","8359.85","133.85","13925","6350","-"
"BANKNIFTY","06-Jun-2022","23-Jun-2022","CE","36000","462.9","481.4","380","451.2","435","451.2","1138","10367.69","125.69","19850","5925","-"
"BANKNIFTY","07-Jun-2022","23-Jun-2022","CE","36000","353.8","366.05","280","311.65","310","311.65","1228","11149.19","97.19","23275","3425","34996"
"BANKNIFTY","08-Jun-2022","23-Jun-2022","CE","36000","330","419.5","210","230","220.8","230","4569","41449.44","328.44","47025","23750","34946.15"
"BANKNIFTY","09-Jun-2022","23-Jun-2022","CE","36000","189.7","232.85","154.65","218.8","232","218.8","5921","53567.94","278.94","69375","22350","35085.45"
"BANKNIFTY","10-Jun-2022","23-Jun-2022","CE","36000","137.2","142.25","91.1","103.6","99.9","103.6","22497","203105.3","632.3","135925","66550","-"
"BANKNIFTY","13-Jun-2022","23-Jun-2022","CE","36000","70","70","27.75","32.1","36","32.1","24101","217104.04","195.04","147375","11450","33405.85"
"BANKNIFTY","14-Jun-2022","23-Jun-2022","CE","36000","25.4","36.3","21.65","24.45","24.1","24.45","27776","250166.68","182.68","194450","47075","-"
"BANKNIFTY","15-Jun-2022","23-Jun-2022","CE","36000","23.9","26.95","14.8","16.1","16","16.1","31817","286500.51","147.51","275875","81425","33339"
"BANKNIFTY","16-Jun-2022","23-Jun-2022","CE","36000","16.05","20.5","5.8","6.6","6.25","6.6","93763","844097","230","463500","187625","-"
"BANKNIFTY","17-Jun-2022","23-Jun-2022","CE","36000","3.5","6.2","3.5","4.45","4.7","4.45","152231","1370260.8","181.8","610175","146675","-"
"BANKNIFTY","20-Jun-2022","23-Jun-2022","CE","36000","3.75","4.7","3.35","3.6","3.6","3.6","126854","1141812.77","126.77","714175","104000","32684.8"
"BANKNIFTY","21-Jun-2022","23-Jun-2022","CE","36000","3.9","4.45","2.4","2.85","2.5","2.85","168193","1513871.37","134.37","599250","-114925","33191.75"
"BANKNIFTY","22-Jun-2022","23-Jun-2022","CE","36000","2.25","3.45","1.55","1.9","1.9","1.9","134351","1209247.38","88.38","599950","700","32845.3"
"BANKNIFTY","23-Jun-2022","23-Jun-2022","CE","36000","1.35","1.8","0.05","0.05","0.05","33135","208748","1878781.55","49.55","428375","-171575","-"
