"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","03-Jan-2022","24-Feb-2022","PE","36000","1221.7","1307.45","920","945.3","920","945.3","933","8646.31","249.31","19225","4300","36421.9"
"BANKNIFTY","04-Jan-2022","24-Feb-2022","PE","36000","882.65","981","755","784.85","775.1","784.85","783","7212.55","165.55","22650","3425","-"
"BANKNIFTY","05-Jan-2022","24-Feb-2022","PE","36000","755.05","759.8","555.05","585.2","576.55","585.2","1864","17064.85","288.85","29425","6775","37695.9"
"BANKNIFTY","06-Jan-2022","24-Feb-2022","PE","36000","675","745.8","570","635.9","651.1","635.9","1116","10229.55","185.55","30625","1200","37490.25"
"BANKNIFTY","07-Jan-2022","24-Feb-2022","PE","36000","569.7","649.55","485.15","569","572","569","1596","14586","222","32825","2200","37739.6"
"BANKNIFTY","10-Jan-2022","24-Feb-2022","PE","36000","573","573","419.75","431.85","421.05","431.85","1573","14340.45","183.45","38175","5350","38347.9"
"BANKNIFTY","11-Jan-2022","24-Feb-2022","PE","36000","407.25","481.95","401","418.4","415","418.4","1013","9226.16","109.16","40925","2750","-"
"BANKNIFTY","12-Jan-2022","24-Feb-2022","PE","36000","400","400","339.95","345.5","352.05","345.5","1479","13444.13","133.13","40825","-100","38727.55"
"BANKNIFTY","13-Jan-2022","24-Feb-2022","PE","36000","361.15","395.45","335","368.15","372.2","368.15","1185","10774.38","109.38","46650","5825","-"
"BANKNIFTY","14-Jan-2022","24-Feb-2022","PE","36000","399.95","470","375","389.3","399","389.3","1597","14541.05","168.05","59275","12625","-"
"BANKNIFTY","17-Jan-2022","24-Feb-2022","PE","36000","394","418","339.7","389.15","392.8","389.15","1228","11171.43","119.43","66125","6850","-"
"BANKNIFTY","18-Jan-2022","24-Feb-2022","PE","36000","384.95","457.05","300","421.6","438.75","421.6","2546","23143.04","229.04","67300","1175","-"
"BANKNIFTY","19-Jan-2022","24-Feb-2022","PE","36000","465.5","549.75","397.55","448.95","436","448.95","3045","27770.1","365.1","80200","12900","38041.35"
"BANKNIFTY","20-Jan-2022","24-Feb-2022","PE","36000","456.55","547.9","419.9","456.1","440.2","456.1","4063","37055.72","488.72","87075","6875","37850.85"
"BANKNIFTY","21-Jan-2022","24-Feb-2022","PE","36000","530","687.65","500","557.5","513","557.5","6858","62740.6","1018.6","115050","27975","-"
"BANKNIFTY","24-Jan-2022","24-Feb-2022","PE","36000","731.1","1134.65","522.2","816.25","850","816.25","13919","128001.35","2730.35","134375","19325","-"
"BANKNIFTY","25-Jan-2022","24-Feb-2022","PE","36000","920","1079.9","469.75","503.8","470","503.8","24176","221231.36","3647.36","349875","215500","37706.75"
"BANKNIFTY","27-Jan-2022","24-Feb-2022","PE","36000","710.05","745","403","447.7","403","447.7","16184","147929.54","2273.54","358350","8475","-"
"BANKNIFTY","28-Jan-2022","24-Feb-2022","PE","36000","362.45","533.35","333","487.95","485","487.95","30163","274568.98","3101.98","423500","65150","-"
"BANKNIFTY","31-Jan-2022","24-Feb-2022","PE","36000","391.4","503.35","338.85","392.35","394","392.35","22853","208003.29","2326.29","455100","31600","-"
"BANKNIFTY","01-Feb-2022","24-Feb-2022","PE","36000","316.65","348.95","185.55","199.35","187.25","199.35","57585","521724.43","3459.43","271100","-184000","-"
"BANKNIFTY","02-Feb-2022","24-Feb-2022","PE","36000","180","180","86.5","91.65","89.75","91.65","24388","220151.1","659.1","248625","-22475","39330.5"
"BANKNIFTY","03-Feb-2022","24-Feb-2022","PE","36000","88.15","129.9","75.05","111.85","129","111.85","11375","102631.7","256.7","240850","-7775","-"
"BANKNIFTY","04-Feb-2022","24-Feb-2022","PE","36000","112.35","139.25","86.8","115.3","117.6","115.3","21126","190719.46","585.46","261775","20925","-"
"BANKNIFTY","07-Feb-2022","24-Feb-2022","PE","36000","148.9","258.75","104.8","193.6","193.35","193.6","25930","234527.42","1157.42","267300","5525","-"
"BANKNIFTY","08-Feb-2022","24-Feb-2022","PE","36000","173.4","344.55","149","161.05","164.8","161.05","39340","356328.75","2268.75","332600","65300","-"
"BANKNIFTY","09-Feb-2022","24-Feb-2022","PE","36000","139.6","139.6","77.45","80.35","80","80.35","21035","189846.14","531.14","330075","-2525","-"
"BANKNIFTY","10-Feb-2022","24-Feb-2022","PE","36000","67.95","88.8","45.8","49.85","49.8","49.85","24683","222500.92","353.92","331775","1700","-"
"BANKNIFTY","11-Feb-2022","24-Feb-2022","PE","36000","98.15","98.15","57.15","74.3","80.1","74.3","26542","239384.17","506.17","348800","17025","-"
"BANKNIFTY","14-Feb-2022","24-Feb-2022","PE","36000","201.25","465.8","166.9","398.3","465.8","398.3","95581","867268.51","7039.51","570950","222150","-"
"BANKNIFTY","15-Feb-2022","24-Feb-2022","PE","36000","382.35","429","87.6","97","99","97","132500","1199799.29","7299.29","490800","-80150","-"
"BANKNIFTY","16-Feb-2022","24-Feb-2022","PE","36000","88.1","145.5","62.6","128.6","137","128.6","75624","682479.8","1863.8","480375","-10425","37953.8"
"BANKNIFTY","17-Feb-2022","24-Feb-2022","PE","36000","104.05","190.85","77.1","163.2","177","163.2","175401","1584857.6","6248.6","1014950","534575","-"
"BANKNIFTY","18-Feb-2022","24-Feb-2022","PE","36000","177","236","102.2","138.9","123.8","138.9","650923","5882668.01","24361.01","1101600","86650","-"
"BANKNIFTY","21-Feb-2022","24-Feb-2022","PE","36000","150","158.85","53.45","71.85","71","71.85","926642","8359844.22","20066.22","1321125","219525","-"
"BANKNIFTY","22-Feb-2022","24-Feb-2022","PE","36000","161","275","55.6","77.6","88","77.6","1336564","12069440.55","40364.55","1348650","27525","-"
"BANKNIFTY","23-Feb-2022","24-Feb-2022","PE","36000","54","64.9","11.05","15.1","19","15.1","783638","7056298.27","3556.27","1700350","351700","37392.05"
"BANKNIFTY","24-Feb-2022","24-Feb-2022","PE","36000","200","800","96.75","610","771.75","35228.1","6156687","55705236","295053","1011575","-688775","-"
