"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-May-2022","    35627.60","    36235.25","    35618.20","    36163.75","      170186563","         6323.80"
"04-May-2022","    36266.15","    36309.30","    35127.85","    35264.55","      214565013","         7349.13"
"05-May-2022","    35705.35","    35934.85","    35133.80","    35232.85","      167319447","         5571.33"
"06-May-2022","    34569.10","    34797.95","    34353.20","    34591.20","      199208045","         6569.78"
"09-May-2022","    34091.75","    34554.35","    33927.20","    34275.40","      179918781","         6400.34"
"10-May-2022","    34181.20","    34781.80","    34176.80","    34482.65","      137963004","         4938.30"
"11-May-2022","    34686.30","    34793.20","    34143.20","    34693.15","      179510699","         5311.39"
"12-May-2022","    34289.10","    34341.20","    33297.65","    33532.15","      382113108","         7136.84"
"13-May-2022","    33925.95","    34002.20","    33007.90","    33121.35","      272709547","         8347.25"
"16-May-2022","    33256.00","    33821.65","    33001.75","    33597.60","      195136858","         5232.06"
"17-May-2022","    33796.20","    34366.05","    33680.60","    34301.90","      161500305","         5248.14"
"18-May-2022","    34448.20","    34655.80","    34134.70","    34163.70","      146780579","         5561.35"
"19-May-2022","    33461.00","    33633.95","    33180.60","    33315.65","      150355852","         5416.02"
"20-May-2022","    33765.15","    34358.05","    33658.05","    34276.40","      129371809","         4517.56"
"23-May-2022","    34321.40","    34819.95","    34117.35","    34247.60","      155978859","         5319.59"
"24-May-2022","    34223.20","    34586.45","    34115.80","    34290.15","      163680878","         4884.47"
"25-May-2022","    34491.80","    34722.60","    34285.80","    34339.50","      153586250","         4928.93"
"26-May-2022","    34670.60","    35222.05","    34424.75","    35094.90","      191472056","         6648.96"
"27-May-2022","    35326.60","    35694.85","    35291.95","    35613.30","      132560154","         4677.24"
"30-May-2022","    35958.80","    36083.70","    35748.45","    35826.95","      126987258","         3844.70"
"31-May-2022","    35615.30","    35881.95","    35288.95","    35487.40","      149259006","         8481.87"
"01-Jun-2022","    35358.95","    35768.70","    35285.45","    35620.80","      100780723","         3716.12"
"02-Jun-2022","    35470.95","    35676.20","    35385.00","    35613.65","      140705809","         4091.04"
"03-Jun-2022","    35929.55","    35958.45","    35175.10","    35275.05","      104814655","         3431.47"
"06-Jun-2022","    35159.15","    35424.50","    35072.30","    35310.20","      100771005","         3326.73"
"07-Jun-2022","    35080.80","    35154.30","    34834.40","    34996.00","       91646535","         3283.97"
"08-Jun-2022","    35165.65","    35449.90","    34831.75","    34946.15","      124570051","         3771.68"
"09-Jun-2022","    34802.25","    35149.10","    34659.10","    35085.45","      100853057","         3039.26"
"10-Jun-2022","    34686.95","    34752.45","    34346.65","    34483.80","       90046261","         3228.00"
"13-Jun-2022","    33728.65","    33774.05","    33210.35","    33405.85","      131878152","         4354.18"
"14-Jun-2022","    33180.60","    33618.15","    33123.90","    33311.35","      113203955","         3847.03"
"15-Jun-2022","    33317.80","    33554.55","    33249.55","    33339.00","       90841434","         3348.72"
"16-Jun-2022","    33648.80","    33756.50","    32537.95","    32617.10","      129460359","         4089.68"
"17-Jun-2022","    32393.45","    32889.80","    32290.55","    32743.05","      139831116","         4610.38"
"20-Jun-2022","    32873.40","    32926.10","    32426.40","    32684.80","      144370096","         4019.20"
"21-Jun-2022","    32978.05","    33593.80","    32797.55","    33191.75","      258145491","         4998.08"
"22-Jun-2022","    33051.65","    33106.95","    32758.15","    32845.30","      134963895","         3097.08"
"23-Jun-2022","    32927.40","    33431.75","    32652.15","    33135.00","      193128024","         4755.90"
