Date,Expiry,Strike Price,Returns
06-Jan-2022,24-Feb-2022,36000,-0.12287168685273747
07-Jan-2022,24-Feb-2022,36000,-24.633507853403138
11-Jan-2022,24-Feb-2022,36000,-13.625000000000002
12-Jan-2022,24-Feb-2022,36000,1.938252803544234
13-Jan-2022,24-Feb-2022,36000,-2.6628328541067576
14-Jan-2022,24-Feb-2022,36000,-1.2309644670050819
17-Jan-2022,24-Feb-2022,36000,9.520716976230688
18-Jan-2022,24-Feb-2022,36000,-3.5553168635875423
19-Jan-2022,24-Feb-2022,36000,-0.09856532690833174
20-Jan-2022,24-Feb-2022,36000,5.188679245283019
21-Jan-2022,24-Feb-2022,36000,11.646833538503621
24-Jan-2022,24-Feb-2022,36000,-45.23913043478261
25-Jan-2022,24-Feb-2022,36000,-36.94810224632068
27-Jan-2022,24-Feb-2022,36000,34.625465581459515
28-Jan-2022,24-Feb-2022,36000,0.24271844660195338
31-Jan-2022,24-Feb-2022,36000,-37.04405495026054
03-Feb-2022,24-Feb-2022,36000,2.625723186470853
04-Feb-2022,24-Feb-2022,36000,30.02014775016789
07-Feb-2022,24-Feb-2022,36000,-7.1222606689734675
08-Feb-2022,24-Feb-2022,36000,-42.44269340974212
11-Feb-2022,24-Feb-2022,36000,97.91304347826087
14-Feb-2022,24-Feb-2022,36000,-74.63057408133909
15-Feb-2022,24-Feb-2022,36000,45.970488081725314
16-Feb-2022,24-Feb-2022,36000,56.84766938971647
17-Feb-2022,24-Feb-2022,36000,-21.525423728813557
18-Feb-2022,24-Feb-2022,36000,-52.1
21-Feb-2022,24-Feb-2022,36000,-51.80124223602485
22-Feb-2022,24-Feb-2022,36000,-72.03703703703704
08-Mar-2022,28-Apr-2022,35000,-19.11420581017065
09-Mar-2022,28-Apr-2022,35000,7.970833072541773
10-Mar-2022,28-Apr-2022,35000,-9.596527889406843
11-Mar-2022,28-Apr-2022,35000,-17.05096884307754
14-Mar-2022,28-Apr-2022,35000,15.973314069604369
15-Mar-2022,28-Apr-2022,35000,-14.470227670753063
16-Mar-2022,28-Apr-2022,35000,-9.329624100963496
21-Mar-2022,28-Apr-2022,35000,-19.60388776820099
22-Mar-2022,28-Apr-2022,35000,35.55039728595662
23-Mar-2022,28-Apr-2022,35000,5.427027027027032
24-Mar-2022,28-Apr-2022,35000,1.810956285527441
25-Mar-2022,28-Apr-2022,35000,-15.356959424756035
28-Mar-2022,28-Apr-2022,35000,-1.0350157940721882
29-Mar-2022,28-Apr-2022,35000,-17.75384615384615
31-Mar-2022,28-Apr-2022,35000,-45.11203648621852
05-Apr-2022,28-Apr-2022,35000,-0.7546030787805613
06-Apr-2022,28-Apr-2022,35000,-28.729146221786067
07-Apr-2022,28-Apr-2022,35000,-27.708258848766537
08-Apr-2022,28-Apr-2022,35000,-10.952380952380953
11-Apr-2022,28-Apr-2022,35000,-47.97687861271677
12-Apr-2022,28-Apr-2022,35000,25.635103926097003
13-Apr-2022,28-Apr-2022,35000,-17.36363636363636
18-Apr-2022,28-Apr-2022,35000,101.01522842639592
19-Apr-2022,28-Apr-2022,35000,-29.312977099236647
20-Apr-2022,28-Apr-2022,35000,-61.47098515519568
22-Apr-2022,28-Apr-2022,35000,-76.84673366834171
25-Apr-2022,28-Apr-2022,35000,-55.56946182728411
06-Jun-2022,30-Jun-2022,36000,13.585988091616318
07-Jun-2022,30-Jun-2022,36000,5.241935483870968
08-Jun-2022,30-Jun-2022,36000,-17.394819162771082
09-Jun-2022,30-Jun-2022,36000,16.183834048640914
10-Jun-2022,30-Jun-2022,36000,17.62409369771333
13-Jun-2022,30-Jun-2022,36000,-3.630339001565753
14-Jun-2022,30-Jun-2022,36000,1.6057005281143355
15-Jun-2022,30-Jun-2022,36000,45.413957520589506
16-Jun-2022,30-Jun-2022,36000,-12.76323219524288
17-Jun-2022,30-Jun-2022,36000,3.401574803149606
20-Jun-2022,30-Jun-2022,36000,-8.321064037453061
21-Jun-2022,30-Jun-2022,36000,4.960000000000006
22-Jun-2022,30-Jun-2022,36000,-10.773405698778827
23-Jun-2022,30-Jun-2022,36000,-2.777083333333337
24-Jun-2022,30-Jun-2022,36000,11.102405390582149
27-Jun-2022,30-Jun-2022,36000,-1.4829787234042515
