"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Feb-2022","31-Mar-2022","CE","30000","0","0","0","8200","8200","8730.9","0","0","0","75","0","-"
"BANKNIFTY","02-Feb-2022","31-Mar-2022","CE","30000","0","0","0","8200","8200","9542.35","0","0","0","75","0","39330.5"
"BANKNIFTY","03-Feb-2022","31-Mar-2022","CE","30000","0","0","0","8200","8200","9219.75","0","0","0","75","0","-"
"BANKNIFTY","04-Feb-2022","31-Mar-2022","CE","30000","0","0","0","8200","8200","8997.55","0","0","0","75","0","-"
"BANKNIFTY","07-Feb-2022","31-Mar-2022","CE","30000","8300","8300","8300","8300","8300","8199.75","1","9.58","2.08","50","-25","-"
"BANKNIFTY","08-Feb-2022","31-Mar-2022","CE","30000","7860","7860","7860","7860","7860","8226.5","1","9.47","1.97","25","-25","-"
"BANKNIFTY","09-Feb-2022","31-Mar-2022","CE","30000","0","0","0","7860","7860","8797","0","0","0","25","0","-"
"BANKNIFTY","10-Feb-2022","31-Mar-2022","CE","30000","0","0","0","7860","7860","9189.65","0","0","0","25","0","-"
"BANKNIFTY","11-Feb-2022","31-Mar-2022","CE","30000","8842.45","8842.45","8842.45","8842.45","8842.45","8695.3","1","9.71","2.21","50","25","-"
"BANKNIFTY","14-Feb-2022","31-Mar-2022","CE","30000","0","0","0","8842.45","8842.45","7096.65","0","0","0","50","0","-"
"BANKNIFTY","15-Feb-2022","31-Mar-2022","CE","30000","7426.9","7426.9","7426.9","7426.9","7426.9","8335.7","1","9.36","1.86","50","0","-"
"BANKNIFTY","16-Feb-2022","31-Mar-2022","CE","30000","8335.7","8339.5","7877.5","8114.6","8114.6","8114.6","22","209.97","44.97","150","100","37953.8"
"BANKNIFTY","17-Feb-2022","31-Mar-2022","CE","30000","7704.2","7704.2","7704.2","7704.2","7704.2","7694.35","2","18.85","3.85","150","0","-"
"BANKNIFTY","18-Feb-2022","31-Mar-2022","CE","30000","7722","7722","7722","7722","7722","7756.25","5","47.15","9.65","275","125","-"
"BANKNIFTY","21-Feb-2022","31-Mar-2022","CE","30000","8150","8150","8150","8150","8150","7827.7","1","9.54","2.04","275","0","-"
"BANKNIFTY","22-Feb-2022","31-Mar-2022","CE","30000","7352.65","7570","7200","7421.5","7400","7421.5","69","645.21","127.71","1850","1575","-"
"BANKNIFTY","23-Feb-2022","31-Mar-2022","CE","30000","7699.75","7699.75","7480","7507.95","7500","7507.95","15","140.85","28.35","2125","275","37392.05"
"BANKNIFTY","24-Feb-2022","31-Mar-2022","CE","30000","6500","6550","5231.9","5388.9","5250","5388.9","597","5373.77","896.27","11925","9800","-"
"BANKNIFTY","25-Feb-2022","31-Mar-2022","CE","30000","6111.15","6630.5","6100","6493.35","6493.35","6493.35","50","452.3","77.3","12900","975","-"
"BANKNIFTY","28-Feb-2022","31-Mar-2022","CE","30000","5835","6329.5","5827.65","6321.95","6329.5","6321.95","63","568.91","96.41","13250","350","-"
"BANKNIFTY","02-Mar-2022","31-Mar-2022","CE","30000","5580","5615","5100","5554.2","5569.75","5554.2","81","719.36","111.86","12400","-850","35372.8"
"BANKNIFTY","03-Mar-2022","31-Mar-2022","CE","30000","5777.1","5777.1","5151","5275.7","5248.65","5275.7","63","556.54","84.04","11625","-775","34944.3"
"BANKNIFTY","04-Mar-2022","31-Mar-2022","CE","30000","4625.85","5286","4434","4673.6","4597.45","4673.6","86","748.19","103.19","11775","150","34407.8"
"BANKNIFTY","07-Mar-2022","31-Mar-2022","CE","30000","3704.45","3725","3100.05","3400.75","3434.6","3400.75","538","4485.99","450.99","15650","3875","32871.25"
"BANKNIFTY","08-Mar-2022","31-Mar-2022","CE","30000","3200","3700","2880","3624.45","3650","3624.45","523","4344.53","422.03","17750","2100","-"
"BANKNIFTY","09-Mar-2022","31-Mar-2022","CE","30000","3500","4206.55","3430","4039.25","4120","4039.25","528","4454.56","494.56","22850","5100","33815.45"
"BANKNIFTY","10-Mar-2022","31-Mar-2022","CE","30000","5000","5432.3","4442.4","4640.3","4570","4640.3","672","5875.58","835.58","23500","650","34475.6"
"BANKNIFTY","11-Mar-2022","31-Mar-2022","CE","30000","4416.5","4935","4416.5","4680.75","4695.1","4680.75","78","676.86","91.86","22075","-1425","-"
"BANKNIFTY","14-Mar-2022","31-Mar-2022","CE","30000","4774.05","5470","4774","5392.1","5401.5","5392.1","76","667","97","22525","450","-"
"BANKNIFTY","15-Mar-2022","31-Mar-2022","CE","30000","5617.75","5699.7","4830","5120.5","5111","5120.5","46","405.37","60.37","22300","-225","-"
"BANKNIFTY","16-Mar-2022","31-Mar-2022","CE","30000","5700","5840","5630","5802.95","5755.25","5802.95","32","285.98","45.98","22100","-200","35748.25"
"BANKNIFTY","17-Mar-2022","31-Mar-2022","CE","30000","6425","6550","6385","6433.35","6420","6433.35","64","583.91","103.91","21225","-875","-"
"BANKNIFTY","21-Mar-2022","31-Mar-2022","CE","30000","6462","6462","6030","6050","6050","6050","12","108.51","18.51","21100","-125","-"
"BANKNIFTY","22-Mar-2022","31-Mar-2022","CE","30000","5903.1","6573.65","5510","6481.15","6573.65","6481.15","97","870.99","143.49","21200","100","-"
"BANKNIFTY","23-Mar-2022","31-Mar-2022","CE","30000","6820","6820","6146.2","6147.15","6146.2","6147.15","30","273.27","48.27","20850","-350","-"
"BANKNIFTY","24-Mar-2022","31-Mar-2022","CE","30000","5707.75","5839.45","5598.5","5610","5610","5610","43","383.43","60.93","20275","-575","-"
"BANKNIFTY","25-Mar-2022","31-Mar-2022","CE","30000","5583.05","5626.55","5298.25","5624","5626.55","5624","27","239.58","37.08","20525","250","-"
