"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Feb-2022","31-Mar-2022","PE","30000","69.85","69.85","42","46.15","42","46.15","283","2126.13","3.63","8150","1200","-"
"BANKNIFTY","02-Feb-2022","31-Mar-2022","PE","30000","40","43.95","33","35.45","35.05","35.45","137","1028.78","1.28","8150","0","39330.5"
"BANKNIFTY","03-Feb-2022","31-Mar-2022","PE","30000","36.5","44.9","31","34.2","37.5","34.2","177","1329.06","1.56","8700","550","-"
"BANKNIFTY","04-Feb-2022","31-Mar-2022","PE","30000","37.05","43","32.7","36.3","37.55","36.3","120","901.08","1.08","8900","200","-"
"BANKNIFTY","07-Feb-2022","31-Mar-2022","PE","30000","40","60","34.5","44.5","45","44.5","608","4566.31","6.31","12750","3850","-"
"BANKNIFTY","08-Feb-2022","31-Mar-2022","PE","30000","45.05","55","41.1","42.6","41.45","42.6","314","2358.7","3.7","14025","1275","-"
"BANKNIFTY","09-Feb-2022","31-Mar-2022","PE","30000","36.45","40.45","33.7","39.85","39.95","39.85","64","480.61",".61","14350","325","-"
"BANKNIFTY","10-Feb-2022","31-Mar-2022","PE","30000","39.6","40","32.05","36.4","37","36.4","110","825.98",".98","14350","0","-"
"BANKNIFTY","11-Feb-2022","31-Mar-2022","PE","30000","50","70","31","34.8","35.95","34.8","238","1787.09","2.09","15975","1625","-"
"BANKNIFTY","14-Feb-2022","31-Mar-2022","PE","30000","59.95","99","38","71.15","79","71.15","1077","8093.1","15.6","16275","300","-"
"BANKNIFTY","15-Feb-2022","31-Mar-2022","PE","30000","98","99.95","47","48.65","49","48.65","490","3682.27","7.27","19650","3375","-"
"BANKNIFTY","16-Feb-2022","31-Mar-2022","PE","30000","45","53.9","38.8","50.15","52","50.15","256","1922.98","2.98","20650","1000","37953.8"
"BANKNIFTY","17-Feb-2022","31-Mar-2022","PE","30000","50.2","62","40.4","56","58","56","381","2862.53","5.03","23125","2475","-"
"BANKNIFTY","18-Feb-2022","31-Mar-2022","PE","30000","65","85","48.15","52.15","50","52.15","566","4252.83","7.83","25775","2650","-"
"BANKNIFTY","21-Feb-2022","31-Mar-2022","PE","30000","58.65","70","41.75","51.6","52.1","51.6","882","6625.9","10.9","27475","1700","-"
"BANKNIFTY","22-Feb-2022","31-Mar-2022","PE","30000","68","77","51","59.5","60.3","59.5","1291","9703.94","21.44","31950","4475","-"
"BANKNIFTY","23-Feb-2022","31-Mar-2022","PE","30000","60.25","60.25","42","48.05","51.45","48.05","730","5483.54","8.54","36075","4125","37392.05"
"BANKNIFTY","24-Feb-2022","31-Mar-2022","PE","30000","68","267.85","68","211.35","237","211.35","11126","83868.67","423.67","74425","38350","-"
"BANKNIFTY","25-Feb-2022","31-Mar-2022","PE","30000","196.1","196.1","86.9","96.75","94","96.75","7635","57451.91","189.41","84700","10275","-"
"BANKNIFTY","28-Feb-2022","31-Mar-2022","PE","30000","125","154.5","109.05","128.2","138","128.2","11163","84087.14","364.64","134250","49550","-"
"BANKNIFTY","02-Mar-2022","31-Mar-2022","PE","30000","165.9","267.15","165.9","196.9","188","196.9","14831","112025.11","792.61","203000","68750","35372.8"
"BANKNIFTY","03-Mar-2022","31-Mar-2022","PE","30000","152","217.4","120","197.2","205","197.2","10476","79033.97","463.97","231125","28125","34944.3"
"BANKNIFTY","04-Mar-2022","31-Mar-2022","PE","30000","277","288.75","175","225.2","220.05","225.2","17029","128717.55","1000.05","296125","65000","34407.8"
"BANKNIFTY","07-Mar-2022","31-Mar-2022","PE","30000","318.15","619.5","318.15","454.95","460","454.95","39975","304483.28","4670.78","393400","97275","32871.25"
"BANKNIFTY","08-Mar-2022","31-Mar-2022","PE","30000","499.9","626.35","361.6","382.7","378","382.7","29234","222962.94","3707.94","423275","29875","-"
"BANKNIFTY","09-Mar-2022","31-Mar-2022","PE","30000","378","402.7","197.85","216.75","211.95","216.75","18238","138052.54","1267.54","416075","-7200","33815.45"
"BANKNIFTY","10-Mar-2022","31-Mar-2022","PE","30000","190","190","70","131.85","156.3","131.85","20579","154904.06","561.56","387550","-28525","34475.6"
"BANKNIFTY","11-Mar-2022","31-Mar-2022","PE","30000","150","160","109.8","116","125","116","9905","74594.73","307.23","390675","3125","-"
"BANKNIFTY","14-Mar-2022","31-Mar-2022","PE","30000","120","126.8","65","69.9","73","69.9","11757","88429.07","251.57","401950","11275","-"
"BANKNIFTY","15-Mar-2022","31-Mar-2022","PE","30000","68","105","51.7","81.55","75","81.55","11677","87791.16","213.66","434750","32800","-"
"BANKNIFTY","16-Mar-2022","31-Mar-2022","PE","30000","70","70","34.5","36.65","36","36.65","7972","59878.54","88.54","410725","-24025","35748.25"
"BANKNIFTY","17-Mar-2022","31-Mar-2022","PE","30000","29.7","30","16.2","20.05","19.3","20.05","7706","57832.97","37.97","383425","-27300","-"
"BANKNIFTY","21-Mar-2022","31-Mar-2022","PE","30000","22.85","22.85","13.3","14.6","14.9","14.6","5126","38466.41","21.41","370450","-12975","-"
"BANKNIFTY","22-Mar-2022","31-Mar-2022","PE","30000","15","15.7","7.5","8.65","8.05","8.65","4624","34693.43","13.43","359500","-10950","-"
"BANKNIFTY","23-Mar-2022","31-Mar-2022","PE","30000","7.95","11.15","6","9.3","9.95","9.3","4144","31088.81","8.81","365750","6250","-"
"BANKNIFTY","24-Mar-2022","31-Mar-2022","PE","30000","29.05","29.8","5.15","5.6","5.6","5.6","14695","110239.13","26.63","432150","66400","-"
"BANKNIFTY","25-Mar-2022","31-Mar-2022","PE","30000","5.6","5.6","3","4.4","4.95","4.4","45537","341574.17","46.67","459450","27300","-"
"BANKNIFTY","28-Mar-2022","31-Mar-2022","PE","30000","3.9","4.25","2.4","2.75","2.4","2.75","36867","276529.51","27.01","423025","-36425","-"
"BANKNIFTY","29-Mar-2022","31-Mar-2022","PE","30000","1.65","2.75","1.6","1.7","1.65","1.7","20925","156947.81","10.31","387250","-35775","-"
"BANKNIFTY","30-Mar-2022","31-Mar-2022","PE","30000","1.9","1.9","0.6","0.8","0.6","0.8","12564","94234.27","4.27","339850","-47400","36334.3"
"BANKNIFTY","31-Mar-2022","31-Mar-2022","PE","30000","1","1.15","0.05","0.15","0.05","36373.6","13713","102849.39","1.89","315175","-24675","-"
