"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Feb-2022","    38460.45","    38802.70","    37690.60","    38505.50","      234113973","         8524.68"
"02-Feb-2022","    38841.55","    39386.60","    38752.65","    39330.50","      252636678","         7615.88"
"03-Feb-2022","    39255.70","    39424.85","    38861.15","    39010.00","      193762539","         5923.08"
"04-Feb-2022","    39128.00","    39278.60","    38562.60","    38789.35","      163095693","         5657.43"
"07-Feb-2022","    38592.05","    38837.55","    37802.70","    37995.45","      241900647","         7565.95"
"08-Feb-2022","    38176.10","    38222.10","    37319.05","    38028.45","      200188205","         6529.01"
"09-Feb-2022","    38283.60","    38648.15","    38192.00","    38610.25","      124856780","         4526.22"
"10-Feb-2022","    38801.45","    39197.20","    38520.00","    39010.95","      147797202","         5910.34"
"11-Feb-2022","    38567.65","    38790.25","    38396.40","    38517.25","      154963046","         5482.57"
"14-Feb-2022","    37664.00","    37796.55","    36828.05","    36908.55","      213830951","         6346.20"
"15-Feb-2022","    36989.80","    38231.60","    36651.85","    38170.10","      192987946","         6083.63"
"16-Feb-2022","    38296.50","    38461.70","    37762.80","    37953.80","      170090059","         5035.11"
"17-Feb-2022","    38042.10","    38124.50","    37425.60","    37531.65","      136324646","         4766.59"
"18-Feb-2022","    37344.45","    37817.55","    37304.45","    37599.15","      113457242","         3555.01"
"21-Feb-2022","    37400.00","    38054.40","    37156.80","    37685.60","      143330237","         4172.28"
"22-Feb-2022","    36833.00","    37659.40","    36818.10","    37371.65","      159396702","         5316.02"
"23-Feb-2022","    37628.55","    37774.60","    37318.00","    37392.05","      137348932","         5203.10"
"24-Feb-2022","    36085.20","    36709.15","    34991.35","    35228.10","      427755807","         9889.61"
"25-Feb-2022","    35901.70","    36684.65","    35768.20","    36430.75","      372802626","         7472.49"
"28-Feb-2022","    35938.95","    36270.25","    35611.90","    36205.30","      238280153","         7153.75"
"02-Mar-2022","    35381.90","    35553.70","    34897.45","    35372.80","      211288285","         8248.77"
"03-Mar-2022","    35621.15","    35804.15","    34721.15","    34944.30","      172533577","         6220.88"
"04-Mar-2022","    34526.10","    35097.75","    34094.10","    34407.80","      194466533","         6367.62"
"07-Mar-2022","    33278.15","    33543.30","    32376.50","    32871.25","      248860897","         8562.11"
"08-Mar-2022","    32531.90","    33263.55","    32155.35","    33158.10","      276830725","        10371.94"
"09-Mar-2022","    33278.90","    33969.50","    32948.90","    33815.45","      258456568","         9509.70"
"10-Mar-2022","    35153.95","    35374.15","    34218.05","    34475.60","      273948531","        10109.90"
"11-Mar-2022","    34331.00","    34880.05","    34094.30","    34546.25","      169532120","         6157.39"
"14-Mar-2022","    34660.25","    35435.10","    34625.05","    35312.15","      193297091","         7589.67"
"15-Mar-2022","    35467.95","    35643.80","    34706.05","    35022.65","      224193669","         8437.88"
"16-Mar-2022","    35555.75","    35806.35","    35461.55","    35748.25","      173798310","         5703.97"
"17-Mar-2022","    36302.00","    36611.95","    36261.65","    36428.55","      181953699","         6709.49"
"21-Mar-2022","    36545.85","    36600.20","    35900.20","    36018.50","      128655959","         4771.04"
"22-Mar-2022","    35975.60","    36468.80","    35384.75","    36348.55","      202887630","         5838.07"
"23-Mar-2022","    36627.70","    36827.60","    36064.75","    36147.35","      197900273","         6074.26"
"24-Mar-2022","    35633.70","    35957.70","    35421.70","    35527.10","      205174581","         8832.50"
"25-Mar-2022","    35700.40","    35717.40","    35203.85","    35410.10","      156997410","         4862.65"
"28-Mar-2022","    35488.70","    35770.80","    35016.30","    35710.50","      197017630","         5234.28"
"29-Mar-2022","    35931.75","    35977.20","    35506.55","    35847.40","      177135786","         4586.33"
"30-Mar-2022","    36241.55","    36421.10","    36070.55","    36334.30","      325637452","         8056.96"
"31-Mar-2022","    36457.20","    36590.85","    36278.15","    36373.60","      188135977","         6187.65"
