"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Jan-2021","25-Feb-2021","CE","30000","2200","2200","2055","2055","2055","2458.7","93","745.97","48.47","6375","1775","31225.85"
"BANKNIFTY","04-Jan-2021","25-Feb-2021","CE","30000","2190","2190","1951.1","2071.05","2079.3","2071.05","76","608.81","38.81","7400","1025","31212.45"
"BANKNIFTY","05-Jan-2021","25-Feb-2021","CE","30000","1930","2442.15","1930","2406.25","2402.5","2406.25","47","379.57","27.07","7075","-325","-"
"BANKNIFTY","06-Jan-2021","25-Feb-2021","CE","30000","2430","2667.35","2430","2596.4","2567.3","2596.4","147","1197.25","94.75","4275","-2800","-"
"BANKNIFTY","07-Jan-2021","25-Feb-2021","CE","30000","2667.4","2786.15","2600","2625","2610","2625","108","883.2","73.2","2850","-1425","31956"
"BANKNIFTY","08-Jan-2021","25-Feb-2021","CE","30000","2704.55","2810","2700","2700","2700","2929.35","37","303.06","25.56","2400","-450","-"
"BANKNIFTY","11-Jan-2021","25-Feb-2021","CE","30000","2743.15","2743.15","2570","2694.75","2694.75","2694.75","20","163.24","13.24","2525","125","31998.9"
"BANKNIFTY","12-Jan-2021","25-Feb-2021","CE","30000","2500","2984.8","2452.5","2984.8","2984.8","2984.8","110","902.53","77.53","2925","400","32339"
"BANKNIFTY","13-Jan-2021","25-Feb-2021","CE","30000","3150","3233.95","2912","3170","3170","3216.5","24","198.68","18.68","2925","0","-"
"BANKNIFTY","14-Jan-2021","25-Feb-2021","CE","30000","3170","3209.75","3060","3115.95","3147.15","3115.95","52","430.53","40.53","3800","875","32519.75"
"BANKNIFTY","15-Jan-2021","25-Feb-2021","CE","30000","3000","3000","2799.25","2860.9","2847.7","2860.9","26","213.77","18.77","3900","100","32246.8"
"BANKNIFTY","18-Jan-2021","25-Feb-2021","CE","30000","2789","2865.35","2361","2395.75","2361","2395.75","82","666.36","51.36","5525","1625","-"
"BANKNIFTY","19-Jan-2021","25-Feb-2021","CE","30000","2650","2970","2570","2970","2970","2970","80","654.49","54.49","5150","-375","32424.85"
"BANKNIFTY","20-Jan-2021","25-Feb-2021","CE","30000","2880","3000","2827.8","2980","2980","3071.45","24","197.62","17.62","5500","350","32543.7"
"BANKNIFTY","21-Jan-2021","25-Feb-2021","CE","30000","3082","3150","2699.95","2722.9","2722.9","2722.9","439","3618.36","325.86","14575","9075","32186.9"
"BANKNIFTY","22-Jan-2021","25-Feb-2021","CE","30000","2457.55","2500","1864.8","1905.1","1929.95","1905.1","453","3631.7","234.2","20175","5600","31167.25"
"BANKNIFTY","25-Jan-2021","25-Feb-2021","CE","30000","2135","2248","1800","1899","1882.5","1899","406","3244.98","199.98","21175","1000","31198.4"
"BANKNIFTY","27-Jan-2021","25-Feb-2021","CE","30000","1849.55","1888.5","1310","1363.95","1370","1363.95","2189","17205.87","788.37","37275","16100","30284.55"
"BANKNIFTY","28-Jan-2021","25-Feb-2021","CE","30000","1183.9","1351.7","970","1250.6","1302.2","1250.6","12849","99989.45","3621.95","117450","80175","30358.3"
"BANKNIFTY","29-Jan-2021","25-Feb-2021","CE","30000","1443.55","1826.9","1250","1430.7","1459.55","1430.7","7745","60988.45","2900.95","104550","-12900","30565.5"
"BANKNIFTY","01-Feb-2021","25-Feb-2021","CE","30000","1609.1","3573.35","1560","3377.55","3530.95","3377.55","4195","33830.08","2367.58","83875","-20675","-"
"BANKNIFTY","02-Feb-2021","25-Feb-2021","CE","30000","3864","4773.8","3814.6","4461.65","4510","4461.65","1098","9415.67","1180.67","80125","-3750","34267.9"
"BANKNIFTY","03-Feb-2021","25-Feb-2021","CE","30000","4425.05","5030","4257.95","4920","4842","4920","656","5710.34","790.34","68925","-11200","-"
"BANKNIFTY","04-Feb-2021","25-Feb-2021","CE","30000","4600","5444","4361.4","5373.35","5380","5373.35","257","2249.95","322.45","69700","775","35344.8"
"BANKNIFTY","05-Feb-2021","25-Feb-2021","CE","30000","5880","6600","5614","5668.15","5717.7","5668.15","378","3404.36","569.36","62725","-6975","35654.5"
"BANKNIFTY","08-Feb-2021","25-Feb-2021","CE","30000","6275","6494.95","5953.2","6052.9","6040.55","6052.9","457","4138.68","711.18","53525","-9200","-"
"BANKNIFTY","09-Feb-2021","25-Feb-2021","CE","30000","5790","6467","5735","6110.8","6100","6110.8","42","380.84","65.84","52875","-650","36056.5"
"BANKNIFTY","10-Feb-2021","25-Feb-2021","CE","30000","5995","6019.35","5611.8","5878","5878","5878","115","1032.57","170.07","50325","-2550","-"
"BANKNIFTY","11-Feb-2021","25-Feb-2021","CE","30000","5920","5971.75","5689.9","5819.5","5886","5819.5","230","2056.27","331.27","50075","-250","-"
