"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","03-Jan-2022","24-Feb-2022","CE","35000","1729.95","2380.9","1725.9","2333.35","2380.9","2333.35","281","2602.38","143.63","7050","-2525","36421.9"
"BANKNIFTY","04-Jan-2022","24-Feb-2022","CE","35000","2459.95","2635","2330","2603.35","2624.95","2603.35","56","525.45","35.45","6725","-325","-"
"BANKNIFTY","05-Jan-2022","24-Feb-2022","CE","35000","2649.95","3400","2649.95","3297.85","3245.6","3297.85","229","2185.33","181.58","5900","-825","37695.9"
"BANKNIFTY","06-Jan-2022","24-Feb-2022","CE","35000","2950","3342.1","2828.85","3124.75","3100","3124.75","128","1217.49","97.49","4050","-1850","37490.25"
"BANKNIFTY","07-Jan-2022","24-Feb-2022","CE","35000","3280","3641.9","3115.3","3333.1","3322.05","3333.1","43","412.46","36.21","4350","300","37739.6"
"BANKNIFTY","10-Jan-2022","24-Feb-2022","CE","35000","3688","3888.1","3492.25","3849.05","3866","3849.05","44","426.1","41.1","4225","-125","38347.9"
"BANKNIFTY","11-Jan-2022","24-Feb-2022","CE","35000","3293.8","3980.1","3293.8","3915","3980.1","3915","60","583.01","58.01","3550","-675","-"
"BANKNIFTY","12-Jan-2022","24-Feb-2022","CE","35000","4123.05","4240","4092.15","4150","4150","4150","14","137.12","14.62","3525","-25","38727.55"
"BANKNIFTY","13-Jan-2022","24-Feb-2022","CE","35000","4018.5","4033.9","3930","3930","3930","3930","7","68.21","6.96","3525","0","-"
"BANKNIFTY","14-Jan-2022","24-Feb-2022","CE","35000","3646.3","3799","3530","3790","3790","3790","57","552.35","53.6","4050","525","-"
"BANKNIFTY","17-Jan-2022","24-Feb-2022","CE","35000","3831.2","3868.3","3640.35","3740","3740","3740","10","96.9","9.4","4050","0","-"
"BANKNIFTY","18-Jan-2022","24-Feb-2022","CE","35000","3840","4172.6","3658.7","3724.65","3658.7","3724.65","31","301.87","30.62","4125","75","-"
