"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Jan-2022","    35585.20","    36492.10","    35526.60","    36421.90","      219015015","         5334.58"
"04-Jan-2022","    36551.25","    36887.80","    36374.40","    36840.15","      190538010","         5610.46"
"05-Jan-2022","    36943.55","    37862.40","    36756.35","    37695.90","      237374910","         8762.40"
"06-Jan-2022","    37242.55","    37752.50","    37058.45","    37490.25","      199034793","         5835.83"
"07-Jan-2022","    37667.05","    38134.85","    37427.80","    37739.60","      183337111","         6079.93"
"10-Jan-2022","    37930.55","    38400.35","    37929.35","    38347.90","      206472501","         5233.55"
"11-Jan-2022","    38370.00","    38504.60","    38031.75","    38442.20","      159537910","         5111.10"
"12-Jan-2022","    38719.60","    38851.45","    38604.60","    38727.55","      156053463","         5993.13"
"13-Jan-2022","    38717.55","    38717.55","    38376.15","    38469.95","      159208683","         6581.17"
"14-Jan-2022","    38302.35","    38448.05","    38007.75","    38370.40","      148647294","         5026.83"
"17-Jan-2022","    38212.55","    38617.50","    38138.25","    38216.15","      140304025","         6085.82"
"18-Jan-2022","    38337.40","    38855.55","    38095.40","    38210.30","      168774319","         6097.59"
"19-Jan-2022","    38145.75","    38330.50","    37769.25","    38041.35","      165345459","         5649.74"
"20-Jan-2022","    38106.10","    38167.95","    37591.85","    37850.85","      149614744","         5346.09"
"21-Jan-2022","    37522.35","    37741.00","    37224.25","    37574.30","      157806216","         5068.35"
"24-Jan-2022","    37601.95","    37694.70","    36375.35","    36947.55","      231032351","         7721.28"
"25-Jan-2022","    36598.05","    37788.80","    36415.60","    37706.75","      267527334","         9128.85"
"27-Jan-2022","    37058.20","    38147.65","    37012.25","    37982.10","      346316385","        11525.61"
"28-Jan-2022","    38246.60","    38421.70","    37581.50","    37689.40","      294272749","         8873.07"
"31-Jan-2022","    38091.80","    38217.25","    37647.85","    37975.35","      217789465","         7700.59"
"01-Feb-2022","    38460.45","    38802.70","    37690.60","    38505.50","      234113973","         8524.68"
"02-Feb-2022","    38841.55","    39386.60","    38752.65","    39330.50","      252636678","         7615.88"
"03-Feb-2022","    39255.70","    39424.85","    38861.15","    39010.00","      193762539","         5923.08"
"04-Feb-2022","    39128.00","    39278.60","    38562.60","    38789.35","      163095693","         5657.43"
"07-Feb-2022","    38592.05","    38837.55","    37802.70","    37995.45","      241900647","         7565.95"
"08-Feb-2022","    38176.10","    38222.10","    37319.05","    38028.45","      200188205","         6529.01"
"09-Feb-2022","    38283.60","    38648.15","    38192.00","    38610.25","      124856780","         4526.22"
"10-Feb-2022","    38801.45","    39197.20","    38520.00","    39010.95","      147797202","         5910.34"
"11-Feb-2022","    38567.65","    38790.25","    38396.40","    38517.25","      154963046","         5482.57"
"14-Feb-2022","    37664.00","    37796.55","    36828.05","    36908.55","      213830951","         6346.20"
"15-Feb-2022","    36989.80","    38231.60","    36651.85","    38170.10","      192987946","         6083.63"
"16-Feb-2022","    38296.50","    38461.70","    37762.80","    37953.80","      170090059","         5035.11"
"17-Feb-2022","    38042.10","    38124.50","    37425.60","    37531.65","      136324646","         4766.59"
"18-Feb-2022","    37344.45","    37817.55","    37304.45","    37599.15","      113457242","         3555.01"
"21-Feb-2022","    37400.00","    38054.40","    37156.80","    37685.60","      143330237","         4172.28"
"22-Feb-2022","    36833.00","    37659.40","    36818.10","    37371.65","      159396702","         5316.02"
"23-Feb-2022","    37628.55","    37774.60","    37318.00","    37392.05","      137348932","         5203.10"
"24-Feb-2022","    36085.20","    36709.15","    34991.35","    35228.10","      427755807","         9889.61"
