"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","01-Jul-2019","25-Jul-2019","PE","170","3.75","5.05","3.55","4.2","4.25","4.2","249","1301.44","31.54","507000","-60000","174.05"
"VEDL","02-Jul-2019","25-Jul-2019","PE","170","4.35","5.5","3.6","3.9","3.95","3.9","311","1628.53","42.43","582000","75000","174.65"
"VEDL","03-Jul-2019","25-Jul-2019","PE","170","4.55","5.85","4.15","4.4","4.5","4.4","439","2304.16","65.26","534000","-48000","172.7"
"VEDL","04-Jul-2019","25-Jul-2019","PE","170","4.4","5.55","4","5.3","5.35","5.3","347","1820.09","50.39","597000","63000","171.05"
"VEDL","05-Jul-2019","25-Jul-2019","PE","170","5.15","9.25","5.15","9.1","9","9.1","431","2291.38","93.28","423000","-174000","163.65"
"VEDL","08-Jul-2019","25-Jul-2019","PE","170","9.9","10.25","8.2","9.9","9.9","9.9","32","172.24","9.04","390000","-33000","161.95"
"VEDL","09-Jul-2019","25-Jul-2019","PE","170","9.75","11.55","9.6","10.2","10.2","10.2","35","189.56","11.06","378000","-12000","161.5"
"VEDL","10-Jul-2019","25-Jul-2019","PE","170","10.65","14","10.3","11.6","11.6","11.6","28","152.68","9.88","357000","-21000","160"
"VEDL","11-Jul-2019","25-Jul-2019","PE","170","9","9.25","7.6","7.9","7.7","7.9","28","149.83","7.03","357000","0","163.65"
"VEDL","12-Jul-2019","25-Jul-2019","PE","170","8.2","8.85","4.95","5.6","5.6","5.6","100","528.14","18.14","399000","42000","167.65"
"VEDL","15-Jul-2019","25-Jul-2019","PE","170","6.25","8.6","5.55","5.75","5.75","5.75","62","328.95","12.75","426000","27000","166.75"
"VEDL","16-Jul-2019","25-Jul-2019","PE","170","5.05","6","3.95","5.35","5.4","5.35","169","887.4","25.5","441000","15000","166.9"
"VEDL","17-Jul-2019","25-Jul-2019","PE","170","4.25","5.45","4.15","4.3","4.15","4.3","106","555.05","14.45","456000","15000","168.65"
"VEDL","18-Jul-2019","25-Jul-2019","PE","170","5.1","8.05","5.1","7.6","7.65","7.6","96","509.29","19.69","339000","-117000","163.05"
"VEDL","19-Jul-2019","25-Jul-2019","PE","170","6.35","9.4","6.3","9.35","9.4","9.35","41","218.36","9.26","276000","-63000","161.25"
"VEDL","22-Jul-2019","25-Jul-2019","PE","170","6.3","6.35","3.65","4.15","3.7","4.15","148","775.37","20.57","306000","30000","167.25"
"VEDL","23-Jul-2019","25-Jul-2019","PE","170","4.05","5.5","2.6","2.85","2.6","2.85","131","682.72","14.62","279000","-27000","168.1"
"VEDL","24-Jul-2019","25-Jul-2019","PE","170","2.95","9.2","2.95","5","5.1","5","76","401.41","13.81","180000","-99000","165.05"
"VEDL","25-Jul-2019","25-Jul-2019","PE","170","2.9","4.6","0.05","0.15","0.05","0","578","2961.89","14.09","369000","189000","171.45"
