"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","01-Sep-2020","24-Sep-2020","CE","130","6.3","8.8","6.25","8.4","8.75","8.4","606","5165.46","281.1","2622600","-235600","-"
"VEDL","02-Sep-2020","24-Sep-2020","CE","130","9.1","9.2","7","7.8","7.9","7.8","287","2450.98","137.76","2945000","322400","131.1"
"VEDL","03-Sep-2020","24-Sep-2020","CE","130","6.15","7.6","5.6","6.1","6","6.1","655","5538.2","258.9","3459600","514600","-"
"VEDL","04-Sep-2020","24-Sep-2020","CE","130","4.75","6.15","4.35","4.55","4.6","4.55","438","3675.96","145.68","3961800","502200","125.95"
"VEDL","07-Sep-2020","24-Sep-2020","CE","130","5","6.15","4.55","5.6","5.65","5.6","629","5273.3","203.56","4464000","502200","-"
"VEDL","08-Sep-2020","24-Sep-2020","CE","130","5.45","5.5","3.75","3.95","3.8","3.95","513","4277.06","142.28","5034400","570400","-"
"VEDL","09-Sep-2020","24-Sep-2020","CE","130","3","6.8","2.9","5.2","5.5","5.2","2004","16714.36","562.12","6801400","1767000","-"
"VEDL","10-Sep-2020","24-Sep-2020","CE","130","6.15","6.25","5","5.95","6","5.95","1610","13541.07","564.47","6379800","-421600","-"
"VEDL","11-Sep-2020","24-Sep-2020","CE","130","5.95","7","4.15","6.55","6.3","6.55","1760","14816.2","630.6","7037000","657200","-"
"VEDL","14-Sep-2020","24-Sep-2020","CE","130","5.4","5.95","4.25","4.75","4.7","4.75","69","577.41","21.27","6609200","-427800","-"
"VEDL","15-Sep-2020","24-Sep-2020","CE","130","4.55","5.3","3.95","5","5.3","5","88","734.6","25.32","6063600","-545600","-"
"VEDL","16-Sep-2020","24-Sep-2020","CE","130","5.3","7.2","5.3","6.95","6.5","6.95","176","1487.7","69.14","4972400","-1091200","-"
"VEDL","17-Sep-2020","24-Sep-2020","CE","130","6","6.7","5.05","6.4","6.4","6.4","26","219.36","9.8","4811200","-161200","-"
"VEDL","18-Sep-2020","24-Sep-2020","CE","130","6","6.35","3.1","3.9","3.45","3.9","37","310.64","12.42","4581800","-229400","130.95"
"VEDL","21-Sep-2020","24-Sep-2020","CE","130","3.4","4","1.2","1.55","1.6","1.55","54","444.5","9.26","4247000","-334800","-"
"VEDL","22-Sep-2020","24-Sep-2020","CE","130","1","2.1","0.9","1.15","1.1","1.15","19","154.67","1.53","4129200","-117800","-"
"VEDL","23-Sep-2020","24-Sep-2020","CE","130","1.5","1.85","0.7","1.75","1.85","1.75","39","317.22","2.88","3906000","-223200","130"
"VEDL","24-Sep-2020","24-Sep-2020","CE","130","0.9","4.4","0.1","1.6","0.1","131.75","1125","9245.41","177.91","979600","-2926400","-"
