"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","02-Mar-2020","26-Mar-2020","PE","110","6.7","9.7","5","8.55","8.45","8.55","613","2498.03","137.98","969500","52500","110.95"
"VEDL","03-Mar-2020","26-Mar-2020","PE","110","6.15","6.85","4.05","4.45","4.35","4.45","591","2386.68","111.33","1235500","266000","119.55"
"VEDL","04-Mar-2020","26-Mar-2020","PE","110","5","5.9","4","4.2","4.25","4.2","954","3844.16","171.26","1274000","38500","119.35"
"VEDL","05-Mar-2020","26-Mar-2020","PE","110","3.5","3.75","2.1","3.3","3.35","3.3","726","2872.99","77.89","1351000","77000","117.1"
"VEDL","06-Mar-2020","26-Mar-2020","PE","110","4.75","6.95","4.3","5.25","5.4","5.25","1200","4838.26","218.26","1190000","-161000","111.05"
"VEDL","09-Mar-2020","26-Mar-2020","PE","110","12.2","18","9.7","16.9","17.25","16.9","448","1924.63","199.83","738500","-451500","94.9"
"VEDL","11-Mar-2020","26-Mar-2020","PE","110","17","19.3","16.5","19","19.3","19","44","197.13","27.73","714000","-24500","92"
"VEDL","12-Mar-2020","26-Mar-2020","PE","110","27","30.9","25","30.75","30.9","30.75","50","240.84","48.34","630000","-84000","79.85"
"VEDL","13-Mar-2020","26-Mar-2020","PE","110","40","48.15","25.15","27.4","26.2","27.4","62","310.97","72.27","507500","-122500","84.05"
"VEDL","16-Mar-2020","26-Mar-2020","PE","110","33","35.9","31","35.7","35.9","35.7","22","110.61","25.91","497000","-10500","74.85"
"VEDL","17-Mar-2020","26-Mar-2020","PE","110","34.7","35.65","31.65","35.55","35.65","35.55","20","100.37","23.37","472500","-24500","75"
"VEDL","18-Mar-2020","26-Mar-2020","PE","110","33.75","38","32.5","38","38","38","29","148.38","36.73","420000","-52500","72.95"
"VEDL","19-Mar-2020","26-Mar-2020","PE","110","39.2","39.75","36.8","38.55","38.55","40.55","11","57.19","14.84","399000","-21000","69.35"
"VEDL","20-Mar-2020","26-Mar-2020","PE","110","39.6","39.6","36","38.35","38.35","34.45","9","46.54","11.89","381500","-17500","75.45"
"VEDL","23-Mar-2020","26-Mar-2020","PE","110","46.05","54.65","46","47.5","47.5","47.5","19","104.71","31.56","336000","-45500","62.65"
"VEDL","24-Mar-2020","26-Mar-2020","PE","110","42.85","45","42.85","45","45","47.15","3","16.12","4.57","325500","-10500","62.8"
"VEDL","25-Mar-2020","26-Mar-2020","PE","110","45.05","45.05","45.05","45.05","45.05","45.05","1","5.43","1.58","322000","-3500","64.2"
"VEDL","26-Mar-2020","26-Mar-2020","PE","110","45","53.25","41","44.6","44.6","65.8","59","318.41","91.26","178500","-143500","65.8"
