,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,01-Sep-2020,128.65,132.6,127.65,132.3,130.29,16252180,2117500739.4,43691,4078191,25.09,132.0,128.8
1,1,VEDL,EQ,02-Sep-2020,132.0,133.4,129.25,131.0,130.98,15591382,2042090976.1,43966,5135874,32.94,131.1,132.45
2,2,VEDL,EQ,03-Sep-2020,131.1,130.7,126.6,128.35,128.67,29493296,3795040077.95,91523,10435623,35.38,128.5,127.1
3,3,VEDL,EQ,04-Sep-2020,128.5,128.8,125.1,126.35,127.09,11795841,1499114603.0,43078,4281123,36.29,125.95,127.1
4,4,VEDL,EQ,07-Sep-2020,125.95,129.7,125.5,127.95,127.6,12133098,1548147071.65,35144,3910613,32.23,127.9,126.7
5,5,VEDL,EQ,08-Sep-2020,127.9,128.1,125.0,125.2,126.26,7909393,998678865.5,23689,2561454,32.38,125.55,127.65
6,6,VEDL,EQ,09-Sep-2020,125.55,129.0,122.6,128.0,126.01,24847781,3131099470.7,86791,10591878,42.63,127.95,124.0
7,7,VEDL,EQ,10-Sep-2020,127.95,131.25,128.05,130.5,129.63,18848425,2443359205.95,69398,6803542,36.1,130.45,129.05
8,8,VEDL,EQ,11-Sep-2020,130.45,132.5,127.3,131.6,130.21,21976642,2861552242.0,67106,8001248,36.41,131.9,130.7
9,9,VEDL,EQ,14-Sep-2020,131.9,132.35,128.5,130.25,130.04,8192404,1065336150.85,33103,3285909,40.11,129.65,132.0
10,10,VEDL,EQ,15-Sep-2020,129.65,132.85,128.55,132.55,130.34,11137277,1451683392.5,39101,6720631,60.34,131.55,129.1
11,11,VEDL,EQ,16-Sep-2020,131.55,135.0,131.9,134.0,133.94,20434417,2736910943.9,74452,10236783,50.1,134.3,132.5
12,12,VEDL,EQ,17-Sep-2020,134.3,135.0,133.1,134.45,134.06,6774794,908261173.0,28766,3349871,49.45,134.3,134.0
13,13,VEDL,EQ,18-Sep-2020,134.3,136.0,129.7,131.8,132.54,16354338,2167606790.9,61153,11669031,71.35,130.95,135.7
14,14,VEDL,EQ,21-Sep-2020,130.95,133.9,127.1,128.65,130.68,15901212,2077965431.25,56340,9238290,58.1,128.95,131.4
15,15,VEDL,EQ,22-Sep-2020,128.95,129.95,126.25,127.2,127.82,10650128,1361345504.05,56464,5316570,49.92,127.15,129.95
16,16,VEDL,EQ,23-Sep-2020,127.15,130.55,127.65,130.5,129.19,15115222,1952709840.65,38165,10493694,69.42,130.0,128.9
17,17,VEDL,EQ,24-Sep-2020,130.0,134.0,128.1,131.4,132.23,30204421,3993846569.75,99297,11158239,36.94,131.75,128.1
