,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,Delta,OV,OV-Change,OV-Mean,Change,Ratio,Result
0,VEDL,01-Jan-2020,30-Jan-2020,CE,150,8.15,9.35,7.3,9.1,9.1,9.1,146,809.61,43.11,598500,63000,154.6,29,14.659340659340643,,,11.656441717791402,,-29.687500000000007
1,VEDL,02-Jan-2020,30-Jan-2020,CE,150,9.7,12.7,9.4,12.3,12.15,12.3,234,1319.79,91.29,521500,-77000,159.45,28,21.51219512195119,31.855672671999187,,26.80412371134022,,3.8461538461538494
2,VEDL,03-Jan-2020,30-Jan-2020,CE,150,12.2,13.5,10.5,11.0,10.65,11.0,149,842.94,60.69,437500,-84000,157.75,27,19.022727272727273,-13.086808287437556,,-9.836065573770487,,91.37931034482759
3,VEDL,06-Jan-2020,30-Jan-2020,CE,150,9.95,10.75,6.5,6.65,6.7,6.65,256,1412.66,68.66,539000,101500,150.55,24,1.9849624060150783,-858.3419421487406,18.398087684673033,-33.16582914572864,0.10788960461737003,-21.590909090909093
4,VEDL,07-Jan-2020,30-Jan-2020,CE,150,7.85,10.3,7.85,9.7,9.85,9.7,376,2094.47,120.47,490000,-49000,156.0,23,14.226804123711341,86.04772801569112,14.173294933564515,23.56687898089172,1.0037753529011881,-28.409090909090917
5,VEDL,08-Jan-2020,30-Jan-2020,CE,150,7.4,11.35,7.4,10.95,10.35,10.95,129,721.58,44.33,490000,0,157.35,22,14.767123287671224,3.6589331140140477,11.744831267484564,47.972972972972954,1.2573295393824722,4.0000000000000036
6,VEDL,09-Jan-2020,30-Jan-2020,CE,150,12.3,12.3,11.1,11.35,11.35,11.35,92,520.58,37.58,458500,-31500,158.15,21,15.079295154185033,2.070201977757367,10.326296605799214,-7.723577235772367,1.4602810407088782,-18.867924528301888
7,VEDL,10-Jan-2020,30-Jan-2020,CE,150,10.9,15.8,10.9,12.65,12.45,12.65,440,2512.88,202.88,402500,-56000,159.95,20,15.73122529644267,4.144179045004581,14.691074188522533,16.05504587155963,1.070801569345607,-2.500000000000002
8,VEDL,13-Jan-2020,30-Jan-2020,CE,150,13.05,13.65,11.1,12.85,12.7,12.85,234,1332.6,104.1,413000,10500,160.45,17,13.824902723735393,-13.78904872462062,15.192547912766308,-1.5325670498084372,0.909979208432729,-34.210526315789465
9,VEDL,14-Jan-2020,30-Jan-2020,CE,150,14.7,17.25,14.7,16.45,16.4,16.45,344,2000.09,194.09,864500,451500,165.0,16,14.589665653495441,5.241812581063661,14.878474391454366,11.904761904761905,0.9805888204421814,-11.538461538461549
10,VEDL,15-Jan-2020,30-Jan-2020,CE,150,13.7,16.95,13.7,16.7,16.6,16.7,120,697.72,67.72,826000,-38500,164.65,15,13.158682634730546,-10.874819755801472,14.71526455789117,21.897810218978105,0.8942199158542553,-15.999999999999998
11,VEDL,16-Jan-2020,30-Jan-2020,CE,150,14.6,14.6,12.05,13.4,13.5,13.4,199,1136.16,91.41,332500,-493500,162.25,14,12.798507462686567,-2.8141966795272992,13.85775033732046,-8.219178082191776,0.923563143450403,21.73913043478261
