"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Jan-2018","22-Feb-2018","CE","25000","950","950","940","940","940","940","2","20.76",".76","1240","80","25318.1"
"BANKNIFTY","02-Jan-2018","22-Feb-2018","CE","25000","800","800","800","800","800","800","6","61.92","1.92","1440","200","25338.25"
"BANKNIFTY","03-Jan-2018","22-Feb-2018","CE","25000","760","854","760","850","850","850","17","175.69","5.69","2000","560","25318.6"
"BANKNIFTY","04-Jan-2018","22-Feb-2018","CE","25000","840","870","840","865","870","865","18","186.15","6.15","2240","240","25462.6"
"BANKNIFTY","05-Jan-2018","22-Feb-2018","CE","25000","900","940","900","940","940","940","38","393.94","13.94","3240","1000","25601.85"
"BANKNIFTY","08-Jan-2018","22-Feb-2018","CE","25000","990","1018","950","1000","1000","1000","25","260.05","10.05","4000","760","25676.1"
"BANKNIFTY","09-Jan-2018","22-Feb-2018","CE","25000","960","1000","960","1000","1000","1000","123","1278.08","48.08","8920","4920","25703.8"
"BANKNIFTY","10-Jan-2018","22-Feb-2018","CE","25000","924.2","937","924.2","930","930","930","5","51.86","1.86","9040","120","25617.3"
"BANKNIFTY","11-Jan-2018","22-Feb-2018","CE","25000","919.95","920","919.95","920","920","920","2","20.74",".74","9080","40","25660.9"
"BANKNIFTY","12-Jan-2018","22-Feb-2018","CE","25000","980","980","880","950","950","950","49","508.43","18.43","9560","480","25749.05"
"BANKNIFTY","15-Jan-2018","22-Feb-2018","CE","25000","1024.95","1210","1024.95","1210","1210","1210","15","157.05","7.05","9400","-160","26069.2"
"BANKNIFTY","16-Jan-2018","22-Feb-2018","CE","25000","1140","1150","1140","1142","1150","1142","5","52.28","2.28","9600","200","25974.9"
"BANKNIFTY","17-Jan-2018","22-Feb-2018","CE","25000","1190","1400","1180","1400","1400","1400","131","1374.18","64.18","14200","4600","26289.1"
"BANKNIFTY","18-Jan-2018","22-Feb-2018","CE","25000","1618","1825","1618","1745.05","1745.05","1745.05","102","1092.05","72.05","15400","1200","26537.4"
"BANKNIFTY","19-Jan-2018","22-Feb-2018","CE","25000","1693","1813.85","1693","1813.85","1813.85","1813.85","35","374.38","24.38","14960","-440","26909.5"
"BANKNIFTY","22-Jan-2018","22-Feb-2018","CE","25000","2000","2117.95","1910","2055.45","2065","2055.45","301","3251.1","241.1","24240","9280","27041.2"
"BANKNIFTY","23-Jan-2018","22-Feb-2018","CE","25000","2139.15","2415.8","2125","2390","2390","2390","71","773.93","63.93","23920","-320","27390.6"
"BANKNIFTY","24-Jan-2018","22-Feb-2018","CE","25000","2475","2501.35","2293.85","2491.85","2501.35","2491.85","2693","29469.3","2539.3","129360","105440","27398.55"
"BANKNIFTY","25-Jan-2018","22-Feb-2018","CE","25000","2410","2452","2169","2341.35","2318.9","2341.35","901","9853.72","843.72","143920","14560","27445.65"
"BANKNIFTY","29-Jan-2018","22-Feb-2018","CE","25000","2379.8","2600.95","2379.8","2497.45","2500","2497.45","160","1761.04","161.04","143400","-520","27498.45"
"BANKNIFTY","30-Jan-2018","22-Feb-2018","CE","25000","2400","2448","2325.3","2354.65","2342.2","2354.65","73","799.49","69.49","142560","-840","27269.05"
"BANKNIFTY","31-Jan-2018","22-Feb-2018","CE","25000","2334","2533.2","2216.2","2450.05","2428.75","2450.05","140","1534.66","134.66","142600","40","27379.45"
"BANKNIFTY","01-Feb-2018","22-Feb-2018","CE","25000","2528.15","2629.7","2120","2211.8","2181.8","2211.8","1377","15166.09","1396.09","100920","-41680","27220.7"
"BANKNIFTY","02-Feb-2018","22-Feb-2018","CE","25000","1891.65","1891.65","1520","1541.2","1520","1541.2","227","2429.31","159.31","97680","-3240","26451.15"
"BANKNIFTY","05-Feb-2018","22-Feb-2018","CE","25000","1190","1400","1190","1314.55","1320","1314.55","1917","20167.02","997.02","59080","-38600","26098.75"
"BANKNIFTY","06-Feb-2018","22-Feb-2018","CE","25000","619","1375","540","1106.8","1172.25","1106.8","5950","61367.71","1867.71","100040","40960","25811.3"
"BANKNIFTY","07-Feb-2018","22-Feb-2018","CE","25000","1200.05","1216","875","910.6","907.9","910.6","722","7516.52","296.52","94280","-5760","25670"
"BANKNIFTY","08-Feb-2018","22-Feb-2018","CE","25000","900.05","1248.8","895","1075.45","1082.25","1075.45","595","6207.75","257.75","102040","7760","25920.65"
"BANKNIFTY","09-Feb-2018","22-Feb-2018","CE","25000","799.9","878","718.95","790.2","795","790.2","2174","22415.96","675.96","116880","14840","25463.65"
"BANKNIFTY","12-Feb-2018","22-Feb-2018","CE","25000","821.6","890.95","761","848.3","860","848.3","901","9311.27","301.27","108680","-8200","-"
"BANKNIFTY","14-Feb-2018","22-Feb-2018","CE","25000","830","868.65","465.8","508.75","496.05","508.75","2626","26859.72","599.72","137800","29120","25341.25"
"BANKNIFTY","15-Feb-2018","22-Feb-2018","CE","25000","520","683","452.75","535.45","560.25","535.45","4118","42125.15","945.15","143720","5920","-"
"BANKNIFTY","16-Feb-2018","22-Feb-2018","CE","25000","605","637.75","317.95","344.8","342.5","344.8","5980","60777.32","977.32","196680","52960","-"
"BANKNIFTY","19-Feb-2018","22-Feb-2018","CE","25000","417.1","433.1","112","196.65","210.3","196.65","142769","1437957.13","10267.13","752880","556200","-"
"BANKNIFTY","20-Feb-2018","22-Feb-2018","CE","25000","172.65","244.7","76","90.75","80","90.75","165643","1667489.9","11059.9","604760","-148120","-"
"BANKNIFTY","21-Feb-2018","22-Feb-2018","CE","25000","110","122.75","42.3","74","62.2","74","323141","3241296.64","9886.64","769640","164880","24936.7"
"BANKNIFTY","22-Feb-2018","22-Feb-2018","CE","25000","15","38.85","0.05","3.5","0.05","0","856912","8573671.99","4551.99","1313640","544000","-"
