"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","02-May-2018","28-Jun-2018","PE","25000","330","372.95","313.2","358.05","345.6","358.05","149","1510.2","20.2","8680","1760","25568.3"
"BANKNIFTY","03-May-2018","28-Jun-2018","PE","25000","372.6","382.9","309","313.3","315","313.3","37","375.07","5.07","8680","0","25605.25"
"BANKNIFTY","04-May-2018","28-Jun-2018","PE","25000","325.1","338","309.9","310","309.9","310","22","222.82","2.82","8880","200","25645.4"
"BANKNIFTY","07-May-2018","28-Jun-2018","PE","25000","305","307.75","272.5","289","278","289","109","1102.51","12.51","12000","3120","25852.05"
"BANKNIFTY","08-May-2018","28-Jun-2018","PE","25000","241.5","290","241.5","250.15","250","250.15","146","1474.9","14.9","14280","2280","26090.5"
"BANKNIFTY","09-May-2018","28-Jun-2018","PE","25000","247.5","249","220","230.7","230.7","230.7","79","797.41","7.41","14720","440","26154.45"
"BANKNIFTY","10-May-2018","28-Jun-2018","PE","25000","211","232.25","203","226.85","232.25","226.85","79","796.79","6.79","15400","680","-"
"BANKNIFTY","11-May-2018","28-Jun-2018","PE","25000","222","222","160","167.35","161.55","167.35","286","2881.37","21.37","15800","400","26413.15"
"BANKNIFTY","14-May-2018","28-Jun-2018","PE","25000","160","175","134","160.75","165","160.75","413","4155.25","25.25","20680","4880","26475.15"
"BANKNIFTY","15-May-2018","28-Jun-2018","PE","25000","160","160","84.5","138.05","140","138.05","690","6930.89","30.89","21000","320","26474"
"BANKNIFTY","16-May-2018","28-Jun-2018","PE","25000","149.3","203","142","190","182.55","190","680","6848.35","48.35","27880","6880","26182.15"
"BANKNIFTY","17-May-2018","28-Jun-2018","PE","25000","200","260","160.8","204.3","229.3","204.3","1124","11324.06","84.06","43280","15400","26073.8"
"BANKNIFTY","18-May-2018","28-Jun-2018","PE","25000","212.1","242.65","194.2","230.25","215.2","230.25","1287","12984.5","114.5","62000","18720","25875.6"
"BANKNIFTY","21-May-2018","28-Jun-2018","PE","25000","213.85","251.5","183","227.25","226.5","227.25","1203","12139.02","109.02","63800","1800","25750.8"
"BANKNIFTY","22-May-2018","28-Jun-2018","PE","25000","210","236.1","180.75","196.2","194","196.2","861","8680.4","70.4","65280","1480","25777.7"
"BANKNIFTY","23-May-2018","28-Jun-2018","PE","25000","207.3","255","177.9","228.45","254.85","228.45","1533","15453.96","123.96","71240","5960","25684.95"
"BANKNIFTY","24-May-2018","28-Jun-2018","PE","25000","210","230","144.6","154.45","152.5","154.45","4242","42731.47","311.47","99440","28200","26016.8"
"BANKNIFTY","25-May-2018","28-Jun-2018","PE","25000","148.45","148.45","89.2","95.9","90.1","95.9","7786","78202.93","342.93","182560","83120","26273.55"
"BANKNIFTY","28-May-2018","28-Jun-2018","PE","25000","84.5","86.2","55.15","63.25","69.05","63.25","3070","30784.14","84.14","202280","19720","26614.25"
"BANKNIFTY","29-May-2018","28-Jun-2018","PE","25000","69","101.05","60.2","96.5","99.7","96.5","3268","32785.75","105.75","221080","18800","26254.8"
"BANKNIFTY","30-May-2018","28-Jun-2018","PE","25000","138.8","138.8","71.05","90.35","90","90.35","11430","114752.17","452.17","296640","75560","26327.8"
"BANKNIFTY","31-May-2018","28-Jun-2018","PE","25000","67.8","80.6","45.9","53.1","54","53.1","6943","69605.05","175.05","321000","24360","26956.2"
"BANKNIFTY","01-Jun-2018","28-Jun-2018","PE","25000","50.95","61.25","45","55.4","53.8","55.4","5213","52240.73","110.73","348320","27320","26692.8"
"BANKNIFTY","04-Jun-2018","28-Jun-2018","PE","25000","41.05","112","40","103.85","100","103.85","8049","80762.22","272.22","370200","21880","-"
"BANKNIFTY","05-Jun-2018","28-Jun-2018","PE","25000","111.6","114.25","73.05","76.6","78","76.6","10498","105358.6","378.6","384080","13880","-"
"BANKNIFTY","06-Jun-2018","28-Jun-2018","PE","25000","76.1","81","46.95","52.85","60","52.85","11954","119845.03","305.03","437720","53640","26367.6"
"BANKNIFTY","07-Jun-2018","28-Jun-2018","PE","25000","35.15","42.1","25.75","37.15","38","37.15","12345","123605.73","155.73","313280","-124440","-"
"BANKNIFTY","08-Jun-2018","28-Jun-2018","PE","25000","44","60.75","40.5","43.3","44","43.3","6516","65290.97","130.97","361360","48080","26451.35"
"BANKNIFTY","11-Jun-2018","28-Jun-2018","PE","25000","39.45","39.45","25","33.4","34","33.4","3289","32928.31","38.31","364280","2920","-"
"BANKNIFTY","12-Jun-2018","28-Jun-2018","PE","25000","30.05","34.95","21.15","23.15","22.45","23.15","3509","35127.84","37.84","381200","16920","26607.1"
"BANKNIFTY","13-Jun-2018","28-Jun-2018","PE","25000","18.1","23.1","17","19.55","19","19.55","3652","36549.33","29.33","352480","-28720","26642.8"
"BANKNIFTY","14-Jun-2018","28-Jun-2018","PE","25000","20","20.8","12.75","13.8","14.35","13.8","3662","36645.71","25.71","335600","-16880","-"
"BANKNIFTY","15-Jun-2018","28-Jun-2018","PE","25000","13.15","22","10.75","16.15","15.9","16.15","4168","41707.45","27.45","335680","80","-"
"BANKNIFTY","18-Jun-2018","28-Jun-2018","PE","25000","15.9","18.55","12.1","13.6","14","13.6","2694","26955.65","15.65","345880","10200","-"
"BANKNIFTY","19-Jun-2018","28-Jun-2018","PE","25000","26.95","26.95","14","18.9","18.55","18.9","12087","120959.92","89.92","317320","-28560","26265.75"
"BANKNIFTY","20-Jun-2018","28-Jun-2018","PE","25000","12.85","14.05","6.65","7.15","7.3","7.15","6204","62062.59","22.59","278960","-38360","26557.7"
"BANKNIFTY","21-Jun-2018","28-Jun-2018","PE","25000","5.9","8.7","4.35","6.85","6.7","6.85","12283","122864.38","34.38","328320","49360","26496.95"
"BANKNIFTY","22-Jun-2018","28-Jun-2018","PE","25000","5","6.65","4.35","4.95","4.65","4.95","17476","174797.22","37.22","428920","100600","26766.85"
"BANKNIFTY","25-Jun-2018","28-Jun-2018","PE","25000","3.05","4.25","2.25","3.9","3.95","3.9","12488","124898.32","18.32","536560","107640","-"
"BANKNIFTY","26-Jun-2018","28-Jun-2018","PE","25000","4.35","4.35","1.65","2.3","1.65","2.3","9886","98870.57","10.57","430080","-106480","26601.7"
"BANKNIFTY","27-Jun-2018","28-Jun-2018","PE","25000","1.15","1.95","1","1.7","1.8","1.7","9993","99935.82","5.82","408480","-21600","26423.4"
"BANKNIFTY","28-Jun-2018","28-Jun-2018","PE","25000","0.4","0.4","0.05","0.15","0.05","0","4479","44790.31",".31","399760","-8720","26324.6"
