"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Jul-2019","25-Jul-2019","PE","32000","851.75","864.05","730.5","768.9","779.55","768.9","314","2059.26","49.66","44220","20","31372.2"
"BANKNIFTY","02-Jul-2019","25-Jul-2019","PE","32000","800","988","782.5","810.2","831.5","810.2","268","1761.89","46.69","43960","-260","-"
"BANKNIFTY","03-Jul-2019","25-Jul-2019","PE","32000","810","850","685","725.35","721","725.35","623","4081.1","93.9","43140","-820","31382.3"
"BANKNIFTY","04-Jul-2019","25-Jul-2019","PE","32000","693.75","722","600","705.5","722","705.5","1079","7045.91","140.31","46900","3760","-"
"BANKNIFTY","05-Jul-2019","25-Jul-2019","PE","32000","681","798","550","683.55","683.2","683.55","1293","8447.54","172.34","45760","-1140","31475.8"
"BANKNIFTY","08-Jul-2019","25-Jul-2019","PE","32000","798","1400","798","1329.85","1321","1329.85","1136","7525.87","255.47","40440","-5320","-"
"BANKNIFTY","09-Jul-2019","25-Jul-2019","PE","32000","1450","1548","1280.8","1369.75","1370","1369.75","419","2801.88","120.28","39540","-900","-"
"BANKNIFTY","10-Jul-2019","25-Jul-2019","PE","32000","1250","1551.5","1247.9","1483.75","1483.65","1483.75","203","1356.82","57.62","40380","840","30522.1"
"BANKNIFTY","11-Jul-2019","25-Jul-2019","PE","32000","1350","1389.8","1186","1302.7","1305.8","1302.7","627","4175.2","162.4","42980","2600","-"
"BANKNIFTY","12-Jul-2019","25-Jul-2019","PE","32000","1285.1","1424.15","1170","1382.9","1373.05","1382.9","357","2379.23","94.43","42760","-220","-"
"BANKNIFTY","15-Jul-2019","25-Jul-2019","PE","32000","1397.7","1668.1","1374.25","1535.65","1510.55","1535.65","60","402.11","18.11","42920","160","-"
"BANKNIFTY","16-Jul-2019","25-Jul-2019","PE","32000","1540","1540","1340","1400.1","1395","1400.1","210","1403.03","59.03","43800","880","-"
"BANKNIFTY","17-Jul-2019","25-Jul-2019","PE","32000","1393","1393.65","1207.4","1243.05","1235","1243.05","353","2348.21","89.01","43320","-480","30735.5"
"BANKNIFTY","18-Jul-2019","25-Jul-2019","PE","32000","1247.2","1550","1247.2","1527.1","1530.7","1527.1","366","2445.39","102.99","43860","540","-"
"BANKNIFTY","19-Jul-2019","25-Jul-2019","PE","32000","1570","2250","1570","2196.55","2189.3","2196.55","277","1876.34","103.54","42820","-1040","-"
"BANKNIFTY","22-Jul-2019","25-Jul-2019","PE","32000","2566.35","2685","2520.1","2595.4","2607.15","2595.4","145","1004.43","76.43","41580","-1240","-"
"BANKNIFTY","23-Jul-2019","25-Jul-2019","PE","32000","2720","2834.8","2568","2790.6","2794.85","2790.6","406","2818.1","219.7","37740","-3840","-"
"BANKNIFTY","24-Jul-2019","25-Jul-2019","PE","32000","2730","3033","2730","3007.25","3010.85","3007.25","699","4891.92","418.32","27120","-10620","28952.25"
"BANKNIFTY","25-Jul-2019","25-Jul-2019","PE","32000","2900","3042.85","2750","2952.65","2932","0","1441","10063.13","840.73","1060","-26060","29043.05"
