"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","03-Jan-2022","24-Feb-2022","CE","36000","1201.05","1698.75","1150.25","1652.95","1698.75","1652.95","1580","14763.51","543.51","23325","1225","36421.9"
"BANKNIFTY","04-Jan-2022","24-Feb-2022","CE","36000","1646.15","1968.4","1623.9","1890.8","1886.25","1890.8","743","7026.58","339.58","22500","-825","-"
"BANKNIFTY","05-Jan-2022","24-Feb-2022","CE","36000","1869.95","2630","1850","2486.2","2467","2486.2","842","8036.21","458.21","20675","-1825","37695.9"
"BANKNIFTY","06-Jan-2022","24-Feb-2022","CE","36000","2259","2571.5","2050.05","2361.65","2350","2361.65","223","2133.68","126.68","19550","-1125","37490.25"
"BANKNIFTY","07-Jan-2022","24-Feb-2022","CE","36000","2548.8","2839.95","2310","2532.7","2528.85","2532.7","128","1235.01","83.01","19150","-400","37739.6"
"BANKNIFTY","10-Jan-2022","24-Feb-2022","CE","36000","2865","3015.15","2730","2972.65","3015.15","2972.65","115","1117.2","82.2","19000","-150","38347.9"
"BANKNIFTY","11-Jan-2022","24-Feb-2022","CE","36000","2970","3130","2840.1","3092.5","3090","3092.5","94","917.13","71.13","18350","-650","-"
"BANKNIFTY","12-Jan-2022","24-Feb-2022","CE","36000","3283.2","3400","3250","3325","3325","3437.45","75","737.25","62.25","18325","-25","38727.55"
"BANKNIFTY","13-Jan-2022","24-Feb-2022","CE","36000","3199.8","3211.05","3020","3058.05","3035.3","3058.05","65","635.36","50.36","18500","175","-"
"BANKNIFTY","14-Jan-2022","24-Feb-2022","CE","36000","2810","3030","2711.2","3022.5","3030","3022.5","21","204.01","15.01","18600","100","-"
"BANKNIFTY","17-Jan-2022","24-Feb-2022","CE","36000","2914.7","3110.4","2830","2898.6","2898.6","2898.6","35","340.76","25.76","19025","425","-"
"BANKNIFTY","18-Jan-2022","24-Feb-2022","CE","36000","2902.25","3341.15","2582.15","2785.15","2824.75","2785.15","96","937.67","73.67","19150","125","-"
"BANKNIFTY","19-Jan-2022","24-Feb-2022","CE","36000","2700","2889.1","2540","2722.05","2693.75","2722.05","89","859.98","58.98","19125","-25","38041.35"
"BANKNIFTY","20-Jan-2022","24-Feb-2022","CE","36000","2745","2770","2369","2578.85","2543.7","2578.85","142","1367.3","89.3","19425","300","37850.85"
