"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","20-May-2022","23-Jun-2022","PE","36000","0","0","0","2960.15","0","2272.25","0","0","0","0","0","-"
"BANKNIFTY","23-May-2022","23-Jun-2022","PE","36000","0","0","0","2960.15","0","2244.25","0","0","0","0","0","34247.6"
"BANKNIFTY","24-May-2022","23-Jun-2022","PE","36000","0","0","0","2960.15","0","2200.6","0","0","0","0","0","-"
"BANKNIFTY","25-May-2022","23-Jun-2022","PE","36000","0","0","0","2960.15","0","2149.35","0","0","0","0","0","34339.5"
"BANKNIFTY","26-May-2022","23-Jun-2022","PE","36000","0","0","0","2960.15","0","1659.4","0","0","0","0","0","-"
"BANKNIFTY","27-May-2022","23-Jun-2022","PE","36000","0","0","0","2960.15","0","1353.85","0","0","0","0","0","-"
"BANKNIFTY","30-May-2022","23-Jun-2022","PE","36000","850.15","911.55","815","891.65","876.6","891.65","18","165.95","3.95","225","225","-"
"BANKNIFTY","31-May-2022","23-Jun-2022","PE","36000","951.6","1020.6","894.55","1020.55","1020.5","1020.55","16","147.9","3.9","125","-100","-"
"BANKNIFTY","01-Jun-2022","23-Jun-2022","PE","36000","1050.05","1150","1020","1102.15","1102.15","1102.15","6","55.6","1.6","125","0","35620.8"
"BANKNIFTY","02-Jun-2022","23-Jun-2022","PE","36000","1000","1044.9","862.3","864.55","866.75","864.55","7","64.68","1.68","200","75","35613.65"
"BANKNIFTY","03-Jun-2022","23-Jun-2022","PE","36000","731.45","1110","731.45","1050.05","1050","1050.05","73","672.26","15.26","825","625","-"
"BANKNIFTY","06-Jun-2022","23-Jun-2022","PE","36000","1050.05","1130.7","1018.15","1050.3","1050.6","1050.3","18","166.75","4.75","825","0","-"
"BANKNIFTY","07-Jun-2022","23-Jun-2022","PE","36000","1219.05","1362.65","1174.5","1229.75","1210","1229.75","18","167.59","5.59","900","75","34996"
"BANKNIFTY","08-Jun-2022","23-Jun-2022","PE","36000","1229.4","1259.7","925","1244.7","1257.25","1244.7","189","1749.81","48.81","3275","2375","34946.15"
"BANKNIFTY","09-Jun-2022","23-Jun-2022","PE","36000","1355.85","1401","1035","1079.85","1054.75","1079.85","818","7597.49","235.49","19200","15925","35085.45"
"BANKNIFTY","10-Jun-2022","23-Jun-2022","PE","36000","1357.45","1683.1","1347.05","1565.3","1560.55","1565.3","548","5138.93","206.93","18875","-325","-"
"BANKNIFTY","13-Jun-2022","23-Jun-2022","PE","36000","2318.75","2777.55","2318.75","2659.2","2560.85","2659.2","225","2170.72","145.72","15875","-3000","33405.85"
"BANKNIFTY","14-Jun-2022","23-Jun-2022","PE","36000","2631.95","2780","2413.55","2703.15","2690.9","2703.15","31","299.45","20.45","15950","75","-"
"BANKNIFTY","15-Jun-2022","23-Jun-2022","PE","36000","2600","2660","2450","2620.8","2619.85","2620.8","30","289.22","19.22","15850","-100","33339"
"BANKNIFTY","16-Jun-2022","23-Jun-2022","PE","36000","2320","3421.2","2263.6","3351.75","3421.2","3351.75","850","8307.48","657.48","15700","-150","-"
"BANKNIFTY","17-Jun-2022","23-Jun-2022","PE","36000","3622","3622","3173.65","3234.35","3173.8","3234.35","83","815.09","68.09","15325","-375","-"
"BANKNIFTY","20-Jun-2022","23-Jun-2022","PE","36000","3200.9","3500","3160","3312.35","3287.6","3312.35","65","638.67","53.67","14625","-700","32684.8"
"BANKNIFTY","21-Jun-2022","23-Jun-2022","PE","36000","3100","3153.3","2434.95","2814.35","2821","2814.35","160","1552.85","112.85","13275","-1350","33191.75"
"BANKNIFTY","22-Jun-2022","23-Jun-2022","PE","36000","3050","3225","3030","3200.35","3220","3200.35","123","1202.47","95.47","11300","-1975","32845.3"
"BANKNIFTY","23-Jun-2022","23-Jun-2022","PE","36000","2990","3233.55","2577","2857","2880","33135","483","4684.21","337.21","6750","-4550","-"
