"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Jan-2021","25-Feb-2021","PE","30000","742.8","800","700.15","721.15","720","721.15","225","1729.16","41.66","7675","2100","31225.85"
"BANKNIFTY","04-Jan-2021","25-Feb-2021","PE","30000","675","868.2","628.6","721.35","700","721.35","728","5592.51","132.51","12725","5050","31212.45"
"BANKNIFTY","05-Jan-2021","25-Feb-2021","PE","30000","800","825.1","584.9","594.9","600.95","594.9","444","3403.17","73.17","14325","1600","-"
"BANKNIFTY","06-Jan-2021","25-Feb-2021","PE","30000","575","644.45","525.9","573.7","594","573.7","491","3751.89","69.39","17100","2775","-"
"BANKNIFTY","07-Jan-2021","25-Feb-2021","PE","30000","505","527.8","470","507.15","504.95","507.15","371","2828.77","46.27","16225","-875","31956"
"BANKNIFTY","08-Jan-2021","25-Feb-2021","PE","30000","420.05","490.55","420","474.6","475","474.6","548","4173.18","63.18","16775","550","-"
"BANKNIFTY","11-Jan-2021","25-Feb-2021","PE","30000","450","597.95","425","537.5","519.3","537.5","524","3999.17","69.17","20400","3625","31998.9"
"BANKNIFTY","12-Jan-2021","25-Feb-2021","PE","30000","598.95","608","467.95","482.8","473","482.8","603","4599.55","77.05","23225","2825","32339"
"BANKNIFTY","13-Jan-2021","25-Feb-2021","PE","30000","472.3","550","430","457.9","460.35","457.9","827","6298.89","96.39","22750","-475","-"
"BANKNIFTY","14-Jan-2021","25-Feb-2021","PE","30000","449.05","491.8","420","437.85","424.05","437.85","675","5137.38","74.88","25625","2875","32519.75"
"BANKNIFTY","15-Jan-2021","25-Feb-2021","PE","30000","465.15","565.25","450","506.25","498","506.25","688","5248.3","88.3","27350","1725","32246.8"
"BANKNIFTY","18-Jan-2021","25-Feb-2021","PE","30000","507.65","649.9","460","615.95","640","615.95","1008","7699.68","139.68","34250","6900","-"
"BANKNIFTY","19-Jan-2021","25-Feb-2021","PE","30000","550.5","587.3","380.5","394.65","388","394.65","1738","13239.83","204.83","42800","8550","32424.85"
"BANKNIFTY","20-Jan-2021","25-Feb-2021","PE","30000","398","417.95","300","307.35","324","307.35","1216","9222.66","102.66","46650","3850","32543.7"
"BANKNIFTY","21-Jan-2021","25-Feb-2021","PE","30000","254.45","421.9","228.65","361.4","331.45","361.4","3121","23630.58","223.08","69875","23225","32186.9"
"BANKNIFTY","22-Jan-2021","25-Feb-2021","PE","30000","396.95","669.5","379.95","646.65","650.4","646.65","7382","56380.22","1015.22","84750","14875","31167.25"
"BANKNIFTY","25-Jan-2021","25-Feb-2021","PE","30000","559.9","732.75","500.35","619.25","622.65","619.25","5519","42210.89","818.39","96650","11900","31198.4"
"BANKNIFTY","27-Jan-2021","25-Feb-2021","PE","30000","643","1060.25","611.9","973.2","975.5","973.2","7912","61035.41","1695.41","104150","7500","30284.55"
"BANKNIFTY","28-Jan-2021","25-Feb-2021","PE","30000","1247.7","1305","855","885.5","886.9","885.5","15916","123503.39","4133.39","131675","27525","30358.3"
"BANKNIFTY","29-Jan-2021","25-Feb-2021","PE","30000","703.65","952","593.25","761.7","729.45","761.7","17922","137914.95","3499.95","142825","11150","30565.5"
"BANKNIFTY","01-Feb-2021","25-Feb-2021","PE","30000","595.6","649","125","137.8","131.6","137.8","74387","563745.42","5842.92","187000","44175","-"
"BANKNIFTY","02-Feb-2021","25-Feb-2021","PE","30000","120","120","71","80.45","81.95","80.45","17359","130592.79","400.29","191925","4925","34267.9"
"BANKNIFTY","03-Feb-2021","25-Feb-2021","PE","30000","64.25","94.55","64.25","74","70","74","9009","67742.08","174.58","174350","-17575","-"
"BANKNIFTY","04-Feb-2021","25-Feb-2021","PE","30000","70","85.95","50.55","56.25","53.8","56.25","9535","71651.86","139.36","153775","-20575","35344.8"
"BANKNIFTY","05-Feb-2021","25-Feb-2021","PE","30000","54.9","77.65","50","62.55","58.55","62.55","11850","89072","197","146500","-7275","35654.5"
"BANKNIFTY","08-Feb-2021","25-Feb-2021","PE","30000","64.95","64.95","40","48.4","40","48.4","5362","40285.88","70.88","143850","-2650","-"
"BANKNIFTY","09-Feb-2021","25-Feb-2021","PE","30000","49.95","52","30.75","41.95","45","41.95","2584","19405.48","25.48","146925","3075","36056.5"
"BANKNIFTY","10-Feb-2021","25-Feb-2021","PE","30000","45","46.85","30.2","33.9","34","33.9","3838","28820.79","35.79","144350","-2575","-"
"BANKNIFTY","11-Feb-2021","25-Feb-2021","PE","30000","38.95","38.95","26.3","28","27.55","28","2077","15593.58","16.08","145025","675","-"
"BANKNIFTY","12-Feb-2021","25-Feb-2021","PE","30000","28.05","32.85","20.5","21.85","20.5","21.85","2707","20318.41","15.91","133325","-11700","-"
"BANKNIFTY","15-Feb-2021","25-Feb-2021","PE","30000","16.05","25","15.5","18.55","17.75","18.55","3438","25800.49","15.49","131175","-2150","-"
"BANKNIFTY","16-Feb-2021","25-Feb-2021","PE","30000","19.9","21.55","11.6","13.4","14","13.4","2227","16710.88","8.38","126350","-4825","-"
"BANKNIFTY","17-Feb-2021","25-Feb-2021","PE","30000","16.4","16.4","12","12.55","12","12.55","2529","18975.7","8.2","132750","6400","36910.95"
"BANKNIFTY","18-Feb-2021","25-Feb-2021","PE","30000","15","15","6","7.65","7.45","7.65","4413","33107.64","10.14","142200","9450","-"
"BANKNIFTY","19-Feb-2021","25-Feb-2021","PE","30000","9.7","28.2","5.75","7.05","5.9","7.05","15421","115689.26","31.76","168025","25825","-"
"BANKNIFTY","22-Feb-2021","25-Feb-2021","PE","30000","6.85","11.4","4.75","9.5","9.15","9.5","21676","162615.15","45.15","190575","22550","-"
"BANKNIFTY","23-Feb-2021","25-Feb-2021","PE","30000","8.8","9.25","3.05","4.2","3.4","4.2","33608","252110.52","50.52","161350","-29225","35116.95"
"BANKNIFTY","24-Feb-2021","25-Feb-2021","PE","30000","4.2","7","1.55","2.75","3","2.75","13043","97835.5","13","156825","-4525","36452.3"
"BANKNIFTY","25-Feb-2021","25-Feb-2021","PE","30000","1.45","1.95","0.05","0.25","0.05","36549","10512","78841.97","1.97","115350","-41475","36549"
