"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2021","    31297.30","    31384.35","    31188.25","    31225.85","      362816824","         4578.68"
"04-Jan-2021","    31485.15","    31489.60","    30893.65","    31212.45","      455777638","         7332.25"
"05-Jan-2021","    31041.10","    31767.65","    30935.55","    31722.25","      427039458","         9737.71"
"06-Jan-2021","    31839.95","    31982.30","    31548.15","    31797.90","      546145047","        10578.97"
"07-Jan-2021","    32129.80","    32177.40","    31911.50","    31956.00","      503480241","         9322.79"
"08-Jan-2021","    32298.05","    32298.05","    32002.95","    32084.20","      320076839","         7620.85"
"11-Jan-2021","    32280.30","    32288.45","    31836.95","    31998.90","      262149604","         6540.40"
"12-Jan-2021","    31835.05","    32397.95","    31725.85","    32339.00","      518130302","         9541.83"
"13-Jan-2021","    32546.60","    32683.50","    32148.25","    32574.65","      631806349","        11456.79"
"14-Jan-2021","    32526.70","    32718.95","    32442.35","    32519.75","      418770741","         8111.58"
"15-Jan-2021","    32508.90","    32544.80","    32044.35","    32246.80","      441548129","         7707.34"
"18-Jan-2021","    32275.15","    32441.50","    31650.90","    31811.75","      396843076","        10758.03"
"19-Jan-2021","    32082.90","    32464.95","    31863.95","    32424.85","      354794656","         7543.27"
"20-Jan-2021","    32388.95","    32607.45","    32322.90","    32543.70","      463373596","         7574.88"
"21-Jan-2021","    32732.80","    32842.30","    31985.55","    32186.90","      429690838","        10074.06"
"22-Jan-2021","    32088.00","    32131.40","    31119.90","    31167.25","      447189924","        10066.98"
"25-Jan-2021","    31507.15","    31697.55","    31013.65","    31198.40","      354685592","         9568.90"
"27-Jan-2021","    31236.25","    31287.05","    30165.65","    30284.55","      374955694","        10597.04"
"28-Jan-2021","    29812.30","    30464.40","    29687.70","    30358.30","      616602174","        15327.03"
"29-Jan-2021","    30700.65","    31111.95","    30254.55","    30565.50","      491234852","        12337.91"
"01-Feb-2021","    30976.35","    33305.30","    30906.45","    33089.05","      724603063","        18740.71"
"02-Feb-2021","    33589.05","    34652.50","    33583.15","    34267.90","      672200917","        18419.28"
"03-Feb-2021","    34555.60","    34908.05","    34011.90","    34758.45","      605204158","        14904.35"
"04-Feb-2021","    34548.90","    35413.15","    34238.90","    35344.80","      829671813","        17326.58"
"05-Feb-2021","    35634.95","    36615.20","    35545.00","    35654.50","      929584155","        24845.74"
"08-Feb-2021","    36073.85","    36466.45","    35872.25","    35983.65","      448653152","        10478.23"
"09-Feb-2021","    36058.80","    36477.15","    35636.85","    36056.50","      692481033","        11793.28"
"10-Feb-2021","    36042.35","    36227.20","    35428.15","    35783.10","      454605536","         9891.10"
"11-Feb-2021","    35687.25","    36009.45","    35573.30","    35752.10","      397926100","         7513.29"
"12-Feb-2021","    35736.60","    36322.80","    35700.25","    36108.90","      400613273","         9137.78"
"15-Feb-2021","    36501.40","    37449.90","    36405.10","    37306.25","      395960815","        10012.45"
"16-Feb-2021","    37492.60","    37708.75","    36762.75","    37098.40","      498415137","        13143.70"
"17-Feb-2021","    37041.95","    37331.45","    36764.25","    36910.95","      850487354","        13395.15"
"18-Feb-2021","    37088.75","    37108.75","    36367.45","    36587.00","      860331083","        13935.68"
"19-Feb-2021","    36371.55","    36656.20","    35584.60","    35841.60","     1057099488","        14997.82"
"22-Feb-2021","    35874.30","    36128.90","    35097.55","    35257.20","      558736003","        12053.67"
"23-Feb-2021","    35540.55","    35680.85","    34976.00","    35116.95","      495062997","        10218.79"
"24-Feb-2021","    35205.40","    36567.65","    35060.65","    36452.30","      272875395","         7573.80"
"25-Feb-2021","    36763.15","    37232.20","    36494.00","    36549.00","      455940302","        13087.65"
