"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","03-Jan-2022","24-Feb-2022","PE","35000","844.1","885.6","604.1","619.25","610.35","619.25","1138","10163.3","205.8","24700","4325","36421.9"
"BANKNIFTY","04-Jan-2022","24-Feb-2022","PE","35000","590.05","646.25","490","507.55","492.45","507.55","1096","9741.66","151.66","26050","1350","-"
"BANKNIFTY","05-Jan-2022","24-Feb-2022","PE","35000","495.1","496","359.4","394.1","387.7","394.1","1632","14449.38","169.38","26950","900","37695.9"
"BANKNIFTY","06-Jan-2022","24-Feb-2022","PE","35000","435","509.4","371.9","408.95","421","408.95","1397","12378.76","155.01","31675","4725","37490.25"
"BANKNIFTY","07-Jan-2022","24-Feb-2022","PE","35000","358.85","405.85","312","371.85","373.3","371.85","1810","15999.68","162.18","41400","9725","37739.6"
"BANKNIFTY","10-Jan-2022","24-Feb-2022","PE","35000","375","375","265","273.1","268","273.1","870","7676.66","64.16","44475","3075","38347.9"
"BANKNIFTY","11-Jan-2022","24-Feb-2022","PE","35000","298","312.15","252","265.15","260.45","265.15","860","7583.23","58.23","45725","1250","-"
"BANKNIFTY","12-Jan-2022","24-Feb-2022","PE","35000","209.65","264.05","209.65","217.65","221.6","217.65","1249","11001.15","72.4","45350","-375","38727.55"
"BANKNIFTY","13-Jan-2022","24-Feb-2022","PE","35000","220.05","243.75","202.4","228","230.85","228","842","7415.32","47.82","51600","6250","-"
"BANKNIFTY","14-Jan-2022","24-Feb-2022","PE","35000","268.5","288","222.9","233.9","243.8","233.9","925","8152.83","59.08","56600","5000","-"
"BANKNIFTY","17-Jan-2022","24-Feb-2022","PE","35000","235.95","252.75","205.15","238.95","240","238.95","1008","8880.02","60.02","68075","11475","-"
"BANKNIFTY","18-Jan-2022","24-Feb-2022","PE","35000","250","276.15","181","260.5","261.7","260.5","2099","18482.94","116.69","76650","8575","-"
"BANKNIFTY","19-Jan-2022","24-Feb-2022","PE","35000","299.85","336.25","230.15","264.85","262.45","264.85","2225","19628.78","160.03","85575","8925","38041.35"
"BANKNIFTY","20-Jan-2022","24-Feb-2022","PE","35000","273.75","326","247.5","268.6","256","268.6","2124","18734.55","149.55","97900","12325","37850.85"
"BANKNIFTY","21-Jan-2022","24-Feb-2022","PE","35000","324.05","430","304.25","340.25","310","340.25","4127","36488.62","377.37","114625","16725","-"
"BANKNIFTY","24-Jan-2022","24-Feb-2022","PE","35000","341.3","758","323.05","521.2","554.55","521.2","8891","78964.88","1168.63","127200","12575","-"
"BANKNIFTY","25-Jan-2022","24-Feb-2022","PE","35000","686.65","719.75","280.1","319.8","298.7","319.8","29459","260674.17","2907.92","219000","91800","37706.75"
"BANKNIFTY","27-Jan-2022","24-Feb-2022","PE","35000","448","469.3","252.7","268.7","257.3","268.7","16796","148431.92","1466.92","221425","2425","-"
"BANKNIFTY","28-Jan-2022","24-Feb-2022","PE","35000","237","322.9","195","285.65","282.75","285.65","23143","203929.18","1427.93","279475","58050","-"
"BANKNIFTY","31-Jan-2022","24-Feb-2022","PE","35000","228.5","294.3","200.15","220.4","225.55","220.4","18457","162584.22","1085.47","270275","-9200","-"
"BANKNIFTY","01-Feb-2022","24-Feb-2022","PE","35000","173.65","193.3","96.9","105.95","100.15","105.95","36790","323159.18","1246.68","269100","-1175","-"
"BANKNIFTY","02-Feb-2022","24-Feb-2022","PE","35000","85","85","48.2","50.25","49.45","50.25","15014","131596.3","223.8","262050","-7050","39330.5"
"BANKNIFTY","03-Feb-2022","24-Feb-2022","PE","35000","59.2","70.15","37.95","58.4","69","58.4","11078","97065.53","133.03","256225","-5825","-"
"BANKNIFTY","04-Feb-2022","24-Feb-2022","PE","35000","51.95","69.6","45.9","56.25","60.9","56.25","11375","99691.36","160.11","242550","-13675","-"
"BANKNIFTY","07-Feb-2022","24-Feb-2022","PE","35000","77.25","136","49.5","88.5","84.6","88.5","25590","224488.18","575.68","265850","23300","-"
"BANKNIFTY","08-Feb-2022","24-Feb-2022","PE","35000","79.85","171.15","67.35","74.1","77.9","74.1","34601","303756.24","997.49","314675","48825","-"
"BANKNIFTY","09-Feb-2022","24-Feb-2022","PE","35000","58.15","61.45","33.95","36.1","36.05","36.1","12683","111122.7","146.45","307475","-7200","-"
"BANKNIFTY","10-Feb-2022","24-Feb-2022","PE","35000","34","41.4","20.4","22.1","20.55","22.1","16281","142568.29","109.54","308550","1075","-"
"BANKNIFTY","11-Feb-2022","24-Feb-2022","PE","35000","23.1","41.95","20.1","29.4","33.9","29.4","18613","163011.93","148.18","299300","-9250","-"
"BANKNIFTY","14-Feb-2022","24-Feb-2022","PE","35000","59.4","229.2","59.25","194.65","226.5","194.65","84312","740806.81","3076.81","489900","190600","-"
"BANKNIFTY","15-Feb-2022","24-Feb-2022","PE","35000","225","225","43","47.85","47.95","47.85","84444","741407.48","2522.48","357600","-132300","-"
"BANKNIFTY","16-Feb-2022","24-Feb-2022","PE","35000","43.85","70.25","30.9","61.05","60.05","61.05","48220","422486.44","561.44","332950","-24650","37953.8"
"BANKNIFTY","17-Feb-2022","24-Feb-2022","PE","35000","49.85","90","36.95","70.1","72.7","70.1","99489","872091.24","1562.49","705700","372750","-"
"BANKNIFTY","18-Feb-2022","24-Feb-2022","PE","35000","52","95.65","44.65","60.45","53.1","60.45","445086","3901933.21","7430.71","832125","126425","-"
"BANKNIFTY","21-Feb-2022","24-Feb-2022","PE","35000","68.95","68.95","21.25","27.1","28.5","27.1","493666","4323608.15","4030.65","1127500","295375","-"
"BANKNIFTY","22-Feb-2022","24-Feb-2022","PE","35000","51.65","121.15","20.9","25.55","28.95","25.55","659646","5779557.85","7655.35","1295500","168000","-"
"BANKNIFTY","23-Feb-2022","24-Feb-2022","PE","35000","21.2","21.2","0.05","5.2","5.75","5.2","447405","3915592.39","798.64","1316250","20750","37392.05"
"BANKNIFTY","24-Feb-2022","24-Feb-2022","PE","35000","50.6","550","0.05","5.6","0.05","35228.1","3350152","29325095.28","11265.28","2014875","698625","-"
