Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ADANIENT,EQ,01-Oct-21,1468.1,1465,1468.75,1422.65,1455,1458.7,1448.65,2311858,3349081527,52821
ADANIENT,EQ,04-Oct-21,1458.7,1471,1531,1460.1,1523.05,1526.65,1501.48,3209302,4818691360,60941
ADANIENT,EQ,05-Oct-21,1526.65,1515,1557.85,1512.35,1526.55,1527.65,1539.11,2544835,3916781108,56806
ADANIENT,EQ,06-Oct-21,1527.65,1529.8,1541,1472,1477.5,1479.55,1502.57,1777998,2671565599,41715
ADANIENT,EQ,07-Oct-21,1479.55,1502.85,1535.75,1490,1518.1,1520.75,1520.12,1919106,2917269001,42020
ADANIENT,EQ,08-Oct-21,1520.75,1522,1569.45,1511.45,1546.85,1547.9,1541.89,2646112,4080016229,50847
ADANIENT,EQ,11-Oct-21,1547.9,1553,1563.7,1532.15,1539,1539.75,1548.23,1910095,2957264888,33254
ADANIENT,EQ,12-Oct-21,1539.75,1539,1566.9,1514.5,1552,1554.45,1542.33,1900749,2931585839,40498
ADANIENT,EQ,13-Oct-21,1554.45,1568.45,1608.3,1551.3,1569.5,1569.7,1579.52,3923958,6197971111,78302
ADANIENT,EQ,14-Oct-21,1569.7,1580,1656,1574.8,1642.6,1646.35,1624.79,5256882,8541339221,117810
ADANIENT,EQ,18-Oct-21,1646.35,1672.95,1672.95,1608.55,1613.9,1615.5,1629.93,3791222,6179409969,84729
ADANIENT,EQ,19-Oct-21,1615.5,1625.2,1637,1562.05,1571.15,1569.45,1599.95,1822638,2916122746,53397
ADANIENT,EQ,20-Oct-21,1569.45,1574,1607.35,1539.1,1585,1589.7,1579.93,2768997,4374819176,68151
ADANIENT,EQ,21-Oct-21,1589.7,1601.95,1626.85,1581.7,1589.5,1595.05,1602.41,3129269,5014360360,57040
ADANIENT,EQ,22-Oct-21,1595.05,1595.05,1608.8,1537,1542,1543,1580.51,2580699,4078817772,52698
ADANIENT,EQ,25-Oct-21,1543,1545,1551.4,1494.05,1523,1532.2,1527.81,2276050,3477381198,43393
ADANIENT,EQ,26-Oct-21,1532.2,1532,1557.25,1520.9,1542,1543.85,1547.15,1661783,2571033694,31739
ADANIENT,EQ,27-Oct-21,1543.85,1548,1581.15,1540,1564,1566.55,1565.53,2121282,3320922100,32684
ADANIENT,EQ,28-Oct-21,1566.55,1550,1566.9,1367.7,1397.85,1398.55,1449.36,7093354,10280836396,162981
ADANIENT,EQ,29-Oct-21,1398.55,1400,1454.8,1377.75,1424,1423.6,1421.46,3165141,4499106801,90428
ADANIENT,EQ,01-Nov-21,1423.6,1436,1457,1411.2,1457,1445.3,1437.16,1543436,2218166265,40840
ADANIENT,EQ,02-Nov-21,1445.3,1455,1489,1452.8,1471.95,1472.8,1474.49,1667692,2458989145,34589
ADANIENT,EQ,03-Nov-21,1472.8,1474,1501,1464.45,1485.9,1485.9,1482.16,1710819,2535699015,34186
ADANIENT,EQ,04-Nov-21,1485.9,1495,1511.5,1483,1487,1489.45,1494.15,272261,406797636.1,7764
ADANIENT,EQ,08-Nov-21,1489.45,1495,1575.15,1485.65,1575,1568.25,1541.82,2565017,3954792908,55182
