"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","14-Mar-2022","30-Jun-2022","PE","30000","0","0","0","675","675","470.75","0","0","0","1075","0","-"
"BANKNIFTY","15-Mar-2022","30-Jun-2022","PE","30000","0","0","0","675","675","504","0","0","0","1075","0","-"
"BANKNIFTY","16-Mar-2022","30-Jun-2022","PE","30000","521","531","475","475","475","475","24","183.02","3.02","1325","250","35748.25"
"BANKNIFTY","17-Mar-2022","30-Jun-2022","PE","30000","333","367.85","300","300","300","300","11","83.4",".9","1100","-225","-"
"BANKNIFTY","21-Mar-2022","30-Jun-2022","PE","30000","299.95","299.95","299.95","299.95","299.95","343.75","2","15.15",".15","1150","50","-"
"BANKNIFTY","22-Mar-2022","30-Jun-2022","PE","30000","300","439.95","250.05","300","300","300","21","159.19","1.69","1250","100","-"
"BANKNIFTY","23-Mar-2022","30-Jun-2022","PE","30000","300","300","266.05","299.8","300","299.8","7","53.02",".52","1375","125","-"
"BANKNIFTY","24-Mar-2022","30-Jun-2022","PE","30000","300","350","300","350","350","350","5","37.91",".41","1475","100","-"
"BANKNIFTY","25-Mar-2022","30-Jun-2022","PE","30000","355","486.55","350","350","350","385.65","16","121.54","1.54","1500","25","-"
"BANKNIFTY","28-Mar-2022","30-Jun-2022","PE","30000","410","410","410","410","410","331.95","1","7.6",".1","1525","25","-"
"BANKNIFTY","29-Mar-2022","30-Jun-2022","PE","30000","397.45","397.45","288","288.5","288","288.5","12","90.97",".97","1425","-100","-"
"BANKNIFTY","30-Mar-2022","30-Jun-2022","PE","30000","287.45","287.45","250","250","250","256.6","9","68.08",".58","1300","-125","36334.3"
"BANKNIFTY","31-Mar-2022","30-Jun-2022","PE","30000","273.55","273.55","182.3","195","195","245.75","28","211.64","1.64","1125","-175","-"
"BANKNIFTY","01-Apr-2022","30-Jun-2022","PE","30000","195","200","101","149.65","140.25","149.65","66","497.26","2.26","1675","550","-"
"BANKNIFTY","04-Apr-2022","30-Jun-2022","PE","30000","85","126","85","123.5","123.5","103.05","51","383.87","1.37","2300","625","-"
"BANKNIFTY","05-Apr-2022","30-Jun-2022","PE","30000","111.4","119","100","113.75","116","113.75","25","188.18",".68","2375","75","-"
"BANKNIFTY","06-Apr-2022","30-Jun-2022","PE","30000","114.4","125","114.4","125","125","125","64","481.95","1.95","3500","1125","37632.8"
"BANKNIFTY","07-Apr-2022","30-Jun-2022","PE","30000","118.4","120","104.5","119.65","120","119.65","47","353.88","1.38","4450","950","-"
"BANKNIFTY","08-Apr-2022","30-Jun-2022","PE","30000","120","120","99","100","99","100","21","158.06",".56","4675","225","-"
"BANKNIFTY","11-Apr-2022","30-Jun-2022","PE","30000","112","129.95","95","98.75","100","98.75","37","278.45",".95","5175","500","-"
"BANKNIFTY","12-Apr-2022","30-Jun-2022","PE","30000","99","104","85","91.5","91.5","91.5","27","203.15",".65","5250","75","-"
"BANKNIFTY","13-Apr-2022","30-Jun-2022","PE","30000","81.1","95","70","80","83","80","102","766.93","1.93","7175","1925","37463.4"
"BANKNIFTY","18-Apr-2022","30-Jun-2022","PE","30000","94.95","108.95","75.8","95.2","96","95.2","81","609.4","1.9","8150","975","-"
"BANKNIFTY","19-Apr-2022","30-Jun-2022","PE","30000","95.35","116.6","40.1","98.7","116.6","98.7","146","1097.98","2.98","9925","1775","-"
"BANKNIFTY","20-Apr-2022","30-Jun-2022","PE","30000","102","183.55","87.35","103.5","100","103.5","97","730.69","3.19","9375","-550","-"
"BANKNIFTY","21-Apr-2022","30-Jun-2022","PE","30000","96.95","98.6","72","75.7","72","75.7","28","210.6",".6","9550","175","36816.1"
"BANKNIFTY","22-Apr-2022","30-Jun-2022","PE","30000","85.8","107.95","70.25","104.3","107","104.3","174","1308.96","3.96","10750","1200","-"
"BANKNIFTY","25-Apr-2022","30-Jun-2022","PE","30000","125","140","96","110.85","104.25","110.85","500","3764.19","14.19","16550","5800","-"
"BANKNIFTY","26-Apr-2022","30-Jun-2022","PE","30000","104.2","104.2","74.1","76.8","78.8","76.8","261","1962.91","5.41","16900","350","-"
"BANKNIFTY","27-Apr-2022","30-Jun-2022","PE","30000","80.3","123.6","80","97.2","98","97.2","551","4146.76","14.26","20500","3600","36028.85"
"BANKNIFTY","28-Apr-2022","30-Jun-2022","PE","30000","98.05","100","71","74.4","72.2","74.4","299","2248.72","6.22","21875","1375","-"
"BANKNIFTY","29-Apr-2022","30-Jun-2022","PE","30000","65.45","83.95","58.05","79.35","81.35","79.35","695","5224.27","11.77","23025","1150","-"
"BANKNIFTY","02-May-2022","30-Jun-2022","PE","30000","100","100","73.5","75.55","84.85","75.55","922","6934.5","19.5","26850","3825","-"
"BANKNIFTY","04-May-2022","30-Jun-2022","PE","30000","50","136.15","50","120.05","117.1","120.05","1159","8719.28","26.78","34250","7400","35264.55"
"BANKNIFTY","05-May-2022","30-Jun-2022","PE","30000","90.55","102.9","75.4","95.7","89.15","95.7","881","6626.7","19.2","39625","5375","-"
"BANKNIFTY","06-May-2022","30-Jun-2022","PE","30000","122.25","162.6","122.25","133.75","130","133.75","1662","12523.96","58.96","47875","8250","-"
"BANKNIFTY","09-May-2022","30-Jun-2022","PE","30000","159.45","188.3","135.95","151.9","151.5","151.9","2521","19010.71","103.21","63200","15325","-"
"BANKNIFTY","10-May-2022","30-Jun-2022","PE","30000","142.15","154.9","111.8","134.9","148","134.9","1328","10004.23","44.23","71775","8575","-"
"BANKNIFTY","11-May-2022","30-Jun-2022","PE","30000","125.95","179.9","117.45","124.15","119.1","124.15","1927","14523.07","70.57","83250","11475","34693.15"
"BANKNIFTY","12-May-2022","30-Jun-2022","PE","30000","150.05","285","150.05","237.2","237.05","237.2","4471","33783.54","251.04","105900","22650","33532.15"
"BANKNIFTY","13-May-2022","30-Jun-2022","PE","30000","185.1","311","173.35","291.85","311","291.85","5223","39462.53","290.03","139600","33700","-"
"BANKNIFTY","16-May-2022","30-Jun-2022","PE","30000","293.95","303.3","205.05","244.65","236.55","244.65","3555","26876.49","213.99","140975","1375","-"
"BANKNIFTY","17-May-2022","30-Jun-2022","PE","30000","209.1","229.2","141.6","145.75","141.6","145.75","2678","20208.35","123.35","140575","-400","-"
"BANKNIFTY","18-May-2022","30-Jun-2022","PE","30000","140","144","111","135.55","136","135.55","2627","19785.15","82.65","126050","-14525","-"
"BANKNIFTY","19-May-2022","30-Jun-2022","PE","30000","199","273","193.8","259.9","251.75","259.9","6508","49202.81","392.81","162625","36575","-"
"BANKNIFTY","20-May-2022","30-Jun-2022","PE","30000","198.2","198.2","127.85","136.6","132.2","136.6","6529","49211.39","243.89","180325","17700","-"
"BANKNIFTY","23-May-2022","30-Jun-2022","PE","30000","130.05","155.8","95.6","137.85","138.3","137.85","8094","60937.27","232.27","250825","70500","34247.6"
