"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"14-Mar-2022","    34660.25","    35435.10","    34625.05","    35312.15","      193297091","         7589.67"
"15-Mar-2022","    35467.95","    35643.80","    34706.05","    35022.65","      224193669","         8437.88"
"16-Mar-2022","    35555.75","    35806.35","    35461.55","    35748.25","      173798310","         5703.97"
"17-Mar-2022","    36302.00","    36611.95","    36261.65","    36428.55","      181953699","         6709.49"
"21-Mar-2022","    36545.85","    36600.20","    35900.20","    36018.50","      128655959","         4771.04"
"22-Mar-2022","    35975.60","    36468.80","    35384.75","    36348.55","      202887630","         5838.07"
"23-Mar-2022","    36627.70","    36827.60","    36064.75","    36147.35","      197900273","         6074.26"
"24-Mar-2022","    35633.70","    35957.70","    35421.70","    35527.10","      205174581","         8832.50"
"25-Mar-2022","    35700.40","    35717.40","    35203.85","    35410.10","      156997410","         4862.65"
"28-Mar-2022","    35488.70","    35770.80","    35016.30","    35710.50","      197017630","         5234.28"
"29-Mar-2022","    35931.75","    35977.20","    35506.55","    35847.40","      177135786","         4586.33"
"30-Mar-2022","    36241.55","    36421.10","    36070.55","    36334.30","      325637452","         8056.96"
"31-Mar-2022","    36457.20","    36590.85","    36278.15","    36373.60","      188135977","         6187.65"
"01-Apr-2022","    36298.35","    37209.80","    36242.35","    37148.50","      245689573","         6288.75"
"04-Apr-2022","    37824.95","    38765.85","    37665.55","    38635.20","      309170581","        14018.76"
"05-Apr-2022","    38731.30","    38759.25","    37935.95","    38067.90","      220560341","         7019.55"
"06-Apr-2022","    37711.30","    37868.50","    37513.85","    37632.80","      198848773","         6772.55"
"07-Apr-2022","    37421.75","    37975.90","    37346.80","    37557.35","      245018646","         8711.76"
"08-Apr-2022","    37619.70","    37884.20","    37405.20","    37752.05","      202237753","         8312.04"
"11-Apr-2022","    37591.75","    37941.75","    37524.45","    37613.80","      132096631","         5192.44"
"12-Apr-2022","    37407.40","    37920.60","    37264.45","    37747.40","      171033301","         6333.06"
"13-Apr-2022","    37887.30","    37988.60","    37408.20","    37463.40","      143255004","         6335.55"
"18-Apr-2022","    36833.15","    36965.85","    36441.35","    36729.00","      182939705","         7933.87"
"19-Apr-2022","    36806.80","    37123.55","    35926.30","    36341.60","      216336217","        11540.48"
"20-Apr-2022","    36482.60","    36513.85","    36114.05","    36314.90","      153381114","         7481.00"
"21-Apr-2022","    36513.10","    36913.35","    36395.70","    36816.10","      132687618","         6966.06"
"22-Apr-2022","    36514.15","    36578.95","    35991.50","    36044.75","      140125764","         5439.74"
"25-Apr-2022","    35792.35","    36270.15","    35511.40","    36082.35","      183091482","         7098.21"
"26-Apr-2022","    36515.35","    36604.55","    36265.90","    36404.80","      143384158","         5742.39"
"27-Apr-2022","    36067.55","    36175.90","    35747.15","    36028.85","      134244167","         5976.55"
"28-Apr-2022","    36189.95","    36501.10","    35951.10","    36422.20","      137268325","         5750.47"
"29-Apr-2022","    36474.05","    36718.80","    35978.95","    36088.15","      172738822","         8503.43"
"02-May-2022","    35627.60","    36235.25","    35618.20","    36163.75","      170186563","         6323.80"
"04-May-2022","    36266.15","    36309.30","    35127.85","    35264.55","      214565013","         7349.13"
"05-May-2022","    35705.35","    35934.85","    35133.80","    35232.85","      167319447","         5571.33"
"06-May-2022","    34569.10","    34797.95","    34353.20","    34591.20","      199208045","         6569.78"
"09-May-2022","    34091.75","    34554.35","    33927.20","    34275.40","      179918781","         6400.34"
"10-May-2022","    34181.20","    34781.80","    34176.80","    34482.65","      137963004","         4938.30"
"11-May-2022","    34686.30","    34793.20","    34143.20","    34693.15","      179510699","         5311.39"
"12-May-2022","    34289.10","    34341.20","    33297.65","    33532.15","      382113108","         7136.84"
"13-May-2022","    33925.95","    34002.20","    33007.90","    33121.35","      272709547","         8347.25"
"16-May-2022","    33256.00","    33821.65","    33001.75","    33597.60","      195136858","         5232.06"
"17-May-2022","    33796.20","    34366.05","    33680.60","    34301.90","      161500305","         5248.14"
"18-May-2022","    34448.20","    34655.80","    34134.70","    34163.70","      146780579","         5561.35"
"19-May-2022","    33461.00","    33633.95","    33180.60","    33315.65","      150355852","         5416.02"
"20-May-2022","    33765.15","    34358.05","    33658.05","    34276.40","      129371809","         4517.56"
"23-May-2022","    34321.40","    34819.95","    34117.35","    34247.60","      155978859","         5319.59"
"24-May-2022","    34223.20","    34586.45","    34115.80","    34290.15","      163680878","         4884.47"
"25-May-2022","    34491.80","    34722.60","    34285.80","    34339.50","      153586250","         4928.93"
"26-May-2022","    34670.60","    35222.05","    34424.75","    35094.90","      191472056","         6648.96"
"27-May-2022","    35326.60","    35694.85","    35291.95","    35613.30","      132560154","         4677.24"
"30-May-2022","    35958.80","    36083.70","    35748.45","    35826.95","      126987258","         3844.70"
"31-May-2022","    35615.30","    35881.95","    35288.95","    35487.40","      149259006","         8481.87"
"01-Jun-2022","    35358.95","    35768.70","    35285.45","    35620.80","      100780723","         3716.12"
"02-Jun-2022","    35470.95","    35676.20","    35385.00","    35613.65","      140705809","         4091.04"
"03-Jun-2022","    35929.55","    35958.45","    35175.10","    35275.05","      104814655","         3431.47"
"06-Jun-2022","    35159.15","    35424.50","    35072.30","    35310.20","      100771005","         3326.73"
"07-Jun-2022","    35080.80","    35154.30","    34834.40","    34996.00","       91646535","         3283.97"
"08-Jun-2022","    35165.65","    35449.90","    34831.75","    34946.15","      124570051","         3771.68"
"09-Jun-2022","    34802.25","    35149.10","    34659.10","    35085.45","      100853057","         3039.26"
"10-Jun-2022","    34686.95","    34752.45","    34346.65","    34483.80","       90046261","         3228.00"
