"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ADANIENT","19-May-2021","24-Jun-2021","CE","1500","30","30","27","27","27","39.45","2","30.57",".57","2000","2000","-"
"ADANIENT","20-May-2021","24-Jun-2021","CE","1500","39.45","49.95","20","23","23","23","24","366.43","6.43","15000","13000","-"
"ADANIENT","21-May-2021","24-Jun-2021","CE","1500","26.05","29.05","22.45","23.7","22.5","23.7","57","869.12","14.12","30000","15000","-"
"ADANIENT","24-May-2021","24-Jun-2021","CE","1500","23","26.8","20.65","21.55","21.6","21.55","99","1508.33","23.33","71000","41000","-"
"ADANIENT","25-May-2021","24-Jun-2021","CE","1500","21.75","21.75","13.5","14.5","14.8","14.5","221","3351.11","36.11","128000","57000","1282.75"
"ADANIENT","26-May-2021","24-Jun-2021","CE","1500","13.95","24.4","11.75","21.75","21.5","21.75","859","13055.07","170.07","263000","135000","1322.8"
"ADANIENT","27-May-2021","24-Jun-2021","CE","1500","20.05","26","18.7","21.95","19.55","21.95","1039","15827.42","242.42","323000","60000","1325.8"
"ADANIENT","28-May-2021","24-Jun-2021","CE","1500","19.65","21.5","14.6","14.95","15.1","14.95","855","12972.62","147.62","399000","76000","1302.6"
"ADANIENT","31-May-2021","24-Jun-2021","CE","1500","15.65","15.65","11","13.3","13.6","13.3","735","11117.57","92.57","409000","10000","-"
"ADANIENT","01-Jun-2021","24-Jun-2021","CE","1500","14.15","46.8","11","40.9","42.5","40.9","13609","208308.82","4173.82","1241000","832000","-"
"ADANIENT","02-Jun-2021","24-Jun-2021","CE","1500","42.4","109.85","37.35","100.65","101.6","100.65","19317","303573.71","13818.71","1018000","-223000","-"
"ADANIENT","03-Jun-2021","24-Jun-2021","CE","1500","107","158","105.8","125.75","131","125.75","1385","22631.93","1856.93","875000","-143000","-"
"ADANIENT","04-Jun-2021","24-Jun-2021","CE","1500","132","234","130","223.6","225","223.6","759","12705.05","1320.05","633000","-242000","-"
"ADANIENT","07-Jun-2021","24-Jun-2021","CE","1500","232.85","232.85","151.25","160.05","160","160.05","352","5929.52","649.52","582000","-51000","-"
"ADANIENT","08-Jun-2021","24-Jun-2021","CE","1500","168.65","191.05","142","164.65","164.7","164.65","259","4308.54","423.54","613000","31000","-"
"ADANIENT","09-Jun-2021","24-Jun-2021","CE","1500","164.7","171","123","137","134","137","229","3759.9","324.9","572000","-41000","-"
"ADANIENT","10-Jun-2021","24-Jun-2021","CE","1500","153","159.8","132.7","140.8","140.8","140.8","85","1395.67","120.67","559000","-13000","-"
"ADANIENT","11-Jun-2021","24-Jun-2021","CE","1500","142","144","118","135.35","135.4","135.35","303","4927.58","382.58","483000","-76000","-"
"ADANIENT","14-Jun-2021","24-Jun-2021","CE","1500","51.05","126.2","20.55","108.3","109.95","108.3","19538","306336.75","13266.75","1221000","738000","-"
"ADANIENT","15-Jun-2021","24-Jun-2021","CE","1500","126.95","134.9","93","107.8","100","107.8","6266","100808.89","6818.89","1006000","-215000","-"
"ADANIENT","16-Jun-2021","24-Jun-2021","CE","1500","81","97","50.05","59.65","55","59.65","4303","67621.02","3076.02","1145000","139000","1448.3"
"ADANIENT","17-Jun-2021","24-Jun-2021","CE","1500","46.25","48","27","29","27","29","10377","159391.78","3736.78","1494000","349000","-"
"ADANIENT","18-Jun-2021","24-Jun-2021","CE","1500","25.05","60.75","20","56.35","57.15","56.35","22254","343330.24","9520.24","1301000","-193000","1487.5"
"ADANIENT","21-Jun-2021","24-Jun-2021","CE","1500","45.1","109","34.7","70.05","63.65","70.05","9965","156644.72","7169.72","748000","-553000","-"
"ADANIENT","22-Jun-2021","24-Jun-2021","CE","1500","75.25","99.5","55.65","62.25","63","62.25","1186","18752.02","962.02","678000","-70000","-"
"ADANIENT","23-Jun-2021","24-Jun-2021","CE","1500","76.15","76.15","14.6","20.4","16.5","20.4","2934","44885.97","875.97","578000","-100000","1504.75"
"ADANIENT","24-Jun-2021","24-Jun-2021","CE","1500","16.75","29","1","9.25","21","1508.5","2050","31010.9","260.9","170000","-408000","1508.5"
