"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ADANIENT","EQ","19-May-2021","       1326.70","       1350.00","       1351.55","       1283.90","       1291.60","       1294.70","       1311.78","    9925284","         13019799226.75","     124978"
"ADANIENT","EQ","20-May-2021","       1294.70","       1301.30","       1320.00","       1283.95","       1303.00","       1302.00","       1303.86","    5837747","          7611629619.30","      73646"
"ADANIENT","EQ","21-May-2021","       1302.00","       1320.00","       1336.00","       1300.05","       1312.95","       1315.10","       1315.58","    8314215","         10938019705.85","     108506"
"ADANIENT","EQ","24-May-2021","       1315.10","       1321.70","       1328.65","       1303.00","       1305.00","       1306.80","       1317.75","    7913411","         10427872546.90","      73375"
"ADANIENT","EQ","25-May-2021","       1306.80","       1314.35","       1322.00","       1272.90","       1287.95","       1282.75","       1298.84","    3697062","          4801882524.40","      63487"
"ADANIENT","EQ","26-May-2021","       1282.75","       1288.95","       1326.85","       1254.25","       1321.95","       1322.80","       1302.43","    5630730","          7333623873.20","     101921"
"ADANIENT","EQ","27-May-2021","       1322.80","       1329.50","       1342.00","       1304.25","       1312.50","       1325.80","       1327.15","   36690935","         48694243135.70","     148251"
"ADANIENT","EQ","28-May-2021","       1325.80","       1311.60","       1330.45","       1298.00","       1302.00","       1302.60","       1311.65","    2979585","          3908173810.85","      58720"
"ADANIENT","EQ","31-May-2021","       1302.60","       1307.05","       1321.50","       1292.00","       1316.45","       1316.30","       1306.27","    2709718","          3539614088.75","      55331"
"ADANIENT","EQ","01-Jun-2021","       1316.30","       1319.90","       1430.00","       1309.05","       1422.95","       1416.25","       1375.69","   10018645","         13782501580.55","     226280"
"ADANIENT","EQ","02-Jun-2021","       1416.25","       1425.55","       1557.00","       1413.00","       1551.30","       1546.75","       1506.78","   24541949","         36979348601.00","     519240"
"ADANIENT","EQ","03-Jun-2021","       1546.75","       1564.00","       1623.80","       1553.00","       1592.40","       1583.10","       1594.10","   19107244","         30458894272.35","     433658"
"ADANIENT","EQ","04-Jun-2021","       1583.10","       1605.00","       1713.55","       1585.80","       1706.00","       1700.95","       1658.36","   21102075","         34994810079.05","     462330"
"ADANIENT","EQ","07-Jun-2021","       1700.95","       1715.00","       1717.20","       1613.00","       1625.00","       1624.30","       1654.64","   15350263","         25399188226.90","     352456"
"ADANIENT","EQ","08-Jun-2021","       1624.30","       1633.00","       1668.00","       1602.45","       1633.00","       1636.45","       1633.09","   12410257","         20267043634.75","     269336"
"ADANIENT","EQ","09-Jun-2021","       1636.45","       1640.00","       1649.45","       1571.85","       1590.45","       1594.65","       1610.46","   11614666","         18704933129.65","     249405"
"ADANIENT","EQ","10-Jun-2021","       1594.65","       1612.00","       1630.00","       1591.00","       1609.80","       1612.00","       1609.08","    5362307","          8628379885.05","     114278"
"ADANIENT","EQ","11-Jun-2021","       1612.00","       1615.10","       1620.10","       1575.25","       1601.00","       1601.60","       1599.37","    5355387","          8565256925.95","     113482"
"ADANIENT","EQ","14-Jun-2021","       1601.60","       1441.45","       1529.95","       1201.20","       1510.35","       1501.45","       1372.66","   43530006","         59751684972.35","    1125572"
"ADANIENT","EQ","15-Jun-2021","       1501.45","       1550.95","       1572.60","       1477.20","       1525.80","       1538.85","       1525.74","   22320542","         34055251940.05","     579380"
"ADANIENT","EQ","16-Jun-2021","       1538.85","       1510.00","       1538.20","       1409.30","       1427.00","       1448.30","       1494.23","   12626149","         18866331555.40","     290100"
"ADANIENT","EQ","17-Jun-2021","       1448.30","       1380.00","       1436.00","       1303.50","       1356.00","       1367.70","       1374.54","   27926070","         38385436658.55","     621898"
"ADANIENT","EQ","18-Jun-2021","       1367.70","       1350.00","       1504.00","       1332.55","       1495.00","       1487.50","       1422.42","   30526777","         43421845928.35","     775906"
"ADANIENT","EQ","21-Jun-2021","       1487.50","       1490.00","       1582.00","       1444.85","       1531.00","       1540.00","       1533.82","   21101083","         32365248197.10","     543336"
"ADANIENT","EQ","22-Jun-2021","       1540.00","       1554.05","       1582.00","       1531.80","       1542.10","       1541.60","       1563.12","   12069983","         18866844732.70","     269773"
"ADANIENT","EQ","23-Jun-2021","       1541.60","       1560.10","       1569.95","       1481.30","       1499.70","       1504.75","       1513.21","   12679703","         19187059087.85","     265370"
"ADANIENT","EQ","24-Jun-2021","       1504.75","       1509.95","       1519.00","       1488.05","       1515.35","       1508.50","       1503.94","    7261764","         10921278765.30","     160280"
