Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ADANIENT,EQ,01-Jun-21,1316.3,1319.9,1430,1309.05,1422.95,1416.25,1375.69,10018645,13782501581,226280
ADANIENT,EQ,02-Jun-21,1416.25,1425.55,1557,1413,1551.3,1546.75,1506.78,24541949,36979348601,519240
ADANIENT,EQ,03-Jun-21,1546.75,1564,1623.8,1553,1592.4,1583.1,1594.1,19107244,30458894272,433658
ADANIENT,EQ,04-Jun-21,1583.1,1605,1713.55,1585.8,1706,1700.95,1658.36,21102075,34994810079,462330
ADANIENT,EQ,07-Jun-21,1700.95,1715,1717.2,1613,1625,1624.3,1654.64,15350263,25399188227,352456
ADANIENT,EQ,08-Jun-21,1624.3,1633,1668,1602.45,1633,1636.45,1633.09,12410257,20267043635,269336
ADANIENT,EQ,09-Jun-21,1636.45,1640,1649.45,1571.85,1590.45,1594.65,1610.46,11614666,18704933130,249405
ADANIENT,EQ,10-Jun-21,1594.65,1612,1630,1591,1609.8,1612,1609.08,5362307,8628379885,114278
ADANIENT,EQ,11-Jun-21,1612,1615.1,1620.1,1575.25,1601,1601.6,1599.37,5355387,8565256926,113482
ADANIENT,EQ,14-Jun-21,1601.6,1441.45,1529.95,1201.2,1510.35,1501.45,1372.66,43530006,59751684972,1125572
ADANIENT,EQ,15-Jun-21,1501.45,1550.95,1572.6,1477.2,1525.8,1538.85,1525.74,22320542,34055251940,579380
ADANIENT,EQ,16-Jun-21,1538.85,1510,1538.2,1409.3,1427,1448.3,1494.23,12626149,18866331555,290100
ADANIENT,EQ,17-Jun-21,1448.3,1380,1436,1303.5,1356,1367.7,1374.54,27926070,38385436659,621898
ADANIENT,EQ,18-Jun-21,1367.7,1350,1504,1332.55,1495,1487.5,1422.42,30526777,43421845928,775906
ADANIENT,EQ,21-Jun-21,1487.5,1490,1582,1444.85,1531,1540,1533.82,21101083,32365248197,543336
ADANIENT,EQ,22-Jun-21,1540,1554.05,1582,1531.8,1542.1,1541.6,1563.12,12069983,18866844733,269773
ADANIENT,EQ,23-Jun-21,1541.6,1560.1,1569.95,1481.3,1499.7,1504.75,1513.21,12679703,19187059088,265370
ADANIENT,EQ,24-Jun-21,1504.75,1509.95,1519,1488.05,1515.35,1508.5,1503.94,7261764,10921278765,160280
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
